LOT #,WINNING FARM / CWS,LOT SIZE,HIGH BID,TOTAL VALUE,HIGH BIDDER(S)
1,Agricabv BV Calama Marka,16,$12.55/lb,"$30,988.18","Small Axe Coffee Alliance – Intelligentsia, Coffee Tree Roasters, Coffee Klatch, Paradise Roasters, Caffe Pronto, Sweet Maria’s, PT’s coffee, Gimme Coffee, Barefoot Coffee, Victrola, Groundworks, Alpen Sierra, 49th Parallel, Ecco Caffe, Maruyama Coffee fo"
2,Golondrina,20,$5.90/lb,"$18,210.18","Bontain Coffee Co.,Ltd."
3,Cafè Paraiso,19,$6.05/lb,"$17,739.50",Time’s Club & C-COOP
4,Ciana 1 {O},18,$7.25/lb,"$20,139.23","Stumptown, Maruyama Coffee and Mocca Kaffebar & Brenneri"
5,Pico del tucan 3,21,$4.50/lb,"$14,583.58","Nippon Coffee Trading Co., Ltd."
6,Machaca {O},17,$4.15/lb,"$10,887.53",Yamada coffee for Mikatajuku group
7,Machaca,19,$3.90/lb,"$11,435.38",Solberg & Hansen AS
8,Asocafe {O},17,$4.20/lb,"$11,018.70",Mokkamestarit oy
9,Pico del Tucan 2,18,$3.65/lb,"$10,139.06","Toa Coffee Co.,Ltd."
10,Pico del Tucan 4,18,$4.05/lb,"$11,250.19",Kaffebrenneriet as
11,Rio Colorado {O},21,$3.30/lb,"$10,694.62",Katocoffee Inc.
12,Flor de San Pablo,17,$3.75/lb,"$9,838.13","Schlüter & Maack – Fine Coffees for Hagen Kaffee, Laier Kaffeerösterei, Lloyd Caffee, Mondo del Caffè, Saerve Kaffeerösterei, Spezialitäten-Compagnie, Wasserburger Kaffeerösterei Kaffeerösterei"
13,Jakaranda {O},27,$4.05/lb,"$16,875.28","Caravan Coffee Co.,Ltd."
14,Pico del Tucan,18,$4.25/lb,"$11,805.75","Intelligentsia, Counter Culture, Batdorf and Bronson, Sweet Maria’s, The Coffee Tree Roasters, PTs, Caffe Pronto"
15,Anditrade BV Monterrey,17,$4.00/lb,"$10,494.00","Mercanta The Coffee Hunters for Has Bean Coffee, England"
16,Café llusta {O},16,$3.85/lb,"$9,506.33","UCC Ueshima Coffee Co., Ltd."
17,Villalobos {O},17,$3.40/lb,"$8,919.90","Mocha Joe’s Roasters, The Ultimate Bean, Sacred Grounds, and Rojos Roastery"
18,Café Central {O},17,$4.00/lb,"$10,494.00","World Coffee Co.,Ltd."
19,Colina Siete Estrellas {O},19,$3.00/lb,"$8,796.44",Katocoffee Inc.
