RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1,18,Café de Cordillera,Zenovia R. Charca de Huayhua,"San Lorenzo County, Province of Caranavi",92.03
2,15,Flor de Mayo,Pedro Castro Conurana,"Siete Estrellas, Chijchipani County, Province of Caranavi",90.85
3,24,Cima del Jaguar A,Braulio Luque Yana,"Kantutani, Rosario de Entre Ríos, Province of Caranavi",89.94
4,17,Café Ascencion,Domingo Mamani Alanoca,"Colonia Alto Ascensión, Rosario Entre Ríos County, Province of Caranavi",88.97
5,14,Café Caracol,Jacinto Titirico Ibañez,"Colonia 7 Estrellas, Chijchipani County, Province of Caranavi",88.97
6,14,Café Golondrina,Celso David Mayta Quispe,"Colonia Copacabana, Rural Caranavi, Province of Caranavi",88.94
7,12,Café Aurelio,Aurelio Mamani Ramirez,"Colonia Kantutani, Rosario Entre Ríos County, Province of Caranavi",88.74
8,14,APECE,Julia Tintaya de Patana,"Colonia Sabaya, Carrasco La Reserva County, Province of Caranavi",88.47
9,12,Café Estrella,Cruz Quispe Mamani,"Colonia La Estrella, Incahuara County, Province of Caranavi",87.74
10,13,Café Flor Rosa,Martha Ojeda Mamani,"Colonia Loayza, Santa Fé County, Province of Caranavi",87.71
11,12,Café Montaña,Félix Yana Mamani,"Colonia San Ignacio, Carrasco La Reserva County, Province of Caranavi",86.18
12,13,Café Alejandra,Florencia Fernandez Choque,"Colonia Manco Kapac Segunda, Rosario Entre Ríos County, Province of Caranavi",86.03
13,16,AIPEAD V,Erenio Tola,"Colonia Amor de Dios, Taipyplaya County, Province of Caranavi",85.85
14,23,Café Oscar,Nestor Mayta Quille,"Colonia Hernando de Magallanes, Rosario de Entre Ríos County, Province of Caranavi",85.82
15,15,Café de Montaña,Manuel Mamani Uluri,"Colonia Chojñapampa, Carrasco La Reserva County, Province of Caranavi",85.82
16,31,Café Huancayño,Luciano Huanca Flores,"Colonia Chojñapampa, Carrasco La Reserva County, Province of Caranavi",85.79
17,17,Café Primavera,Victor Quispe Mamani,"Caranavi, Yungas of La Paz",85.71
18,17,Café Picaflor,Pablo Luque Huanca,"Colonia Chojñapampa, Carrasco La Reserva County, Province of Caranavi",85.68
19,16,Café Lidia,Angel Mamani Mamani,"Colonia San Ignacio, Carrasco La Reserva County, Province of Caranavi",84.91
20,12,Yanaloma IV,Roberto Mendoza Ayaviri,"Colonia Yanaloma, Aten County , Province of Franz Tamayo",84.79
21,22,Cima del Jaguar B,Eulogio Luque Yana,"Tercera Kantutani, Rosario de Entre Ríos County, Province of Caranavi",84.79
22,15,Alan Coffe (YTC),Luis Yujra Arismende,"Not Available, Province of Caranavi",84.79
23,16,Café Maria Elena,Fermin Cabrera Poma,"Colonia Alto Ascensión Segunda, Rosario Entre Ríos County, Province of Caranavi",84.65
24,18,Café Ocho,Eusebio Marca Cruz,"Colonia Ocho de Septiembre, Chijchipani County, Province of Caranavi",84.59
25,12,Zona 8 Villa Oriente,Alberto Catunta Quispe,"Colonia 8 de Septiembre, Rosario de Entre Ríos County, Province of Caranavi",84.56
26,12,Los Trios,David Yanahuaya Quispe,"Colonia Flor de Mayo, Taipyplaya County, Province of Caranavi",84.53
27,13,Café David,Santiago Mamani Mamani,"Colonia Chojñapampa, Carrasco La Reserva County, Province of Caranavi",84.47
28,18,AIPEAD I,Julian Chambi Apaza,"Colonia Amor de Dios, Taipyplaya County, Province of Caranavi",84.35
29,15,Café Jasmin,Eduardo Tola Condori,"Colonia Uchumachi, Carrasco La Reserva County, Province of Caranavi",84.06
