,RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE,LOT #,LOT SIZE,HIGH BID ($/lb),TOTAL VALUE ($),HIGH BIDDER(S),COUNTRY,YEAR
0,1,18,Café de Cordillera,Zenovia R. Charca de Huayhua,"San Lorenzo County, Province of Caranavi",92.03,1,18,$12.15/lb,"$28,929.06","Maruyama Coffee for Mikatajuku group, Honey Coffee, Adati Coffee and Orsir Coffee",Bolivia,2008
1,2,15,Flor de Mayo,Pedro Castro Conurana,"Siete Estrellas, Chijchipani County, Province of Caranavi",90.85,2,15,$12.15/lb,"$24,107.55","Invalsa Coffee®, MA, Bewleys Ltd of Ireland, Sacred Grounds Coffee, CA, Terroir Coffee, MA, TAN Coffee, Canada, Olympia Coffee, WA",Bolivia,2008
2,3,24,Cima del Jaguar A,Braulio Luque Yana,"Kantutani, Rosario de Entre Ríos, Province of Caranavi",89.94,3,24,$7.00/lb,"$22,222.60",Kaffebrenneriet as,Bolivia,2008
3,4,17,Café Ascencion,Domingo Mamani Alanoca,"Colonia Alto Ascensión, Rosario Entre Ríos County, Province of Caranavi",88.97,4,17,$7.70/lb,"$17,315.11","UCC Ueshima Coffee Co., Ltd.",Bolivia,2008
4,5,14,Café Caracol,Jacinto Titirico Ibañez,"Colonia 7 Estrellas, Chijchipani County, Province of Caranavi",88.97,5,14,$6.05/lb,"$11,203.89","Wataru & Co., Ltd.",Bolivia,2008
5,6,14,Café Golondrina,Celso David Mayta Quispe,"Colonia Copacabana, Rural Caranavi, Province of Caranavi",88.94,6,14,$8.05/lb,"$14,907.66","Invalsa Coffee®, MA, Montana Coffee, MT, TAN Coffee, Canada, Interamerican Coffee GmbH, Germany, Java Blend Coffee, Canada, Olympia Coffee, WA",Bolivia,2008
6,7,12,Café Aurelio,Aurelio Mamani Ramirez,"Colonia Kantutani, Rosario Entre Ríos County, Province of Caranavi",88.74,7,12,$8.05/lb,"$12,777.99",Times Club for C-COOP,Bolivia,2008
7,8,14,APECE,Julia Tintaya de Patana,"Colonia Sabaya, Carrasco La Reserva County, Province of Caranavi",88.47,8,14,$6.35/lb,"$11,759.46",Kyokuto Fadie Corporation,Bolivia,2008
8,9,12,Café Estrella,Cruz Quispe Mamani,"Colonia La Estrella, Incahuara County, Province of Caranavi",87.74,9,12,$10.55/lb,"$16,746.31",Solberg & Hansen AS,Bolivia,2008
9,10,13,Café Flor Rosa,Martha Ojeda Mamani,"Colonia Loayza, Santa Fé County, Province of Caranavi",87.71,10,13,$5.33/lb,"$9,165.50","Arab Coffee Co., Ltd",Bolivia,2008
10,11,12,Café Montaña,Félix Yana Mamani,"Colonia San Ignacio, Carrasco La Reserva County, Province of Caranavi",86.18,11,12,$5.90/lb,"$9,365.24",Solberg & Hansen AS,Bolivia,2008
11,12,13,Café Alejandra,Florencia Fernandez Choque,"Colonia Manco Kapac Segunda, Rosario Entre Ríos County, Province of Caranavi",86.03,12,13,$5.87/lb,"$10,094.09","Johan & Nystrom, Coffee-roaster and Tea-merchant",Bolivia,2008
12,13,16,AIPEAD V,Erenio Tola,"Colonia Amor de Dios, Taipyplaya County, Province of Caranavi",85.85,13,16,$4.15/lb,"$8,783.22","TOA Coffee Co.,Ltd.",Bolivia,2008
13,14,23,Café Oscar,Nestor Mayta Quille,"Colonia Hernando de Magallanes, Rosario de Entre Ríos County, Province of Caranavi",85.82,14,23,$5.05/lb,"$15,364.02","Nippon Coffee Trading Co.,Ltd for Doi Coffee",Bolivia,2008
14,15,15,Café de Montaña,Manuel Mamani Uluri,"Colonia Chojñapampa, Carrasco La Reserva County, Province of Caranavi",85.82,15,15,$5.03/lb,"$9,980.33",Sweet Maria’s Coffee,Bolivia,2008
15,16,31,Café Huancayño,Luciano Huanca Flores,"Colonia Chojñapampa, Carrasco La Reserva County, Province of Caranavi",85.79,16,31,$5.05/lb,"$20,708.02","World Coffee Co.,Ltd.",Bolivia,2008
16,17,17,Café Primavera,Victor Quispe Mamani,"Caranavi, Yungas of La Paz",85.71,17,17,$4.00/lb,"$8,994.86","Wataru & Co., Ltd.",Bolivia,2008
17,18,17,Café Picaflor,Pablo Luque Huanca,"Colonia Chojñapampa, Carrasco La Reserva County, Province of Caranavi",85.68,18,17,$3.40/lb,"$7,645.63",Katocoffee Inc.,Bolivia,2008
18,19,16,Café Lidia,Angel Mamani Mamani,"Colonia San Ignacio, Carrasco La Reserva County, Province of Caranavi",84.91,19,16,$4.00/lb,"$8,465.75","Nippon Coffee Trading Co.,Ltd",Bolivia,2008
19,20,12,Yanaloma IV,Roberto Mendoza Ayaviri,"Colonia Yanaloma, Aten County , Province of Franz Tamayo",84.79,20,12,$5.00/lb,"$7,936.64","UCC Ueshima Coffee Co., Ltd.",Bolivia,2008
20,21,22,Cima del Jaguar B,Eulogio Luque Yana,"Tercera Kantutani, Rosario de Entre Ríos County, Province of Caranavi",84.79,21,22,$5.05/lb,"$14,696.01","Nippon Coffee Trading Co.,Ltd for Doi Coffee",Bolivia,2008
21,22,15,Alan Coffe (YTC),Luis Yujra Arismende,"Not Available, Province of Caranavi",84.79,22,15,$4.70/lb,"$9,325.55","Wataru & Co., Ltd.",Bolivia,2008
22,23,16,Café Maria Elena,Fermin Cabrera Poma,"Colonia Alto Ascensión Segunda, Rosario Entre Ríos County, Province of Caranavi",84.65,23,16,$5.05/lb,"$10,688.01",Kyokuto Fadie Corporation,Bolivia,2008
23,24,18,Café Ocho,Eusebio Marca Cruz,"Colonia Ocho de Septiembre, Chijchipani County, Province of Caranavi",84.59,24,18,$3.88/lb,"$9,238.25",Katocoffee Inc.,Bolivia,2008
24,25,12,Zona 8 Villa Oriente,Alberto Catunta Quispe,"Colonia 8 de Septiembre, Rosario de Entre Ríos County, Province of Caranavi",84.56,25,12,$4.10/lb,"$6,508.05","World Coffee Co.,Ltd.",Bolivia,2008
25,26,12,Los Trios,David Yanahuaya Quispe,"Colonia Flor de Mayo, Taipyplaya County, Province of Caranavi",84.53,26,12,$5.05/lb,"$8,016.01","Wataru & Co., Ltd.",Bolivia,2008
26,27,13,Café David,Santiago Mamani Mamani,"Colonia Chojñapampa, Carrasco La Reserva County, Province of Caranavi",84.47,27,13,$4.05/lb,"$6,964.40","Mercanta The Coffee Hunters for Has Bean Coffee UK, Fresh Coffee Lithuania and Inoue Coffee Japan",Bolivia,2008
