RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1,21,Fazenda Esperança,Cícero Viegas Cavalcanti De Albuquerque,"Carmo De Minas, Sul de Minas",94.43
2,42,Sítio Boa Vista,Márcio Luiz Bérgamo Fávaro,"Sarutaiá, Sudoeste Paulista",93.37
3,21,Fazenda Pedra Preta,Guilherme Dias De Castro,"Jesuania, Sul de Minas",92.24
4,21,Fazenda Serra do Boné,Carlos Sérgio Sanglard,"Araponga, MG",91.93
5,24,Fazenda Santa Ines,Francisco Isidoro Dias Pereira,"Carmo de Minas, Minas Gerais",91.43
7,21,Fazenda São Pedro,Robson Vilela Martins,"Araponga, Sul de Minas",89.96
8,21,Fazenda Cabaço Do Tanque,Alessandro Matos Martins,"Piatã, Chapada Diamantina",89.57
9,35,Fazenda Santa Terezinha,Paulo Sérgio De Almeida and Others,"Olimpio Noronha, Sul de Minas",89.07
10,22,Rancho São Benedito,Mariana De Carvalho Junqueira,"Dom Viçoso, MG",88.98
11,23,Sitio Redinha,Jose Luiz Ribeiro and Others,"Pedralva, Sul de Minas",87.31
12,15,Sítio Dos Estouros,José Mauro Miranda,"Carmo De Minas, Matas de Minas",87.15
13,21,Fazenda Santo Antonio,Aluizio Pereira De Castro,"Olímpio Noronha, Minas Gerais",86.71
14,21,Fazenda Sertão,Nazareth Dias Pereira and Others,"São Sebastião Da Grama, Sul de Minas",86.69
15,24,Grota São Pedro,Cláudio Carneiro Pinto,"Carmo de Minas, MG",86.69
16,28,Fazenda Cachoeira Da Grama,Gabriel De Carvalho Dias,"Araponga, Mogiana",85.88
17,60,Fazenda Sao Francisco,Tarcízio Aldo Zugliani,"Carmo De Minas, Sul de Minas",85.79
18,23,Fazenda Barreiro,Icatu Agropecuária Ltda. / Francisto Otávio Lotufo,"Araponga, Sul de Minas",85.65
19,23,Fazenda Cafundo,Pedro Santana Mesquita,"Poços De Caldas, Chapada Diamantina",85.56
20,25,Fazenda Baixa Da Pedra,Maria Aparecida Dias De Castro,"Carmo De Minas, Sul de Minas",85.42
21,43,Estancia Fonte Alta,Mauro Billi,"Dom Viçoso, Sul de Minas",85.4
22,21,Sitio Castelhano,Carlos Roberto Dos Santos and Others,"Campestre, Sul de Minas",85.17
23,21,Sítio Da Cachoeira,Afonso Ferreira,"Carmo De Minas, Matas de Minas",84.85
24,24,Fazenda Do Moinho,Vinicius Jose Carneiro Pereira,"Olimpio Noronha, Sul De Minas",84.83
25,43,Fazenda Ouro Verde,Cândido Vladimir Ladeira Rosa,"Piatã, Chapada Diamantina",84.69
26,82,Fazenda Rainha,Regina Helena Mello De Carvalho Dias,"São Sebastião Da Grama, Mogiana",84.5
27,21,Sítio Das Jaboticabas,José Antônio Nascimento Ribas,"Cristina, Matas de Minas",84.44
28,27,Fazenda Mariano,Manoel Barbosa Junqueira,"Carmo De Minas, Sul de Minas",84.33
29,21,Sítio Vale Das Cobras,Francisca Inácia Dos Reis Oliveira,"Olimpio Noronha, Sul de Minas",84.25
