LOT #,WINNING FARM / CWS,LOT SIZE,HIGH BID,TOTAL VALUE,HIGH BIDDER(S)
1A,FAZENDA BOM JARDIM 2017 {RA},6,$130.20/lb,"$51,667.27","Maruyama Coffee, Campos Coffee, and Sarutahiko Coffee"
1B,FAZENDA BOM JARDIM 2017 {RA},6,$120.00/lb,"$47,619.60","Time’s Club, Coffee Libre, Proud Mary"
2A,FAZENDA DAS AMORAS 2017,7,$20.30/lb,"$9,398.29",Single O
2B,FAZENDA DAS AMORAS 2017,7,$19.99/lb,"$9,254.77","Orsir Coffee (Taiwan), TRN (Taiwan Roaster Network)"
3A,SíTIO MONTE SINAI 2017,7,$18.40/lb,"$8,518.65",Brulerie du Quai
3B,SíTIO MONTE SINAI 2017,7,$17.10/lb,"$7,916.79","UCC Ueshima Coffee Co., Ltd."
4A,FAZENDA SANTANA 2017,6,$11.00/lb,"$4,365.13",cosmetocafe
4B,FAZENDA SANTANA 2017,5,$11.70/lb,"$3,869.07",ARNIA Ltd ( TOB Coffee )
5,SÍTIO LM 2017,19,$8.70/lb,"$10,932.68",Nagahama Coffee Inc.
6,SÍTIO RANCHO DANTAS 2017,12,$10.00/lb,"$7,936.60","Maruyama Coffee Co., Ltd."
7,SÍTIO DO BONÉ 2017,20,$8.40/lb,"$11,111.27",Dabov Specialty Coffee
8,FAZENDA SERTÃOZINHO 2017 {UTZ},20,$16.20/lb,"$21,428.87",Terarosa (Haksan Co.Ltd)
9,SÍTIO CAFUNDÓ 2017,14,$8.40/lb,"$7,777.90",Kyokuto Fadie Corporation
10,SÍTIO SANTO EXPEDITO 2017,20,$8.80/lb,"$11,640.38",InterAmerican Coffee GmbH
11,SÍTIO BOCAINA,20,$8.00/lb,"$10,582.16",Honu Kato Coffee Inc.
12,FAZENDA SÃO SILVESTRE 2017…,29,$11.11/lb,"$21,309.20",Campos Coffee
13,JARDIM DAS OLIVEIRAS 2017,24,$7.20/lb,"$11,428.78",Brew92
15,FAZENDA SERRA DO BONÉ 2017,12,$9.00/lb,"$7,142.94","BPC, Coffee Fiel"
16,SÍTIO CÓRREGO SALAZAR 2017,14,$8.00/lb,"$7,407.52",Wataru for NOZY COFFEE
17,FAZENDA DOM SILVÉRIO 2017,14,$8.00/lb,"$7,407.52",Ecom Japan Limited
18,SÍTIO SANTO ANTÔNIO 2017,26,$8.20/lb,"$14,100.72","Wataru & Co., Ltd."
19,SÍTIO PACIÊNCIA 2017,20,$8.10/lb,"$10,714.44",InterAmerican Coffee GmbH
20,FAZENDA PROGRESSO LTDA 2017,20,$7.55/lb,"$9,986.91","Wataru & Co., Ltd."
21,SÍTIO SERRA 2017,20,$6.90/lb,"$9,127.11",Honu Kato Coffee Inc.
22,CHÁCARA SÃO JUDAS TADEU 2017,26,$8.60/lb,"$14,788.56","BPC, Coffee Fiel"
23,FAZENDA SANTA IZABEL 2017,12,$7.90/lb,"$6,269.91","Wataru & Co., Ltd."
24,FAZENDA CRICIUMA 2017,20,$6.00/lb,"$7,936.62",Honu Kato Coffee Inc.
25,ECOAGRICOLA CAFÉ LTDA 2017…,11,$8.00/lb,"$5,820.16",Mercanta The Coffee Hunters
