RANK,SIZE,FARM / CWS,PRODUCER,REGION,SCORE,VARIETY,PROCESS
1a,5,Fazenda Primavera,Primavera Agronegócios LTDA,Chapada de Minas,93.89,Gesha,Pulped Natural
1b,5,Fazenda Primavera,Primavera Agronegócios LTDA,Chapada de Minas,93.89,Gesha,Pulped Natural
2a,6,Sitio Fortaleza,Reinaldo Garcia dos Santos,Matas de Minas,91.36,Catucaí 785/15,Pulped Natural
2b,5,Sitio Fortaleza,Reinaldo Garcia dos Santos,Matas de Minas,91.36,Catucaí 785/15,Pulped Natural
3a,6,Fazenda Santo André,Dimap S.A.,Cerrado Mineiro,90.89,Catiguá,Pulped Natural
3b,6,Fazenda Santo André,Dimap S.A.,Cerrado Mineiro,90.89,Catiguá,Pulped Natural
4a,9,Granja São Francisco,Maria José Junqueira Céglia,Mantiqueira de Minas,90.67,Bourbon Amarelo,Pulped Natural
4b,9,Granja São Francisco,Maria José Junqueira Céglia,Mantiqueira de Minas,90.67,Bourbon Amarelo,Pulped Natural
5a,14,Sitio Santo Antonio,Antônio Macedo Souza,Chapada Diamantina,90.17,Catuaí 144,Pulped Natural
5b,13,Sitio Santo Antonio,Antônio Macedo Souza,Chapada Diamantina,90.17,Catuaí 144,Pulped Natural
6,12,Fazenda Horizonte,Pedro Marques de Souza,Chapada Diamantina,89.94,Catuaí,Pulped Natural
7,13,Sítio Bonilha,Maridalton Silva Santana,Chapada Diamantina,89.92,Catuaí 144,Pulped Natural
8,12,Fazenda Guariroba,Homero Aguiar Paiva,Sul de Minas,89.53,Catucaí Amarelo,Pulped Natural
9,16,Santuário Sul,Holding Satuário Sul,Mantiqueira de Minas,88.5,GESHA,Pulped Natural
10,12,Sítio Cruz,Ismael Oliveira Cruz,Chapada Diamantina,88.14,Catuaí 144,Pulped Natural
11,26,Fazenda Ouro Verde,Cândido Vladimir Ladeia Rosa,Chapada Diamantina,88.14,Catuaí 144,Pulped Natural
12,16,Fazenda Santa Bárbara,Eulino José Novais,Chapada Diamantina,88.03,Catuaí 144,Pulped Natural
13,12,Sítio Grota São Pedro,Cláudio Carneiro Pinto,Mantiqueira de Minas,88.03,Bourbon Amarelo,Pulped Natural
14,12,Fazenda Volta da Serra,Agnaldo Martins Assunção,Chapada Diamantina,87.97,Catuaí,Pulped Natural
15,11,Fazenda Rio Verde,Ipanema Agrícola S/A,Mantiqueira de Minas,87.97,Catuaí Amarelo,Pulped Natural
16,14,Fazenda Boa Vista,Lívio César Carvalho Ferraz,Mantiqueira de Minas,87.94,Acaiá,Pulped Natural
17,12,Fazenda Vista Alegre,Miguel Ângelo Macedo Xavier,Chapada Diamantina,87.72,Catuaí,Pulped Natural
18,12,Fazenda Passagem Pedra,Alencar Julião Dias Filho,Chapada Diamantina,87.39,Catuaí,Pulped Natural
19,12,Chácara Vista Alegre,José Renato Rodrigues Alves,Chapada Diamantina,87.25,Catuaí 144,Pulped Natural
20,20,Sítio Sumidouro,Euclides Antônio de Novais,Chapada Diamantina,87.19,Catuaí 144,Pulped Natural
21,12,Sitio Cafundó,Giliarde Torres de Oliveira,Chapada Diamantina,87,Catuaí 144,Pulped Natural
22,12,Sítio Caminho da Serra,Paulo Henrique Miranda,Matas de Minas,87,Catuai 44,Pulped Natural
23,12,Fazenda Paraíso,Antônio Fortes Bustamante,Mantiqueira de Minas,87,Bourbon Amarelo,Pulped Natural
24,12,Fazenda Caracol,Cristina Dias Sampaio Gerolimich,Matas de Minas,86.92,Catuaí,Pulped Natural
25,12,Fazenda Boa Vista,Flávio Roberto Carvalho Ferraz,Mantiqueira de Minas,86.89,Catuaí Amarelo,Pulped Natural
26,28,Chácara União,João Florentino Barbosa,Chapada Diamantina,86.83,Catuaí 144,Pulped Natural
27,12,Sitio São Sebastião,Merce Jordan Araújo Silva,Chapada Diamantina,86.75,Catuaí Vermelho,Pulped Natural
28,12,Fazenda Laranjal,Fazenda Sertãozinho LTDA.,Sul de Minas,86.58,Arara,Pulped Natural
29,24,Sitio Santana 2,Alex Sandro Silva Santana,Chapada Diamantina,86.47,Catuaí 144,Pulped Natural
30,12,Sítio Três Barras,Vicente Jacinto de Moura,Matas de Minas,86.25,catucai vermelho 785/15,Pulped Natural
