Lot Number,Farm Name,Quantity,High Bid,Total Value,High Bidder(s)
1a,Fazenda Primavera,5,$143.00/lb,"$47,288.67",Ally Coffee
1b,Fazenda Primavera,5,$120.10/lb,"$39,715.87","Maruyama Coffee, Saza Coffee, Sarutahiko Coffee"
2a,Sitio Fortaleza,6,$8.80/lb,"$3,492.10","Maruyama Coffee Co., Ltd."
2b,Sitio Fortaleza,5,$8.10/lb,"$2,678.59",Taresso Artisan Coffee Roasters
3a,Fazenda Santo André,6,$8.10/lb,"$3,214.32","Wataru & Co.,Ltd."
3b,Fazenda Santo André,6,$8.40/lb,"$3,333.37","Orsir Coffee Co., Ltd."
4a,Granja São Francisco,9,$7.40/lb,"$4,404.85",Terarosa (Haksan Co.Ltd)
4b,Granja São Francisco,9,$7.20/lb,"$4,285.80","NIPPON COFFEE TRADING CO., LTD."
5a,Sitio Santo Antonio,14,$7.10/lb,"$6,574.17",InterAmerican Coffee GmbH
5b,Sitio Santo Antonio,13,$6.70/lb,"$5,760.66",Kyokuto Fadie Corporation
6,Fazenda Horizonte,12,$6.00/lb,"$4,761.96","NIPPON COFFEE TRADING CO., LTD."
7,Sítio Bonilha,13,$5.80/lb,"$4,986.84","GSC International Co., Ltd."
8,Fazenda Guariroba,12,$9.10/lb,"$7,222.31","UPSTREAM COFFEE IMPORTS PTY LTD & FIVE SENSES COFFEE, AUSTRALIA"
9,Santuário Sul,16,$18.45/lb,"$19,524.16","Wataru & Co.,Ltd."
10,Sítio Cruz,12,$6.10/lb,"$4,841.33",Honu Kato Coffee Inc.
11,Fazenda Ouro Verde,26,$6.10/lb,"$10,489.62","Wataru & Co.,Ltd."
12,Fazenda Santa Bárbara,16,$5.60/lb,"$5,926.03","GSC International Co., Ltd."
13,Sítio Grota São Pedro,12,$5.60/lb,"$4,444.50",Nagahama Coffee Inc.
14,Fazenda Volta da Serra,12,$5.50/lb,"$4,365.13",InterAmerican Coffee GmbH
15,Fazenda Rio Verde,11,$6.10/lb,"$4,437.93","GSC International Co., Ltd."
16,Fazenda Boa Vista,14,$5.50/lb,"$5,092.67","Wataru & Co.,Ltd."
17,Fazenda Vista Alegre,12,$5.50/lb,"$4,365.13",Honu Kato Coffee Inc.
18,Fazenda Passagem Pedra,12,$5.50/lb,"$4,365.13","Maruyama Coffee Co., Ltd."
19,Chácara Vista Alegre,12,$5.50/lb,"$4,365.13","Maruyama Coffee Co., Ltd."
20,Sítio Sumidouro,20,$5.50/lb,"$7,275.24","Wataru & Co.,Ltd."
21,Sitio Cafundó,12,$5.50/lb,"$4,365.13",Honu Kato Coffee Inc.
22,Sítio Caminho da Serra,12,$5.50/lb,"$4,365.13","Maruyama Coffee Co., Ltd."
23,Fazenda Paraíso,12,$5.50/lb,"$4,365.13","Maruyama Coffee Co., Ltd."
24,Fazenda Caracol,12,$5.50/lb,"$4,365.13",Honu Kato Coffee Inc.
25,Fazenda Boa Vista,12,$5.50/lb,"$4,365.13","Maruyama Coffee Co., Ltd."
26,Chácara União,28,$5.70/lb,"$10,555.72",Honu Kato Coffee Inc.
27,Sitio São Sebastião,12,$5.50/lb,"$4,365.13","Maruyama Coffee Co., Ltd."
28,Fazenda Laranjal,12,$5.50/lb,"$4,365.13",Café Fazenda Sertãozinho
29,Sitio Santana 2,24,$5.50/lb,"$8,730.32",Honu Kato Coffee Inc.
30,Sítio Três Barras,12,$5.50/lb,"$4,365.13","Maruyama Coffee Co., Ltd."
