RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1,36,Sítio Colinas,Luiz Flávio Pereira de Castro,"Carmo de Minas, Sul de Minas – Brasil",91.66
2,34,Sítio Vista Alegre,Ana Cristina Junqueira Villela,"Dom Viçoso, Sul de Minas – Brasil",90.41
3,28,Sítio Araucária,Kleber de Castro Junqueira,"Carmo de Minas, MG",90.19
4,32,Serra das Três Barras,José Wagner Ribeiro Junqueira,"Carmo de Minas, MG",90.13
5,76,Sítio Bico de Pato,Hislena Pereira Nogueira,"Carmo de Minas, Sul de Minas – Brasil",89.94
6,38,Fazenda Cambará,Algênio Ferraz de Castro,"Carmo de Minas, Sul de Minas – Brasil",89.41
7,38,JR (Junqueira Reis),Pedro Sérgio Ferraz Reis,"Carmo de Minas, Sul de Minas – Brasil",89.09
8,28,Fazenda Rainha,Fazenda Rainha,"São Sebastião Da Grama, Mogiana",88.72
9,50,Fazenda Recreio,Homero Teixeira de Macedo Júnior,"São Sebastião da Grama, SP",88.59
10,28,Fazenda Monte Verde,José Roberto Canato,"Carmo de Minas, MG",87.72
11,34,Fazenda Santa Mariana,Antônio Márcio de Carvalho Junqueira,"Dom Viçoso, Sul de Minas – Brasil",87.06
12,28,Gleba São Francisco (Granja…,Maria José Junqueira Ceglia,"Carmo de Minas, Sul de Minas – Brasil",86.97
13,28,Fazenda Sertãozinho,Fazenda Sertãozinho,"Botelhos, Sul de Minas – Brasil",86.81
14,38,Fazenda São Lourenço,Comercial Mineira S/A,"Varjão de Minas, Cerrado Mineiro",86.78
15,32,Chácara Sagrado Coração De…,Alvaro Antônio Pereira Coli,"Carmo De Minas, Sul De Minas",86.72
16,26,Sitio Bela Vista,Jarbas Cleto Lopes,"São Gonçalo do Sapucai, Sul de Minas – Brasil",86.44
18,28,Sítio Bela Vista,Márcio Heleno de Carvalho Junqueira,"Dom Viçoso, MG",85.97
19,32,Sítio Limeira,Sebastião Raimundo Pereira,"Cristina, Sul de Minas – Brasil",85.84
