Lot #,Winning Farm / CWS,High Bid,Total Value,Comissions,High Bidder(s)
1,Nossa Senhora Aparecida,$15.60/lb,"$28,891.20","$5,833.80","Maruyama Coffee, Cafe Maple, Saza Coffee"
2,Fazenda Paraíso,$8.50/lb,"$20,238.50","$3,452.45","GSC International Co., Ltd. (KOREA) // Shanghai Borong International Trading Co., Ltd (CHINA)"
3,Sítio da Serra,$8.40/lb,"$14,448.00","$2,459.60","TOA COFFEE Co.,Ltd & ARAB COFFEE Co.,Ltd"
4,Sitio São Francisco de Assis,$8.30/lb,"$16,467.20","$2,797.44","Kyokuto Fadie, Time’s Club, Tashiro Coffee, Honey Coffee and Coffee Libre"
5,Gleba Da Chacara,$8.20/lb,"$17,351.20","$2,941.24",Kaffebrenneriet as
6,Sítio Santa Terezinha,$8.10/lb,"$15,001.20","$2,537.24","Terarosa Coffee, Coffeejumbbang (S. Korea)"
7,Fazenda Recreio,$7.70/lb,"$11,203.50","$1,876.95",FIDELI / Almacielo
8,Sítio São Sebastião,$7.10/lb,"$11,267.70","$1,856.79","TASHIRO COFFEE Co.,Ltd"
9,Sitio Dois Irmãos,$7.10/lb,"$10,330.50","$1,702.35","Zoka Coffee; JC Coffee Importers, LLC; Mr. Green Beans; Larry’s Coffees; Seattle Coffee Works; Pollard Coffee"
10,Serra das Três Barras,$7.40/lb,"$11,743.80","$1,952.01",JuBean coffee
11,Sitio Santo Antonio,$6.30/lb,"$11,667.60","$1,870.52","Wataru & Co., Ltd."
12,Sítio Bela Vista,$6.30/lb,"$10,836.00","$1,737.20",Cultivar Coffee
13,Fazenda Rainha,$9.80/lb,"$14,259.00","$2,488.05",Campos Coffee
14a,Sitio Caparaó,$6.10/lb,"$8,875.50","$1,411.35","Wataru & Co., Ltd."
14b,Fazenda da Pedra,$5.20/lb,"$10,316.80","$1,567.36","Wataru & Co., Ltd."
15,Pedra II,$6.00/lb,"$8,730.00","$1,382.25",Wataru for SHRUB
16,Sítio Neneias,$4.80/lb,"$12,062.40","$1,809.36","Mercanta The Coffee Hunters for Cafes Meo, France"
17a,Fazenda Sertãozinho,$5.30/lb,"$9,116.00","$1,393.20","Mercanta The Coffee Hunters, Murnauer Kaffeerosterei GmbH"
17b,Faz dos Tachos,$4.60/lb,"$6,693.00","$1,003.95",NAGAHAMA COFFEE Inc.
18,Sitio Sao Bento dos Tachos,$5.00/lb,"$11,905.00","$1,785.75","Wataru & Co., Ltd."
19,Chapadao de Ferro,$4.60/lb,"$15,212.20","$2,281.83",honuKATOCOFFEE Inc.
20,Sitio Nossa S. Carmo,$4.80/lb,"$13,968.00","$2,095.20",UCC Coffee UK
21,Sítio Rocinha,$4.60/lb,"$11,559.80","$1,733.97","TOA COFFEE Co.,Ltd."
