LOT #,WINNING FARM / CWS,LOT SIZE,HIGH BID,TOTAL VALUE,HIGH BIDDER(S)
1A,FAZENDA CAMOCIM 2017 {ORG /…,6,$90.20/lb,"$35,794.07","Maruyama Coffee, TOA Coffee, Sarutahiko Coffee"
1B,FAZENDA CAMOCIM 2017 {ORG /…,6,$80.30/lb,"$31,865.45","Nippon Coffee Trading Co., Ltd."
2A,SÍTIO CAMINHO DA SERRA 2017,7,$30.60/lb,"$14,166.88",Brew92
2B,SÍTIO CAMINHO DA SERRA 2017,7,$35.20/lb,"$16,296.54",HoneyCoffee (Izaki Coffee Co. Ltd)
3A,FAZENDAS KLEM 2017 {RAO / UTZ},6,$25.40/lb,"$10,079.48",Single O
3B,FAZENDAS KLEM 2017 {RAO / UTZ},6,$25.40/lb,"$10,079.48",Coffee Me Up (Korea)
4A,FAZENDA SÃO SILVESTRE 2017…,14,$12.10/lb,"$11,203.87",Saza Coffee
4B,FAZENDA SÃO SILVESTRE 2017…,13,$11.80/lb,"$10,145.64","Maruyama Coffee Co., Ltd."
5A,SÍTIO CACHOEIRA 2017,15,$15.60/lb,"$15,476.45",Campos Coffee
5B,SÍTIO CACHOEIRA 2017,15,$15.40/lb,"$15,278.03","Proud Mary Coffee Roasters, Dragonfly coffee roasters, Coffee Libre, Times Club"
6,FAZENDA SERTÃOZINHO 2017 {UTZ},12,$9.50/lb,"$7,539.77",Café Orfeu
7,SÍTIO ESPERANÇA 2017,11,$13.00/lb,"$9,457.76",Dragonfly Coffee Roasters
8,FAZENDA SÃO BENTO (GRUPO…,11,$8.70/lb,"$6,329.42",CTS Coffee Trading Stehl GmbH
9,MINAMIHARA OURO VERDE 2017,11,$15.20/lb,"$11,058.30",Kyokuto Fadie Corporation
10,SÍTIO VARGEM ALEGRE 2017,11,$9.60/lb,"$6,984.19","Orsir Coffee (Taiwan), TRN(Taiwan Roasters Network)"
11,MINAMIHARA PAINEIRAS 2017,11,$15.20/lb,"$11,058.30","UCC Ueshima Coffee Co., Ltd."
12,NOSSA SENHORA APARECIDA 2017,19,$8.20/lb,"$10,304.37",Kyokuto Fadie Corporation
13,FAZENDA BOA VISTA 2017,11,$6.60/lb,"$4,801.63","YEUANYEOU ENTERPRISE CO., LTD"
14,SÍTIO SÃO JOAQUIM 2017,24,$6.70/lb,"$10,635.11",Honu Kato Coffee Inc.
15,FAZENDA FORTALEZA 2017,10,$9.20/lb,"$6,084.79",Veneziano Coffee Roasters
16,FAZENDA ELDORADO 2017,30,$6.90/lb,"$13,690.70",Honu Kato Coffee Inc.
17,FAZENDA RIO BRILHANTE CAFÉ…,12,$8.50/lb,"$6,746.11",Kaffebrenneriet As
18,SÍTIO BALAIO 2017,13,$7.80/lb,"$6,706.44","WATARU for OGAWA COFFEE Co.,Ltd."
19,FAZENDA ELDORADO 2017,29,$6.10/lb,"$11,699.92","Wataru & Co., Ltd."
20,SÍTIO SERRA PELADA 2017,12,$6.30/lb,"$5,000.06","Wataru & Co., Ltd."
21,ECOAGRICOLA CAFÉ LTDA 2017…,12,$8.30/lb,"$6,587.38",WATARU for TAKAMURA COFFEE ROASTERS
22,FAZENDA DO SERTÃO 2017,11,$6.60/lb,"$4,801.63","Nippon Coffee Trading Co., Ltd."
23,FAZENDA BOA ESPERANÇA 2017,29,$6.50/lb,"$12,467.13",Honu Kato Coffee Inc.
24,FAZENDA SÃO LOURENÇO 2017 {RA…,14,$9.10/lb,"$8,426.05",Ecom Japan Limited
25,JOSÉ PACELI FERNANDES 2017,12,$6.40/lb,"$5,079.42","GSC International Co., Ltd. / Shanghai Borong International Trading Co., Ltd – China"
26,JARDIM DAS OLIVEIRAS 2017,12,$6.60/lb,"$5,238.16","Wataru & Co., Ltd."
27,FAZENDA BAÚ 2017 {RA / UTZ},11,$9.10/lb,"$6,620.43","Wataru & Co., Ltd."
28,FAZENDA CARACOL 2017,12,$6.50/lb,"$5,158.79",Honu Kato Coffee Inc.
29,SÍTIO SÃO SEBASTIÃO 2017,11,$7.60/lb,"$5,529.15",Wataru for NOZY COFFEE
30,SÍTIO NOSSA SENHORA DA MATA…,12,$6.30/lb,"$5,000.06",Parisi Artisan Coffee / Paris Brothers
31,FAZENDA CACHOEIRA DA GRAMA…,24,$5.50/lb,"$8,730.32",Honu Kato Coffee Inc.
32,MINAMIHARA SANTA MARIA 2017,11,$6.40/lb,"$4,656.13","Eu Amo Rio, LLC."
