Rank,Nome,Lot Size,High Bid,Total Value,High Bidder(s)
1a,Fazenda Paraíso,6,$80.10/lb,"$31,786.08",CTS Coffee Trading Stehl GmbH
1b,Fazenda Paraíso,6,$51.00/lb,"$20,238.33","Maruyama Coffee, Sarutahiko Coffee, DABOV Specialty Coffee, GoodBoyBob Coffee"
2a,Fazenda São Pedro,7,$20.30/lb,"$9,398.29",HoneyCoffee (Izaki Coffee Co. Ltd)
2b,Fazenda São Pedro,6,$20.40/lb,"$8,095.33","Time’s Club (Japan), Coffee Libre (South Korea), Valley Coffee Roasters (China)"
3a,Chácara São Severino,7,$14.00/lb,"$6,481.58",Wataru for GOLPIE COFFEE
3b,Chácara São Severino,6,$14.09/lb,"$5,591.33","UCC Ueshima Coffee Co., Ltd."
4a,Chácara Vista Alegre,5,$10.10/lb,"$3,339.97",CAFFE PASCUCCI
4b,Chácara Vista Alegre,6,$13.00/lb,"$5,158.79",Wataru for VOILA COFFEE
5a,Fazenda Campo Alegre,6,$13.10/lb,"$5,198.47","Maruyama Coffee Co., Ltd."
5b,Fazenda Campo Alegre,6,$12.70/lb,"$5,039.74",TIMESCLUB
6a,Sítio da Torre,6,$7.60/lb,"$3,015.91","Wataru & Co., Ltd"
6b,Sítio da Torre,6,$7.60/lb,"$3,015.91","Wataru & Co., Ltd"
7a,Fortaleza,6,$8.40/lb,"$3,333.37","Wataru & Co., Ltd"
7b,Fortaleza,6,$8.60/lb,"$3,412.74","Tashiro Coffee Co., Ltd"
8a,Fazenda Fortaleza,5,$10.10/lb,"$3,339.97","TOA COFFEE Co.,Ltd."
8b,Fazenda Fortaleza,6,$10.09/lb,"$4,004.01",InterAmerican Coffee GmbH
9,Fazenda Bela Época,12,$6.30/lb,"$5,000.06","Mercanta The Coffee Hunters UK, ECO4 UK, Times Club Japan"
10,Nossa Senhora Aparecida,30,$10.50/lb,"$20,833.68",Terarosa (Haksan Co.Ltd)
11,Sitio Nossa Senhora Aparecida,24,$5.50/lb,"$8,730.32",Honu Kato Coffee Inc.
12,Fazenda Espigão do Palmital,12,$5.60/lb,"$4,444.50","GSC International Co., Ltd."
13,Fazenda Santa Rita – Central Mattos,12,$7.10/lb,"$5,634.99","Wataru & Co., Ltd"
14,Sitio Grota Fria,12,$6.80/lb,"$5,396.89","Wataru & Co., Ltd"
15,Fazenda Alto da Serra,19,$5.60/lb,"$7,037.13","GSC International Co., Ltd."
16,Fazenda Pedra Preta,15,$5.50/lb,"$5,456.44",Honu Kato Coffee Inc.
17,Fazenda Barinas,12,$5.60/lb,"$4,444.50","NIPPON COFFEE TRADING CO., LTD."
18,Fazenda Cachoeira da Grama,20,$6.20/lb,"$8,201.17","Brazcof Inc. for Detour Coffee, Propeller Coffee, & Nossa Familia Coffee"
19,Sitio do Bone,12,$6.20/lb,"$4,920.69",Campos Coffee
20,Sítio Mandioca,18,$5.50/lb,"$6,547.75",Honu Kato Coffee Inc.
21,Fazenda Claudio,12,$5.90/lb,"$4,682.59",SOL PANAMBY SPECIALTY COFFEES
22,Fazenda Vitória,12,$5.50/lb,"$4,365.13","Wataru & Co., Ltd"
23,Chácara Capãozinho,18,$5.50/lb,"$6,547.75","Tashiro Coffee Co., Ltd"
24,Sitio Santo Antonio,30,$5.50/lb,"$10,912.88",Honu Kato Coffee Inc.
25,Fazenda Sertãozinho,12,$5.50/lb,"$4,365.13",Café Fazenda Sertãozinho
26,Sitio Alto da Serra,14,$5.50/lb,"$5,092.67","Wataru & Co., Ltd"
27,Sitio Córrego dos Machados,12,$5.50/lb,"$4,365.13",TALK IN COFFEE
28,Sítio São Francisco,12,$5.50/lb,"$4,365.13",Honu Kato Coffee Inc.
29,Fazenda Nossa Senhora Aparecida,15,$5.50/lb,"$5,456.44","Maruyama Coffee Co., Ltd."
30,Sítio Córrego Grande,16,$5.50/lb,"$5,820.21","Maruyama Coffee Co., Ltd."
31,Sítio Santa Terezinha,20,$5.50/lb,"$7,275.24",Honu Kato Coffee Inc.
32,Fazenda Do Sertão,30,$5.50/lb,"$10,912.88","Maruyama Coffee Co., Ltd."
33,Fazenda São Bento,12,$5.50/lb,"$4,365.13","Wataru & Co., Ltd"
34,Fazenda Esperança,11,$6.00/lb,"$4,365.18",SOL PANAMBY SPECIALTY COFFEES
35,Serra Do Triunfo,12,$5.50/lb,"$4,365.13",Honu Kato Coffee Inc.
36,Fazenda São Sebastião,12,$5.50/lb,"$4,365.13","Maruyama Coffee Co., Ltd."
37,Fazenda Santo André,12,$5.50/lb,"$4,365.13","Maruyama Coffee Co., Ltd."
