RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1,35,Sitio São Sebastião,Sebastião Afonso da Silva,"Cristina, Minas Gerais",94.47
2,22,Fazenda Irmãs Pereira,Maria Valeria Costa Pereira,"Carmo de Minas, Minas Gerais",92.77
3,41,Kaquend ~2015,Ralph de Castro Junqueira,"Carmo de Minas, Minas Gerais",90.4
4,27,Sítio Paraiso (Lote 3),Cristiana Maria Carneiro Bustamante Figueira,"Conceição das Pedras, Minas Gerais",89.9
5,89,Fazenda Mantissa,Mauro Bili,"Campestre, Minas Gerais",89.8
6,29,Sitio Santo Antônio ~ 2015,Josdair Vicente Sandi,"Conceição das Pedras, Minas Gerais",89.03
7,50,Fazenda Pedra Redonda ~ 2015,José Bernardes Santana,"Araponga, Minas Gerais",88.63
8,27,Sítio Rocinha,Fernando Manoel de Oliveira,"Pedralva, Minas Gerais",88.5
9,45,Estância Fonte Alta,Agro Fonte Alta,"Poços de Caldas, Minas Gerais",88.3
10,17,Fazenda Dos Tachos,Adelino R.B. Semboloni,"Varginha, Minas Gerais",88.2
11,21,Sitio São Francisco de Assis…,Marisa Coli Noronha,"Carmo de Minas, Minas Gerais",87.27
12,21,Sítio da Torre ~ 2015,Alvaro antônio Pereira Coli,"Carmo de Minas, Minas Gerais",87.2
13,24,Fazenda Recreio ~2015,Homero Teixeira de Macedo Junior,"São Sebastião da Grama, Minas Gerais",86.87
14,23,Santa Izabel,Helisson Afonso da Silva,"Carmo de Minas, Minas Gerais",86.83
15,23,Fazenda Trapia ~2015,Andrea de Souza Rangel,"Baependi, Minas Gerais",86.8
16,31,Sítio São Judas Tadeu,Paulo Ribeiro Rocha,"Cristina, Minas Gerais",86.77
17,23,Fazenda Boa Vista,Luiz Gustavo Guimaraes Correa,"Cassia, Minas Gerais",86.67
18,23,Fazenda Baixadão,Antônio Marcio da Silva,"Cristina, Minas Gerais",86.57
19,23,Fazenda São Paulo,José Carlos Cepera,"Santo Antônio do Amparo, Minas Gerais",86.5
20A,44,Mandembo,Carlos Alberto de Castro Pereira,"Olimpio Noronha, Minas Gerais",86.43
20B,30,Sitio Serra ~2015,Marcelo Moraes,"Poços de Caldas, Minas Gerais",86.43
22,99,São José da Boa Vista,José Augusto Peixoto,"Ibiraci, Minas Gerais",86.4
23A,22,Fazenda Pinheirinho,Ipanema Agricola S/A,"Cambuquira, Minas Gerais",86.37
23B,35,Sitio São Joaquim ~2015,Jesimar de Oliveira Sandi,"Conceição das Pedras, Minas Gerais",86.37
25,27,Sitio da Serra ~2015,Márcio de Souza Franqueira,"Carmo de Minas, Minas Gerais",86.27
26,31,Gleba da Chácara ~2015,Carolina Coli Garcia,"Carmo de Minas, Minas Gerais",86.23
27,43,Nhá Chica,Maristela Coli Junqueira,"Soledade de Minas, Minas Gerais",86.2
28,35,Sítio do Cruz,Rogério Rodrigues Pereira,"Carmo de Minas, Minas Gerais",86.13
29,57,Fazenda São Bartolomeu,Sebastião Alves Ribeiro,"Lambari, Minas Gerais",86.1
30,23,Fazenda do Brejinho,Maria José V. Rezende Bernardes,"Varginha, Minas Gerais",85.87
31A,99,Fazenda Recanto do Mato,Thelma de Lima Peixoto,"Ibiraci, Minas Gerais",85.67
31B,22,Fazenda Monte Verde,Fal Holdings Participações,"Carmo de Minas, Minas Gerais",85.67
