LOT #,WINNING FARM / CWS,LOT SIZE,HIGH BID,TOTAL VALUE,HIGH BIDDER(S)
1,Sitio São Sebastião,35,$8.10/lb,"$18,751.50","Maruyama Coffee, Yamada Coffee, Branch Coffee, Toa Coffee, Time’s Club, Saza Coffee (Japan) / Campos Coffee (Australia) / Coffee Libre (South Korea)"
2,Fazenda Irmãs Pereira,22,$4.40/lb,"$6,402.22","Maruyama Coffee, Pon Pon Coffee, Sugi Coffee Roasting"
3,Kaquend ~2015,41,$4.40/lb,"$11,931.42","NIPPON COFFEE TRADING CO.,LTD."
4,Sítio Paraiso (Lote 3),27,$5.10/lb,"$9,107.30",Kaffebrenneriet as
5,Fazenda Mantissa,89,$4.00/lb,"$23,545.37",Campos Coffee
6,Sitio Santo Antônio ~ 2015,29,$4.00/lb,"$7,672.09","Maruyama Coffee Co., Ltd."
7,Fazenda Pedra Redonda ~ 2015,50,$4.00/lb,"$13,227.74",Kyokuto Fadie Corporation
8,Sítio Rocinha,27,$4.00/lb,"$7,142.98","Maruyama Coffee Co., Ltd."
9,Estância Fonte Alta,45,$4.20/lb,"$12,500.21","GSC International Co., Ltd. (KOREA) // Shanghai Borong International Trading Co., Ltd (CHINA)"
10,Fazenda Dos Tachos,17,$4.00/lb,"$4,497.43",NAGAHAMA COFFEE
11,Sitio São Francisco de Assis…,21,$8.50/lb,"$11,805.75","Wataru & Co., Ltd"
12,Sítio da Torre ~ 2015,21,$4.10/lb,"$5,694.54",UCC COFFEE ACADEMY
13,Fazenda Recreio ~2015,24,$5.70/lb,"$9,047.77",ECOM Japan Limited
14,Santa Izabel,23,$4.00/lb,"$6,084.76","Wataru & Co., Ltd"
15,Fazenda Trapia ~2015,23,$4.00/lb,"$6,084.76","Maruyama Coffee Co., Ltd."
16,Sítio São Judas Tadeu,31,$4.00/lb,"$8,201.20","Maruyama Coffee Co., Ltd."
17,Fazenda Boa Vista,23,$4.10/lb,"$6,236.88","Wataru & Co., Ltd"
18,Fazenda Baixadão,23,$4.00/lb,"$6,084.76","Maruyama Coffee Co., Ltd."
19,Fazenda São Paulo,23,$4.00/lb,"$6,084.76",RYANS COFFEE ROASTERS
20A,Mandembo,44,$4.10/lb,"$11,931.42",Merlo Coffee
20B,Sitio Serra ~2015,30,$4.00/lb,"$7,936.64","Maruyama Coffee Co., Ltd."
22,São José da Boa Vista,99,$4.00/lb,"$26,190.92","GSC International Co., Ltd. (KOREA) // Shanghai Borong International Trading Co., Ltd (CHINA)"
23A,Fazenda Pinheirinho,22,$4.00/lb,"$5,820.20","Wataru & Co., Ltd"
23B,Sitio São Joaquim ~2015,35,$4.00/lb,"$9,259.42","Maruyama Coffee Co., Ltd."
25,Sitio da Serra ~2015,27,$5.10/lb,"$9,107.30","Wataru & Co., Ltd"
26,Gleba da Chácara ~2015,31,$4.00/lb,"$8,201.20","Maruyama Coffee Co., Ltd."
27,Nhá Chica,43,$4.00/lb,"$11,375.85","CAFE DAZAC, Coffee Sallim Factory, Juk-dong cafe D, Crema Costa, Beanstore"
28,Sítio do Cruz,35,$4.00/lb,"$9,259.42","Maruyama Coffee Co., Ltd."
29,Fazenda São Bartolomeu,57,$4.00/lb,"$15,079.62","Maruyama Coffee Co., Ltd."
30,Fazenda do Brejinho,23,$4.20/lb,"$6,388.20","Mercanta The Coffee Hunters, Has Bean Coffee (UK), Dark Woods Coffee (UK), Artisan Coffee (UK)"
31A,Fazenda Recanto do Mato,99,$4.00/lb,"$26,190.92",CHOI Coffee Roasters & Seoul Coffee School
31B,Fazenda Monte Verde,22,$4.00/lb,"$5,820.20",Nobletree Coffee
