RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1,34,Sítio Baixadão,Antônio Marcio da Silva,"Cristina, Mantiqueira de Minas",95.18
2,19,Sítio Sertãozinho,Elson Benedito Daniel,"Cristina, Mantiqueira de Minas",93.82
3,29,Bom Pastor,Edmo Junqueira Villela,"Carmo de Minas, Mantiqueira de Minas",93
4,26,Fazenda São Benedito,Antônio José Junqueira Villela,"Carmo de Minas, Mantiqueira de Minas",92.11
5,25,Sertãozinho,Marcio Ribeiro Rocha,"Cristina, Mantiqueira de Minas",88.75
6a,64,Sítio Alamanda,Elenise Marcia Santana Berges,"Araponga, Matas de Minas",88.71
6b,21,Sitio da Ponte,Jacques Pereira Carneiro,"Cristina, Mantiqueira de Minas",88.71
8,49,Chapadão de Ferro (2015),Ruvaldo Delarisse,"Patrocinio, Cerrado Mineiro",88.61
9,80,Sítio Vale do Sino,José Roberto Vidigal Santana,"Araponga, Matas de Minas",88.5
10,25,Sítio Santo Antônio (2015),Josdair Vicente Sandi,"Conceição das Pedras, Mantiqueira de Minas",88.36
11,24,Sítio Nossa S. Carmo,Severino Breno Pereira Junqueira,"Carmo de Minas, Mantiqueira de Minas",87.75
12,22,Fazenda Rio Verde,Ipanema Agrícola S/A,"Conceição do Rio Verde, Sul de Minas",87.71
13,100,Pedra Redonda,José Bernardes Santana,"Araponga, Matas de Minas",87.61
14,31,Sitio Rocinha (2015),Demetrio Flaviano de Oliveira,"Pedralva, Mantiqueira de Minas",87.11
15,19,Fazenda Jardim das Oliveiras,Simone Aparecida Dias Sampaio,"Araponga, Matas de Minas",86.75
16,23,Monte Verde,FAL HOLDINGS Participações Ltda.,"Carmo de Minas, Mantiqueira de Minas",86.57
17,41,Sitio da Ponte,João Andrade de Miranda,"Araponga, Matas de Minas",86.39
18,69,Fazenda HJ,Espolio Arthur Jose Hofig Junior,"Unaí, Cerrado Mineiro",86.25
19,23,Santa Lucia,AC CAFÉ S/A,"Perdizes, Cerrado Mineiro",86
20,23,Samambaia (2015),Henrique Dias Cambraia,"Santo Antônio do Amparo, Sul de Minas",85.71
21a,33,Rancho São Pedro,Pedro Sérgio Ferraz Reis,"Carmo de Minas, Mantiqueira de Minas",85.36
21b,23,Fazenda Esperança,Thiago de Oliveira Sidney Viana Dias,"Campos Altos, Cerrado Mineiro",85.36
23,29,Fazenda Caracol,Cristina Dias Sampaio Gerolimich,"Araponga, Matas de Minas",85.29
