LOT #,WINNING FARM / CWS,LOT SIZE,HIGH BID,TOTAL VALUE,HIGH BIDDER(S)
1,Sítio Baixadão,34,$23.80/lb,"$53,526.20",Starbucks Coffee Trading Company
2,Sítio Sertãozinho,19,$23.60/lb,"$29,665.20","Maruyama Coffee, Yokoi Coffee, Yamada Coffee"
3,Bom Pastor,29,$9.80/lb,"$18,796.40","Kyokuto Fadie Corporation, Time’s Club (Japan) // Coffee Libre (South Korea) // Proud Mary (Australia)"
4,Fazenda São Benedito,26,$10.25/lb,"$17,630.00","Campos Coffee, Willoughby’s Coffee & Tea"
5,Sertãozinho,25,$9.10/lb,"$15,042.30","TOA COFFEE Co.,Ltd & ARAB COFFEE Co.,Ltd"
6a,Sítio Alamanda,64,$5.30/lb,"$22,434.90","(SOUTH KOREA) ALMACIELO, De Ballon"
6b,Sitio da Ponte,21,$8.40/lb,"$11,667.60",SPC
8,Chapadão de Ferro (2015),49,$5.70/lb,"$18,473.70",NAGAHAMA COFFEE Inc.
9,Sítio Vale do Sino,80,$4.70/lb,"$24,867.70",honuKATOCOFFEE Inc.
10,Sítio Santo Antônio (2015),25,$8.40/lb,"$13,885.20",Kaffebrenneriet as
11,Sítio Nossa S. Carmo,24,$8.40/lb,"$13,330.80","Mercanta The Coffee Hunters, Has Bean Coffee, Dark Woods Coffee, Red Roaster (UK) // Beyond the Bean (Norway) // Cafe Knopes (Belgium) // Hexagone Cafe (France)"
12,Fazenda Rio Verde,22,$8.06/lb,"$11,727.30",MC FOODS LIMITED
13,Pedra Redonda,100,$4.50/lb,"$29,763.00","GSC International Co., Ltd. (KOREA) // Shanghai Borong International Trading Co., Ltd (CHINA)"
14,Sitio Rocinha (2015),31,$7.30/lb,"$14,965.00",Wataru for OGAWA COFFEE
15,Fazenda Jardim das Oliveiras,19,$8.30/lb,"$10,433.10","Eo-Neu-Jo-Eun-Nal (One Fine Day Coffee Korea), All That Coffee (Ilsan Specialty Coffee Company)"
16,Monte Verde,23,$7.90/lb,"$12,015.90",Wataru for SHRUB COFFEE
17,Sitio da Ponte,41,$6.60/lb,"$17,899.20","Wataru & Co., Ltd."
18,Fazenda HJ,69,$4.60/lb,"$20,994.40","Cafe DAZAC, Coffee Sallim Factory, Juk-dong Cafe D, NIRVANA Coffee, Beanstore(Buchon), Crema Costa"
19,Santa Lucia,23,$8.00/lb,"$12,168.00","Wataru & Co., Ltd."
20,Samambaia (2015),23,$7.50/lb,"$11,407.50","Maruyama Coffee, Yokoi Coffee, Yamada Coffee"
21a,Rancho São Pedro,33,$6.50/lb,"$14,189.50","Wataru & Co., Ltd."
21b,Fazenda Esperança,23,$5.70/lb,"$8,669.70",JuBean coffee
23,Fazenda Caracol,29,$5.40/lb,"$10,357.20",Wataru for TAKAMURA COFFEE ROASTERS
