LOT #,WINNING FARM / CWS,LOT SIZE,HIGH BID,TOTAL VALUE,HIGH BIDDER(S)
1,BUSINDE Washing Station,27,$23.40/lb,"$40,032.49","Maruyama Coffee, Sugi Coffee Roasting (Japan) and Orsir Coffee (Taiwan)"
2,YANDARO Washing Station,34,$12.77/lb,"$28,828.66","TOA COFFEE Co., Ltd., Time’s Club for C-COOP, TASHIRO COFFEE (Japan) and Coffee Libre (S. Korea)"
3,MAHONDA Washing Station,47,$10.10/lb,"$31,017.50","Single Origin Roasters, Five Senses, Proud Mary"
4,KIBUNGERE Washing Station,68,$5.95/lb,"$26,549.79",SUPREMO Kaffeeroesterei in Unterhaching
5,KIBUNGERE Washing Station,47,$8.00/lb,"$24,550.64","TERAROSA, Beanybeans Coffee & Beany Roasters (Korea)"
6,MWENDO Washing Station,25,$7.20/lb,"$12,016.08","Moxxee/Commonplace Coffeehouse (USA), Invalsa Coffee® (USA), Coffee Labs (USA) & Rojo’s Roastery (USA)"
7,GASAVE Washing Station,47,$5.60/lb,"$17,358.32","EL CAFE coffee roasters, Told a Story, Seo Dongjin’s Coffee Lab, Beansfree, Coffee Society, Cafe themselves, Cafe nu(Korea)"
8,BUHORWA Washing Station,99,$4.20/lb,"$27,463.38",honuKATOCOFFEE Inc.
9,MAHONDA Washing Station,47,$5.80/lb,"$18,067.75",Campos Coffee
10,BUTEMBA Washing Station,48,$6.75/lb,"$21,190.82",Kaffebrenneriet as
11,MURAMBI Washing Station,28,$7.21/lb,"$13,320.26","Wataru & Co., Ltd."
12,NKANDA Washing Station,26,$7.20/lb,"$12,508.13",Blue Bottle Coffee Co.
13,MASHA Washing Station,46,$6.80/lb,"$20,553.20","Wataru & Co., Ltd."
14,RUSAMAZA Washing Station,48,$5.65/lb,"$17,824.68",Kaffebrenneriet as
15,RUHANDE Washing Station,39,$5.85/lb,"$15,218.48","Wataru & Co., Ltd."
16,KIBUNGERE Washing Station,45,$5.65/lb,"$16,915.37",gimme! coffee and The Coffee Tree Roasters
17,NYAMASAKA Washing Station,48,$5.12/lb,"$16,152.63","Nippon Coffee Trading Co.,Ltd"
