RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1A,7,KIBINGO 2017,Nshimirimana Pascasie – GREENCO,"KAYANZA, KAYANZA",90.45
1B,7,KIBINGO 2017,Nshimirimana Pascasie – GREENCO,"KAYANZA, KAYANZA",90.45
2A,8,NZOVE 2017,Niyikiza Marceline – GREENCO,"MWUMBA, NGOZI",90.4
2B,7,NZOVE 2017,Niyikiza Marceline – GREENCO,"MWUMBA, NGOZI",90.4
3,15,GAKENKE 2017,Karikumutima Cyprien – GREENCO,"GATARA, KAYANZA",89.9
4,16,KAGOMA 2017,Nyabenda Margueritte – GREENCO,"NYAMURENZA, NGOZI",89.88
5,15,RUBAGABAGA 2017,Sindayigaya Candide – GREENCO,"GATARA, KAYANZA",89.43
6,32,MUNKAZE COFFEE 2017,Miburo Salvator – BUJA CAFFEEE,"KAYANZA, KAYANZA",89.15
7,14,MASHA 2017,Hakizimana Vénant – GREENCO,"GATARA, KAYANZA",89.05
8,15,NZOVE 2017,Miburo Emile – GREENCO,"MWUMBA, NGOZI",88.98
9,12,NEMBA 2017,Niyorugira Charles – GREENCO,"KAYANZA, KAYANZA",88.55
10,31,MUNYINYA 2017,Nshimirimana David – MUNYINYA COFFEE,"BUTAGANZWA, KAYANZA",88.33
11,14,NKAKA 2017,Nkurunziza Egide – GREENCO,"MWUMBA, NGOZI",87.64
12,14,KAGOMA 2017,Bigirimana Marie – GREENCO,"NYAMURENZA, NGOZI",87.6
13,13,BUYENGERO 2017,Niyomana Levis – COOP DUSUBIZITEKIKAWA/HORAMAMA COFFEE,"BUYENGERO, RUMONGE",87.57
14,9,KAVUMU-NYAKARAMBO 2017,Ndaruzaniye Basile – COOP TWARANYUZWE/HORAMAMA COFFEE,"KAYANZA, KAYANZA",87.43
15,21,RUHORORO 2017,Harerimana Stéphanie – COOP UBWIZA BW’IKAWA/HORAMAMA COFFEE,"KAYANZA, KAYANZA",87.39
16,42,BUTEMBA 2017,Ntahiraja Rose – SOGESTAL KIRIMIRO,"BURAZA, GITEGA",87.26
17,16,KIBINGO 2017,Barutwanayo Léonidas – GREENCO,"KAYANZA, KAYANZA",87.24
18,29,MUNKAZE COFFEE 2017,Ntakaburimvo Thérèse – BUJA CAFFEEE 15+,"KAYANZA, KAYANZA",87.1
19,16,YANDARO 2017,Havyarimana Victor – GREENCO,"KABARORE, KAYANZA",87.05
20,14,RUBAGABAGA 2017,Sinzumunsi Isaac – GREENCO,"GATARA, KAYANZA",87.02
21,22,RUTOBO 2017,Manariyo Donate – COOP RYOHORIKAWA/HORAMAMA COFFEE,"KIREMBA, NGOZI",86.99
22,21,MPANGA 2017,Bamvuga Innocent – MATRACO,"KAYANZA, KAYANZA",86.97
23,9,KAVUMU-NYAKARAMBO 2017,Nsabimana Séraphine – COOP TWARANYUZWE/HORAMAMA COFFEE,"KAYANZA, KAYANZA",86.86
