RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE,VARIETY,PROCESSING,LOT NO.
1A,4,RUBAGABAGA,Barinzigo Honoré – GREENCO,"KAYANZA, GATARA",91.43,Bourbon,Washed,2
1B,5,RUBAGABAGA,Barinzigo Honoré – GREENCO,"KAYANZA, GATARA",91.43,Bourbon,Washed,2
2A,9,MUNKAZE COFFEE,Bavumiragira Antoine – BUJA COFFEE 15+,"KAYANZA, KAYANZA",91.14,Bourbon,Washed,39
2B,10,MUNKAZE COFFEE,Bavumiragira Antoine – BUJA COFFEE 15+,"KAYANZA, KAYANZA",91.14,Bourbon,Washed,39
3A,4,RUBAGABAGA,Bucumi Casimile – GREENCO,"KAYANZA, GATARA",90.57,Bourbon,Washed,1
3B,5,RUBAGABAGA,Bucumi Casimile – GREENCO,"KAYANZA, GATARA",90.57,Bourbon,Washed,1
4A,22,BWAYI,Minani Agnès – SOGESTAL KAYANZA,"KAYANZA, MATONGO",90.46,Bourbon,Washed,2003
4B,23,BWAYI,Minani Agnès – SOGESTAL KAYANZA,"KAYANZA, MATONGO",90.46,Bourbon,Washed,2003
5A,5,NEMBA,Miburo Adrien – GREENCO,"KAYANZA, KAYANZA",90.32,Bourbon,Washed,4
5B,5,NEMBA,Miburo Adrien – GREENCO,"KAYANZA, KAYANZA",90.32,Bourbon,Washed,4
6A,5,NZOVE,Minani Elias – GREENCO,"NGOZI, MWUMBA",90.32,Bourbon,Washed,2
6B,5,NZOVE,Minani Elias – GREENCO,"NGOZI, MWUMBA",90.32,Bourbon,Washed,2
7A,21,BWAYI,Nizigiyimana Léonard – SOGESTAL KAYANZA,"KAYANZA, MATONGO",90.25,Bourbon,Washed,2002
7B,21,BWAYI,Nizigiyimana Léonard – SOGESTAL KAYANZA,"KAYANZA, MATONGO",90.25,Bourbon,Washed,2002
8,10,BUZIRAGUHINDWA,Sindihebura Aghalte – CPC,"KAYANZA, MURUTA",89.96,Bourbon,Washed,128
9,9,NKAKA,Minani Balthazar – GREENCO,"NGOZI, MWUMBA",89.79,Bourbon,Washed,1
10,10,KINYANA,Faida Denise – GREENCO,"NGOZI, NGOZI",89.71,Bourbon,Washed,1
11,31,GWIRI,Niyonzima Géovanie – COOP YAGIKAWA,"KAYANZA, MATONGO",88.61,Bourbon,Washed,6A
12,10,NEMBA,Banyansekare Marc – GREENCO,"KAYANZA, KAYANZA",88.54,Bourbon,Washed,1
13,11,NZOVE,Bucumi Consilie – GREENCO,"NGOZI, MWUMBA",88.43,Bourbon,Washed,3
14,24,KIREMA,Nyandwi Immaculée – SOGESTAL KAYANZA,"NGOZI, BUSIGA",88.39,Bourbon,Washed,3140
15,10,KIBINGO,Miburo Anicet – GREENCO,"KAYANZA, KAYANZA",88.29,Bourbon,Washed,4
16,10,YANDARO,Minani Eliphase – GREENCO,"KAYANZA, KABARORE",88.25,Bourbon,Washed,4
17,10,BUZIRAGUHINDWA,Barisesa Immaculée – CPC,"KAYANZA, MURUTA",88.18,Bourbon,Washed,129
18,9,KAGOMA,Minani Balthazar – GREENCO,"NGOZI, NYAMURENZA",88.14,Bourbon,Washed,1
19,8,NKAKA,Ngendakumana Salvator – GREENCO,"NGOZI, MWUMBA",88.14,Bourbon,Washed,3
20,42,BWAYI,Mpamira Joseph – SOGESTAL KAYANZA,"KAYANZA, MATONGO",88.11,Bourbon,Washed,2001
21,29,GWIRI,Ntungicimpaye Caline – COOP YAGIKAWA,"KAYANZA, MATONGO",88.11,Bourbon,Washed,6B
22,10,BUKEYE,Ndorere Juvenal – CCC,"MURAMVYA, BUKEYE",88,Bourbon,Washed,10029
23,10,NEMBA,Barutwanayo Cassien – GREENCO,"KAYANZA, KAYANZA",87.89,Bourbon,Washed,2
24,20,MPANGA,– MATRACO,"KAYANZA, KAYANZA",87.71,Bourbon,Washed,2
25,14,KAZIBAZIBA,Manirakiza Thérèse – COOP DOHORERABARIMYI,"KAYANZA, KABARORE",87.68,Bourbon,Washed,44
26,9,KAGOMA,Manimbona Laurant – GREENCO,"NGOZI, NYAMURENZA",87.54,Bourbon,Washed,3
27,33,MUNYINYA,Biyuhire Joselyne – MUNYINYA COFFEE,"KAYANZA, BUTAGANZWA",87.46,Bourbon,Washed,2
28,14,BUSINDE,Nsengiyumva Désiré – MATRACO,"KAYANZA, GAHOMBO",87.46,Bourbon,Washed,30118
29,10,KAGOMA,Hatungimana Donatien – GREENCO,"NGOZI, NYAMURENZA",87.11,Bourbon,Washed,4
