Rank,Score,Boxes,Weight,Bid,Total value,Farm,High bidder
1A,91.43,4,264.55lbs,$19.90/lb,"$5,264.55",RUBAGABAGA – Barinzigo Honoré – GREENCO,"Maruyama Coffee Co., Ltd., Sarutahiko Coffee, Good Boy Bob Coffee"
1B,91.43,5,315.26lbs,$19.60/lb,"$6,179.10",RUBAGABAGA – Barinzigo Honoré – GREENCO,"Time’s Club, Hisashi Yamamoto Coffee (Unir), Coffee Libre"
2A,91.14,9,595.25lbs,$18.30/lb,"$10,893.08",MUNKAZE COFFEE – Bavumiragira Antoine – BUJA COFFEE 15+,Campos Coffee
2B,91,10,652.57lbs,$16.60/lb,"$10,832.66",MUNKAZE COFFEE – Bavumiragira Antoine – BUJA COFFEE 15+,Campos Coffee
3A,91,4,264.55lbs,$11.00/lb,"$2,910.05",RUBAGABAGA – Bucumi Casimile – GREENCO,Mokka Speciality Coffee
3B,90.57,5,330.69lbs,$11.00/lb,"$3,637.59",RUBAGABAGA – Bucumi Casimile – GREENCO,"Red Meow Coffee, Chanji Coffee Firm"
4A,90,22,"1,455.05lbs",$6.60/lb,"$9,603.33",BWAYI – Minani Agnès – SOGESTAL KAYANZA,Kafema
4B,90.46,23,"1,514.57lbs",$6.00/lb,"$9,087.42",BWAYI – Minani Agnès – SOGESTAL KAYANZA,"Wataru & Co., Ltd."
5A,90,5,330.69lbs,$8.10/lb,"$2,678.59",NEMBA – Miburo Adrien – GREENCO,lowkeycoffee (coffeejumbbang)
5B,90,5,330.69lbs,$7.20/lb,"$2,380.97",NEMBA – Miburo Adrien – GREENCO,32CUP N.V.
6A,90.32,5,330.69lbs,$7.20/lb,"$2,380.97",NZOVE – Minani Elias – GREENCO,"Toa Coffee Co., Ltd. JAPAN"
6B,90,5,308.65lbs,$7.60/lb,"$2,345.74",NZOVE – Minani Elias – GREENCO,"Wataru & Co., Ltd. – Nagoya"
7A,90,21,"1,388.91lbs",$5.90/lb,"$8,194.57",BWAYI – Nizigiyimana Léonard – SOGESTAL KAYANZA,"Wataru & Co., Ltd."
7B,90,21,"1,417.57lbs",$6.00/lb,"$8,505.42",BWAYI – Nizigiyimana Léonard – SOGESTAL KAYANZA,elbgold Roestkaffee GmbH
8,89.96,10,679.02lbs,$17.50/lb,"$11,882.85",BUZIRAGUHINDWA – Sindihebura Aghalte – CPC,Campos Coffee
9,90,9,595.25lbs,$5.70/lb,"$3,392.93",NKAKA – Minani Balthazar – GREENCO,"Moustache Coffee Club, Florisbella Coffee, Carrboro Coffee Roasters, Kean Coffee"
10,90,10,661.39lbs,$5.70/lb,"$3,769.92",KINYANA – Faida Denise – GREENCO,BPC for Coffee Fiel
11,89,31,"2,076.75lbs",$5.50/lb,"$11,422.13",GWIRI – Niyonzima Géovanie – COOP YAGIKAWA,Kyokuto Fadie Corporation
12,88.54,10,661.39lbs,$6.00/lb,"$3,968.34",NEMBA – Banyansekare Marc – GREENCO,Dimattina Coffee
13,88,11,712.09lbs,$6.00/lb,"$4,272.54",NZOVE – Bucumi Consilie – GREENCO,La Boheme Cafe
14,88.39,24,"1,569.69lbs",$6.10/lb,"$9,575.11",KIREMA – Nyandwi Immaculée – SOGESTAL KAYANZA,Campos Coffee
15,88.29,10,639.34lbs,$7.60/lb,"$4,858.98",KIBINGO – Miburo Anicet – GREENCO,Dragonfly Coffee Roasters
16,88,10,661.39lbs,$7.50/lb,"$4,960.43",YANDARO – Minani Eliphase – GREENCO,Wataru for Nozy Coffee
17,88.18,10,683.43lbs,$5.60/lb,"$3,827.21",BUZIRAGUHINDWA – Barisesa Immaculée – CPC,"Red Meow Coffee, Chanji Coffee Firm"
18,88.14,9,612.88lbs,$5.50/lb,"$3,370.84",KAGOMA – Minani Balthazar – GREENCO,"Maruyama Coffee Co., Ltd."
19,88.14,8,551.16lbs,$5.60/lb,"$3,086.50",NKAKA – Ngendakumana Salvator – GREENCO,Nippon Coffee Trading
20,88.11,42,"2,806.48lbs",$5.50/lb,"$15,435.64",BWAYI – Mpamira Joseph – SOGESTAL KAYANZA,Honu Kato Coffee Inc.
21,88.11,29,"1,931.25lbs",$5.50/lb,"$10,621.88",GWIRI – Ntungicimpaye Caline – COOP YAGIKAWA,"Wataru & Co., Ltd."
22,88,10,639.34lbs,$5.60/lb,"$3,580.30",BUKEYE – Ndorere Juvenal – CCC,Ogawa Coffee
23,87.89,10,679.02lbs,$6.00/lb,"$4,074.12",NEMBA – Barutwanayo Cassien – GREENCO,HAYDEN
24,87.71,20,"1,322.77lbs",$5.50/lb,"$7,275.24",MPANGA – – MATRACO,"UCC Ueshima Coffee Co., Ltd."
25,87.68,14,954.6lbs,$5.50/lb,"$5,250.30",KAZIBAZIBA – Manirakiza Thérèse – COOP DOHORERABARIMYI,Honu Kato Coffee Inc.
26,87.54,9,617.29lbs,$5.60/lb,"$3,456.82",KAGOMA – Manimbona Laurant – GREENCO,"Wataru & Co., Ltd. – Nagoya"
27,87.46,33,"2,182.57lbs",$5.50/lb,"$12,004.14",MUNYINYA – Biyuhire Joselyne – MUNYINYA COFFEE,Honu Kato Coffee Inc.
28,87.46,14,914.92lbs,$5.50/lb,"$5,032.06",BUSINDE – Nsengiyumva Désiré – MATRACO,Honu Kato Coffee Inc.
29,87.11,10,628.32lbs,$5.50/lb,"$3,455.76",KAGOMA – Hatungimana Donatien – GREENCO,Honu Kato Coffee Inc.
