RANK,WEIGHT (kg),FARM/CWS,OWNER,REGION,SCORE,VARIETY,PROCESS
1a,390,GATUKUZA,ETS NDUWAYEZU,"NGOZI, GASHIKANWA",90.13,Bourbon,Natural
1b,384,GATUKUZA,ETS NDUWAYEZU,"NGOZI, GASHIKANWA",90.13,Bourbon,Natural
2,894,GITWENGE,SOGESTAL KAYANZA,"KAYANZA, GATARA",89.92,Bourbon,Washed
3,"1,162",KARINZI,SOGESTAL KAYANZA,"KAYANZA, KAYANZA",89.43,Bourbon,Washed
4,"1,249",KIRIRIMA,SOGESTAL KAYANZA,"KAYANZA, KABARORE",89.27,Bourbon,Washed
5,806,KAZIBAZIBA,COOP DOHORERABARIMYI,"KAYANZA, KABARORE",89.25,Bourbon,Washed
6,"1,247",MUGIRAMPEKE,BUGESTAL,"NGOZI, TANGARA",89.22,Bourbon,Washed
7,510,MARURI,COOP DUSANGIRIJAMBO,"KAYANZA, KAYANZA",89.15,Bourbon,Washed
8,"1,066",GACOKWE,SOGESTAL KAYANZA,"KAYANZA, RANGO",89.05,Bourbon,Washed
9,"1,357",KIREMA,SOGESTAL KAYANZA,"KAYANZA, KAYANZA",89,Bourbon,Washed
10,283,NKUBA,KIJSCO,"KAYANZA, KAYANZA",88.88,Bourbon,Natural
11,"1,342",GISHA,BUGESTAL,"NGOZI, TANGARA",87.9,Bourbon,Washed
12,"1,380",MUTANGA,COOP UMUCOWIKAWA,"RUMONGE, BUYENGERO",87.88,Bourbon,Washed
13,"1,108",NGOGOMO,BUGESTAL,"MUYINGA, GASORWE",87.78,Bourbon,Washed
14,652,RWIRI,COOP YAGIKAWA,"KAYANZA, MATONGO",87.75,Bourbon,Washed
15,"1,200",BUTEZI,SOGESTAL KAYANZA,"KAYANZA, GAHOMBO",87.73,Bourbon,Washed
16,"1,205",KAREHE,SOGESTAL KAYANZA,"NGOZI, BUSIGA",87.67,Bourbon,Washed
17,"1,372",NYAMASO,BUGESTAL,"MUYINGA, MUYINGA",87.58,Bourbon,Washed
18,627,RUHORORO,COOP UBWIZABWIKAWA,"KAYANZA, KABARORE",87.57,Bourbon,Washed
19,"1,380",RWIRI,COOP YAGIKAWA,"KAYANZA, MATONGO",87.4,Bourbon,Washed
20,590,NYAGASHIHA,SUCCAM,"RUMONGE, BURAMBI",87.4,Bourbon,Washed
21,528,RUKARAZO,COOP MAJAMBERE,"NGOZI, MWUMBA",87.23,Bourbon,Washed
22,"1,310",RURENGERA,BUGESTAL,"GITEGA, MUTAHO",87.2,Bourbon,Washed
23,822,BUTIHINDA,KALICO,"MUYINGA, BUTIHINDA",87.07,Bourbon,Washed
