RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1A,5,Mirador – El Naranjo 2017,Rodrigo Arley Díaz,"Buesaco, Nariño",91.28
1B,5,Mirador – El Naranjo 2017,Rodrigo Arley Díaz,"Buesaco, Nariño",91.28
2A,5,La Maria 2017,Orlando Ospina Salazar,"La Mesa, Cundinamarca",90.78
2B,5,La Maria 2017,Orlando Ospina Salazar,"La Mesa, Cundinamarca",90.78
3A,6,Costa Rica 2017,Abdias Lasso Muñoz,"San Pedro de Cartago, Nariño",90.63
3B,6,Costa Rica 2017,Abdias Lasso Muñoz,"San Pedro de Cartago, Nariño",90.63
4A,6,Llano Redondo 2017,Angel María López Loaiza,"Buesaco, Nariño",90.25
4B,6,Llano Redondo 2017,Angel María López Loaiza,"Buesaco, Nariño",90.25
5A,8,La Loma 2017,José Antonio Gualguan Espada,"Buesaco, Nariño",90.19
5B,7,La Loma 2017,José Antonio Gualguan Espada,"Buesaco, Nariño",90.19
6A,6,La España 2017,Duberney Cifuentes Fajardo,"Planadas, Tolima",90.11
6B,6,La España 2017,Duberney Cifuentes Fajardo,"Planadas, Tolima",90.11
7,11,El Tesoro 2017,Gildardo Cárdenas,"Planadas, Tolima",89.94
8,25,La Mina 2017,Franco Hector José López,"Buesaco, Nariño",89.47
9,21,El Cairo 2 2017,Lucas Germán Melo Pinchao,"Consaca, Nariño",89.36
10,39,San Vicente 2017,Libardo Cabrera,"Buesaco, Nariño",88.33
11,10,La Estrella 2017,Yinyini Avilez,"Planadas, Tolima",88.31
12,13,La Altamira 2017,Franco Alexis Garzón Rojas,"Planadas, Tolima",88.22
13,18,Cuchilla Loma Gorda 2017,Luis Ancelmo Valencia Burbano,"Buesaco, Nariño",88.19
14,42,La Mina 2 2017,Franco Hector José López,"Buesaco, Nariño",88.16
15,12,El Remanso,Albeiro Roa Ipuz,"Neiva, Hulia",87.78
16,11,Bateas 2017,Fildardo Varón Paya,"Planadas , Tolima",87.66
17,27,Betel 2017,Luis Arnobi Rodriguez Murcia,"Algeciras, Hulia",87.56
18,18,San Francisco 2017,Jorge Enrique Díaz,"Buesaco, Nariño",87.5
19,20,La Miranda 2017,Hever Arias Cespedes,"Planadas, Tolima",87.44
20,12,El Bosque Del Livano,Gonzalo Cifuentes,"Planadas, Tolima",87.42
21,26,La Bohemia 2017,Raquel Lasso Muñoz,"San Pedro de Cartago, Nariño",87.38
22,13,Los Laureles 2017,Javier Cruz Devia,"Planadas, Tolima",87.22
23,10,Villa Sofía 2017,Wilson Eduardo Rodríguez Enciso,"Planadas, Tolima",87.19
24,13,Lucitania 2017,Wilson Rodriguez Fanco,"Planadas, Tolima",87.17
25,15,El Limón 2017,Hideón Muñoz Chávez,"Tabón, Nariño",87.13
26,43,El Balso 2017,Libardo Lasso Muñoz,"Buesaco, Nariño",87.06
27,15,El Vergel 2017,José Alvaro Cruz Chala,"Planadas, Tolima",87
28,21,Limón 2017,Willintog Peréz,"Planadas, Tolima",86.81
29,13,La Esperanza 2017,Rafael Alfonso Mateus Camacho,"Palestina, Hulia",86.78
30,41,El Bado – Gallinazera 2017,María Etelvina Díaz,"Buesaco, Nariño",86.75
