LOT #,WINNING FARM / CWS,LOT SIZE,HIGH BID,TOTAL VALUE,HIGH BIDDER(S)
1,El Porvenir,17,$21.00/lb,"$55,093.52",Coffee Bean International
2,Bellavista,17,$13.10/lb,"$34,367.86",Coffee Bean International
3,El Progreso,17,$10.05/lb,"$26,366.18","Toa Coffee Co.,Ltd. for Maruyama Coffee and Toa Coffee"
4,Villarrica,20,$8.25/lb,"$25,463.39","Zoka Coffee, Fratello Coffee Co. and Willoughby’s Coffee and Tea"
5,Divino Ñiño,18,$9.85/lb,"$27,361.57",Time’s Club for C-COOP
6,La Pradera-La Sivella,17,$7.25/lb,"$19,020.38",Nippon Coffee Trading Co Ltd for Doi Coffee
7,Providencia,17,$7.85/lb,"$20,594.48",Kyokuto Fadie Corporation
8,Pueblo Rico,17,$7.55/lb,"$19,807.43",SUPREMO Kaffeeroesterei in Unterhaching and Phil & Sebastian Coffee Roasters
9,El Mango,17,$7.25/lb,"$19,020.38",Wataru for Ogawa Coffee
10,El Mirador,17,$6.25/lb,"$16,396.88",Kaffebrenneriet as
11,La Estrella,17,$6.50/lb,"$17,052.76","TASHIRO COFFEE CO.,LTD"
12,Villa Juan,17,$6.30/lb,"$16,528.06","Wataru & Co., Ltd."
13,Las Brisas Y El Tesoro,18,$6.05/lb,"$16,805.84","Nippon Coffee Trading Co.,Ltd"
14,La Esmeralda,18,$6.10/lb,"$16,944.73","Nippon Coffee Trading Co.,Ltd for Doi Coffee"
15,Buena Vista,17,$6.75/lb,"$17,708.63",Ecom Japan Limited
16,San Isidro Las Mercedes,18,$4.20/lb,"$11,666.86","Nippon Coffee Trading Co.,Ltd"
17,Lusitania,17,$4.55/lb,"$11,936.93","Wataru & Co., Ltd."
18,El Porvenir,17,$5.60/lb,"$14,691.61","Seven Seeds, Coffee Supreme NZ, Coffee Supreme AUS"
19,Florestales,17,$5.05/lb,"$13,248.68",Kyokuto Fadie Corporation
20,Las Delicias,17,$5.00/lb,"$13,117.50","Mercanta The Coffee Hunters for Voila Coffee (Japan), Has Bean Coffee (UK), Twoday Coffee Roasters (UK), Kontra A/S (Denmark), Kaffeespezialitaet (Austria), Bolling Coffee (UK), De Eenhoorn koffie en thee (Netherlands), Andronicas Coffee (UK)"
21,El Japón,17,$5.05/lb,"$13,248.68","Wataru & Co., Ltd."
22,El Cacho,17,$4.20/lb,"$11,018.70",honuKATOCOFFEE Inc.
23,Pedregal,17,$4.05/lb,"$10,625.18",honuKATOCOFFEE Inc.
24,El Cedro,17,$4.10/lb,"$10,756.35","Wataru & Co., Ltd."
25,La Florida,17,$4.10/lb,"$10,756.35",JuBean Coffee and Coffee LAB
26,El Mirador,17,$4.60/lb,"$12,068.10","Arab Coffee Co., Ltd"
27,La Esperanza,17,$3.95/lb,"$10,362.83","T.A.N. Coffee, No Quarter Coffee, Invalsa Coffee"
