RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1,47,Buenavista,Astrid Medina Pereira,"Planadas, Tolima",90.2
2,49,La Florida (2015),Gilberto Rojas Mosquera,"Acevedo, Huila",89.63
3,47,El Porvenir (2015),Raul Duran,"Planadas, Tolima",88.85
4,50,El Placer,Rafael Alberto Valenzuela,"Cajamarca, Tolima",88.75
5,48,El Mirador,Ananias Perez Santanilla,"Suaza, Huila",88.63
6,48,San Isidro,Alirio Aguilera,"Palentina, Huila",88.58
7a,48,Las Mercedes,Edgar Heladio Ossa,"Acevedo, Huila",88.3
7b,47,La Estrella,Luis Alejandro Ortega,"San Agustin, Huila",88.3
9,51,Fortuna,Yhoimar Afranio Enciso Villamil,"Planadas, Tolima",87.7
10,52,Peñitas,Alfredo Baos Joaqui,"Palentina, Huila",87.58
11,47,La Esmeralda,Luis Hernando Morales Arias,"Planadas, Tolima",87.03
12,48,El Descanso,Jose Heider Contreras Mancipe,"Guadalupe, Huila",86.98
13,48,El Diviso-Sanjon,Ana Nelly Luna Muñoz,"Pitalito, Huila",86.95
14,47,Buenos Aires,Oscar Eduardo Alvarado Jojoa,"Pitalito, Huila",86.93
15,48,Miraflores,Orlando Perdomo,"Pitalito, Huila",86.63
16a,47,Consuelo,Herley Rojas Alvarez,"Planadas, Tolima",86.6
16b,47,Lote Alexandra – Finca…,Martin Alvarez Moreno,"Pitalito, Huila",86.6
18,49,La Cuadra,Jorge Eliecer Rodriguez Sanchez,"Ragonvalia, Norte de Santander",86.53
19a,47,Las Brisas,Libardo Bustos Rojas,"Planadas, Tolima",86.33
19b,48,La Villa,Roberto Carvajal Penagos,"Guadalupe, Huila",86.33
21,48,Buenavista,Yubely Ramirez Cruz,"Pitalito, Huila",86.28
22,50,El Paraiso,Gonzalo Moreno Blanco,"Toledo, Norte de Santander",86
23,48,Lote Leonardo,Edgar Yony Melo Gomez,"Pitalito, Huila",85.93
24,48,El Mirador,Jose Ricardo Sanchez Molina,"Pitalito, Huila",85.85
25,48,La Golondrina,Lourdes Meneses Gomez,"Pitalito, Huila",85.7
26,95,El Tolu (2015),Manuel Duarte Orduz,"Herran, Norte de Santander",85.6
27,47,Lucitania,Victor Felix Ibarra Fajardo,"Garzon, Huila",85.53
28,52,El Silencio,Oscar Ortiz Gonzalez,"Toledo, Norte de Santander",85.48
29,48,Buenavista,Joaquin Ordoñez Buitron,"Pitalito, Huila",85.4
30,48,Caracol,Antonio Maria Castro Diaz,"Pitalito, Huila",85.38
31,48,La Miranda,Hiyder Adolfo Vargas Lezcano,"Caicedo, Antioquia",85.25
