Rank,Weight (kg),Farm,Farmer,Region,Score,Variety,Process
1a,240,Mikava,Paul Kevin Doyle,Risaralda,92.71,Gesha,Natural
1b,225,Mikava,Paul Kevin Doyle,Risaralda,92.71,Gesha,Natural
2a,330,Betania,Linarco Rodriguez Ospina,Huila,92.18,Caturra Tabi,Washed
2b,315,Betania,Linarco Rodriguez Ospina,Huila,92.18,Caturra Tabi,Washed
3a,180,Chaferote,Luis Gerardo Bravo Ordoñez,Huila,91.65,Bourbon,Washed
3b,180,Chaferote,Luis Gerardo Bravo Ordoñez,Huila,91.65,Bourbon,Washed
4a,255,La Esmeralda,Jose Alden Montero Muñoz,Huila,91.61,Caturra,Washed
4b,255,La Esmeralda,Jose Alden Montero Muñoz,Huila,91.61,Caturra,Washed
5a,225,Porvenir,Luis Orlando Sanchez Guevara,Huila,91.38,Gesha,Washed
5b,210,Porvenir,Luis Orlando Sanchez Guevara,Huila,91.38,Gesha,Washed
6,390,Bella Vista,Nito Arbey Molina Navia,Huila,91.19,Caturra Bourbon,Washed
7,420,La Cereza,Andres Felipe Ospina Ramirez,Huila,91.11,Caturra,Washed
8,420,La Pradera,Oscar Daza Bautista,Santander,91,Gesha,Honey – Anaerobic
9,435,Los Arboles,Arley Delgado Ortiz,Huila,90.5,Gesha,Natural
10,315,La Esperanza,Lopez Aguadelo y Cia Limitada,Quindio,89.54,Gesha,Natural
11,420,El Encanto,Miguel Angel Botina Morales,Huila,89.11,Caturra,Washed
12,615,El Juncal,Yeroby Chavarro Molina,Huila,89,Caturra,Washed
13,375,El Mandarino,Oscar Efren Gonzalez,Huila,88.67,Caturra,Washed
14,240,La Estrella,Lopez Aguadelo y Cia Limitada,Quindio,88.6,Gesha,Honey
15,420,La Miel,Miguel Angel Botina Ceron,Huila,88.51,Borbon Rosado,Washed
16,420,La Orquidea,Benjamin Collazos Rojas,Huila,88.51,Colombia,Washed
17,465,La Gaviota,Fabio Londoño,Valle del Cauca,88.42,Borbon Amarillo y Rojo,Washed
18,"1,455",El Diviso,Linarco Rodriguez Ospina,Huila,88.31,Caturra Bourbon,Washed
19,495,Alcatraz,Wilfredo Ule Vargas,Huila,88.17,Caturra Bourbon,Washed
20,390,Los Lagos,Mauricio Botina Ceron,Huila,88.11,Caturra,Washed
21,300,Castellon,Jairo Arcila,Quindio,88.03,Gesha,Honey
22,420,Calamar,Andres Felipe Londoño,Valle del Cauca,87.85,Borbon Rojo,Washed
23,870,La Esperanza,Ari Jesus Ome Jimenez,Huila,87.76,Caturra,Washed
24,405,El Paraiso,Diego Samuel Bermudez Tapia,Cauca,87.72,Castillo,Washed – Anaerobic
25,390,Pensilvania,Campo Elias Muñoz,Huila,87.67,Caturra,Washed
26,420,La Ilución,Rosebel Ortiz Scarpetta,Huila,87.06,Colombia Castillo,Natural
27,510,Las Delicias,Eduar Giraldo Olaya,Tolima,86.96,Caturra,Washed
28,450,Buena Vista,Rafael Lozana Molina,Huila,86.94,Caturra,Washed
29,405,Buena Vista,Joaquin Ordoñez Buitron,Huila,86.86,Caturra Colombia,Washed
