RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1,49,Bella Vista,Carmen Cecilia Montoya Patiño,"Urrao, Antioquia",91.31
2,53,El Cairo,Lucas German Melo Pinchao,"Consaca, Nariño",91.09
3,49,La Esperanza,Pablo Emilio Montoya Caro,"Urrao, Antioquia",90.59
4,70,El Naranjo,Gonzalo Dagua Conda,"Caloto, Cauca",89.31
5,53,Majagual,Jesus Maria Martinez Gomez,"Condordia , Antioquia",89.13
6,47,El Guamito,Bautista Dizu Dagua,"Jambalo, Cauca",88.56
7,48,Las Palmas,Edgar Dagua Corpus,"Miranda, Cauca",88.19
8,88,San Pedro,Olga Garzon de Diaz del Castillo,"Consaca, Nariño",87.91
9,47,Las Margaritas,Eduardo Torres Barreto,"Genova, Quindio",87.69
10,47,El Danubio,Oscar Sigifredo Trejos,"Toribio, Cauca",87.5
11a,49,La Falda (2014),Jose Arcadio Caro Rueda,"Urrao, Antioquia",86.94
11b,62,El Aguacate,Jose Vincente Delgado Zarama,"Yacuanquer, Nariño",86.94
12a,58,Verdum,Maria Elena Garces Posada,"Condordia, Antioquia",86.84
12b,47,La Primavera,Salustriano Julicue Coicue,"Toribio, Cauca",86.84
13,48,La Loma,Ramon Arcelio Zapata Sepulveda,"Condordia, Antioquia",86.83
14,55,Las Colinas,Santiago Fernandez,"Caloto, Cauca",86.78
15,47,El Porvenir,Alba Janet Guacan Cebellos,"Yacuanquer, Nariño",86.63
16,48,El Roble,Jairo Gomez Acosta,"Almaguer, Cauca",86.45
17,47,Agua Caliente,Emeterio Narvaez Oviedo,"El Tablon, Nariño",86.38
18,48,El Fresno,Maria Helena Martinez de Rosero,"San Lorenzo, Nariño",86.28
19a,47,Tamboral,Marleny Guarin Ocampo,"Aguadas, Caldas",86.25
19b,48,El Balso,Libardo Lasso Muñoz,"Buesaco, Nariño",86.25
20,50,El Naranjal,Carlos Julio Diaz Peñaloza,"Ibague, Tolima",86.13
21,48,El Cucho,Emilio Bastidas Yela,"Samaniego, Nariño",86.03
22,64,El Naranjo,Omar Henry Cuaji Guevara,"Sotara, Cauca",85.97
23a,52,Cortina de Hierro,Leonid Ramirez Conde,"Genova, Quindio",85.84
23b,48,Hueco Lindo,Jaime Bolanos Lasso,"San Lorenzo, Nariño",85.84
24,47,Limoncito,Jaime Narvaez Ibarra,"El Tablon, Nariño",85.78
25a,49,La Hermosa,Karen Jackeline Montero,"Santander, Cauca",85.75
25b,47,Los Curos,Purificacion Ortiz Ortiz,"Bucarasica, Norte de Santander",85.75
26a,47,San Sabastian,Jaime Andres Romero Melo,"Samaniego, Nariño",85.63
26b,47,Marmato,Medardo Tuquerres Gomez,"Almaguer, Cauca",85.63
27,48,Villa Maria,Jose Rodrigo Pantoja Arteaga,"Samaniego, Nariño",85.41
28,47,El Jardin,John Fernando Hernandez Barrero,"Suaza, Hulia",85.03
