LOT #,WINNING FARM / CWS,LOT SIZE,HIGH BID,TOTAL VALUE,HIGH BIDDER(S)
1,Bella Vista,49,$45.70/lb,"$117,449.00","BANEXPORT S.A, Cafe 18, Cafe Palo Alto (Colombia) // Wataru & Co., Takamura Coffee Roasters (Japan) // Cafe Imports, George Howell Coffee, ZOKA Coffee (USA) // Cafe Libre, Hankook Coffee, 180 Roasters (S Korea) // HARU Cafe (Taiwan) // Union Hand Roasted Coffee (UK) // Single Origin Roasters (Australia)"
2,El Cairo,53,$22.20/lb,"$61,649.40","Maruyama Coffee, Yamada Coffee, Yokoi Coffee, Iwai Coffee, Tabei Coffee, Coffee a Go Go, Cafe Maple, Ponpon Coffee, Uchida Coffee, Sugi Coffee Roasting, Branch Coffee, Thoth Coffee, Adachi Coffee, Saza Coffee"
3,La Esperanza,49,$22.20/lb,"$57,054.00","Coffee Bean International, Specialty Coffee by Farmer Brothers"
4,El Naranjo,70,$6.21/lb,"$22,952.16","WATARU for TAKAMURA COFFEE ROASTERS, TAF COFFEE"
5,Majagual,53,$12.50/lb,"$34,862.50",Terarosa Coffee
6,El Guamito,47,$10.35/lb,"$25,833.60","ALMACIELO(S.KOREA), De Ballon(S.KOREA)"
7,Las Palmas,48,$9.10/lb,"$23,159.50","HARU International Corp., M.I. COFFEE Co. LTD."
8,San Pedro,88,$5.00/lb,"$23,305.00",EL CAFE coffee roasters
9,Las Margaritas,47,$9.20/lb,"$22,733.20","Time’s Club, Coffee Libre, TASHIRO COFFEE Co., Ltd."
10,El Danubio,47,$7.60/lb,"$18,969.60","TOA COFFEE Co.,Ltd & ARAB COFFEE Co.,Ltd"
11a,La Falda (2014),49,$8.50/lb,"$22,159.50",Kyokuto Fadie Corporation
11b,El Aguacate,62,$7.20/lb,"$23,623.20","Nippon Coffee Trading Co.,Ltd for Doi Coffee"
12a,Verdum,58,$4.60/lb,"$14,177.20","32cup, Cantata, DBC.nl, Vivasara, Caffénation, lot61"
12b,La Primavera,47,$7.65/lb,"$19,002.60",Campos Coffee
13,La Loma,48,$5.40/lb,"$13,203.00",elbgold Roestkaffee GmbH
14,Las Colinas,55,$5.10/lb,"$14,851.20",honuKATOCOFFEE Inc.
15,El Porvenir,47.00,$6.20/lb,"$15,376.00",WATARU for OGAWA COFFEE
16,El Roble,48,$5.10/lb,"$12,795.90",honuKATOCOFFEE Inc.
17,Agua Caliente,47,$5.10/lb,"$12,729.60",Campos Coffee
18,El Fresno,48,$4.40/lb,"$11,136.40",MC FOODS LIMITED
19a,Tamboral,47,$4.20/lb,"$10,432.80","GSC International Co., Ltd. (KOREA) // Shanghai Borong International Trading Co., Ltd (CHINA)"
19b,El Balso,48.00,$4.20/lb,"$10,537.80","Wataru & Co., Ltd"
20,El Naranjal,50.00,$5.25/lb,"$13,928.25",InterAmerican Coffee GmbH
21,El Cucho,48.00,$4.40/lb,"$11,026.40","32cup, Cantata, DBC.nl, Vivasara, Caffénation"
22,El Naranjo,64,$4.10/lb,"$13,899.00","GSC International Co., Ltd. (KOREA) // Shanghai Borong International Trading Co., Ltd (CHINA)"
23a,Cortina de Hierro,52,$4.20/lb,"$11,466.00","Wataru & Co., Ltd"
23b,Hueco Lindo,48,$4.20/lb,"$10,537.80","Cafe DAZAC, Coffee Sallim Factory, Juk-dong Cafe D, NIRVANA Coffee, Beanstore(Buchon), Crema Costa"
24,Limoncito,47.00,$4.90/lb,"$12,107.90",Kaffebrenneriet as
25a,La Hermosa,49,$5.75/lb,"$14,990.25","Single Origin Roasters, ONA Coffee"
25b,Los Curos,47,$4.20/lb,"$10,470.60","RYANS COFFEE ROASTERS, S. W. Park, DILI KAPO COFFEE ROASTERS, CORNER HILL, KOALA COFFEE FACTORY, Cafe Si-Gom, Sim’s Coffee, Cafe Nara, Cafe Hong-si, Cafe Mule, Retro60 Coffee"
26a,San Sabastian,47,$4.00/lb,"$10,004.00","Wataru & Co., Ltd"
26b,Marmato,47.00,$4.20/lb,"$10,483.20","Bohemian(Anam-dong), Brilliant Coffee Roasters"
27,Villa Maria,48,$4.25/lb,"$10,684.50","Nippon Coffee Trading Co.,Ltd"
28,El Jardin,47,$4.00/lb,"$10,000.00","Cafe DAZAC, Coffee Sallim Factory, Juk-dong Cafe D, NIRVANA Coffee, Beanstore(Buchon), Crema Costa"
