RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1,34,Zamora,Juan Ramón Alvarado Alvarado,"San Francisco, Heredia, Valle Central",93.47
2,35,Dragón,Luis Alberto Monge Ureña / Oscar Alfonso Monge,"La Legua de Aserrí, Tarrazú",90.67
3,35,El Roble,María Emilia Quirós Segura,"Cedral, Aserrí, Tarrazú",88.93
4,39,El Halcón,Luis Enrique Navarro Granandos,"La Bandera, Dota, Tarrazú",88.67
5,35,Las Nubes,Luis Ricardo Calderón,"Santa María de Dota, Tarrazú",88.43
6,35,La Cumbre de Dota,Jorge Gutiérrez Jiménez,"Dota, Tarrazú",88.2
7,28,Tambor,Beneficios Volcafe de Costa Rica S.A,"Tambor, Alajuela, Valle Central",87.97
8,34,Guadalupe,Gillio Francesa Ferraro,"Zarcero, Valle Occidental",87.7
9,34,Leoncio,Manuel Barrantes Zúñiga,"Lourdes, Valle Occidental",87.53
10,36,El Joaquin,William Hidalgo Vindas,"Cedral, Aserrí, Tarrazú",87.27
11,35,La Cruz,Bernal Rodríguez Badilla,"Santa María de Dota, Tarrazú",86.8
12,41,Chayote,Bernabé Aguilera Gonzalez / Erasmo Aguilera,"Los Robles de Naranjo, Valle Occidental",86.77
13,35,Cerro la Cruz,María Auxiliadora Bonilla Solís,"Canet de Tarrazú, Tarrazú",86.73
14,29,Los Pinos,Miguel Molina Navarro,"El Alumbre, Valle Occidental",86.57
15,46,San Cristobal,Danilo Salazar,"Llano Bonito, Zarcero, Valle Occidental",86.57
16,35,Las Nacientes,Adriana Fallas Venegas,"Canet de Tarrazú, Tarrazú",86.47
17,69,La Esmeralda,La Edda S.A,"San Juan Norte, Poás, Alajuela, Valle Central",86.3
18,46,Frailes,Ismael Navarro Ceciliano,"La Violeta de Tarrazú, Tarrazú",86.17
19,36,Las Mercedes,Alexander Delgado Oviedo,"San Luis, Grecia, Valle Occidental",86.1
20,35,El Ciprés,Osvaldo Gonzalez López,"Barranco de Naranjo, Valle Occidental",86.1
21,115,Providencia,Coopedota R.L,"Providencia de Dota, Tarrazú",86.03
22,50,SALACA,Compañía SALACA Limitada,"Llano Bonito, Naranjo, Valle Occidental",85.93
23,39,Licho,Juan Aguilera Gonzalez / Alexis Aguilera Gonzalez / Horacio Aguilera Gonzalez,"Los Robles de Naranjo, Valle Occidental",85.83
24,35,La Pira,La Pira de Dota S.A,"Santa María de Dota, Tarrazú",85.77
25,44,Agrícola San Juanillo,Carlos Haug,"Cañuela de Naranjo, Valle Occidental",85.7
26,35,Higuitos,Franklin Hernández Padilla,"Frailes, Desamparados, Tarrazú",85.33
27,35,San Pedro,José H Mata Bonilla,"San Pedro de Tarrazú, Tarrazú",85.13
