LOT #,WINNING FARM / CWS,LOT SIZE,HIGH BID,TOTAL VALUE,HIGH BIDDER(S)
1,Finca Leoncio,23,$42.10/lb,"$64,034.10","Maruyama Coffee, Cafe Maple, Nagahama Coffee (JAPAN) // Campos Coffee (AUSTRALIA)"
2,Finca Beneficio,23,$21.01/lb,"$31,956.21","Museo Co., Ltd.​, Coffeejumbbang"
3,Finca la Trinidad,23,$20.10/lb,"$30,572.10",HARU International Corp.
4,Finca Diamante,34,$15.00/lb,"$33,720.00","Hisashi Yamamoto Coffee (Unir), Time’s Club, TOA Coffee (JAPAN) // Coffee Libre (KOREA)"
5,Finca Pata de Gallo / Finca…,44,$11.20/lb,"$32,222.40","Wataru & Co., Ltd."
6,Finca El Centro,23,$15.10/lb,"$22,967.10",TERAROSA (HAKSAN Co.Ltd)
7,Finca las Casas,23.00,$10.70/lb,"$16,274.70","Kean Coffee, Bird Rock Coffee Roasters, Klatch Coffee"
8,Finca la Montaña,23.00,$10.70/lb,"$16,274.70",Sulalat Coffee Trading on behalf of Camel Step Coffee
9,Finca Macho (2015),23,$10.40/lb,"$15,818.40",TERAROSA (HAKSAN Co.Ltd)
10,Finca Ortiz 1900,23.00,$9.10/lb,"$13,841.10",M.I. COFFEE CORPORATION
11,Finca Nuestra Herencia,28,$7.60/lb,"$13,816.80","Coffee TEK, Busan"
12,Finca Santa Lucia {O},23,$8.50/lb,"$12,928.50",Sulalat Coffee Trading
13,Finca Monte Llano Bonito,23.00,$8.70/lb,"$13,232.70",Kyokuto Fadie Corporation
14,Finca el Trapiche,23.00,$9.10/lb,"$13,841.10",Campos Coffee
15,Finca la Granadilla,23.00,$7.60/lb,"$11,559.60",Solberg & Hansen AS
16,Finca Vara Blanca,23.00,$8.10/lb,"$12,320.10","WATARU for FRESH ROASTER COFFEE TONYA CO., LTD"
17,Finca Juanachute-Punta,28.00,$6.30/lb,"$11,453.40","UCC Ueshima Coffee Co., Ltd."
18,Finca los Girasoles,23,$6.30/lb,"$9,582.30",honuKATOCOFFEE Inc.
19,Finca V&G San Juanillo,24,$5.80/lb,"$9,013.20","RYANS COFFEE ROASTERS, Cafe Nara, GABEAN COFFEE ROASTERS, KOALA COFFEE FACTORY, Cafe Hong-Si, millo coffee roasters"
20,Finca la Montaña,24.00,$6.21/lb,"$9,650.34","GSC International Co., Ltd. (KOREA) // Shanghai Borong International Trading Co., Ltd (CHINA)"
21,Finca el Vendabal,23,$7.01/lb,"$10,662.21","GSC International Co., Ltd. (KOREA) // Shanghai Borong International Trading Co., Ltd (CHINA)"
22,Finca el Bosque,23.00,$7.02/lb,"$10,677.42","GSC International Co., Ltd. (KOREA) // Shanghai Borong International Trading Co., Ltd (CHINA)"
23,Finca Chispita,24.00,$6.10/lb,"$9,479.40","BLACK GOLD COFFEE CO., LTD."
24,Finca Don Evangelista,23.00,$6.10/lb,"$9,278.10",Kaffebrenneriet as
25,Finca la Plaza,23,$5.80/lb,"$8,821.80","Wataru & Co., Ltd."
26,Finca el Halcón (2015),30,$7.45/lb,"$14,534.95","Wataru & Co., Ltd."
27,Finca el Cedral,23.00,$6.00/lb,"$9,126.00",M.I. COFFEE CORPORATION
28,Finca Nery,23.00,$6.10/lb,"$9,278.10",Taniguchi Coffee
29,Finca Farami (2015),23,$6.00/lb,"$9,126.00","Cafe DAZAC, Coffee Sallim Factory, Juk-dong Cafe D, Crema Costa, Beanstore (Buchon)"
30,Finca la Casa,23.00,$6.05/lb,"$9,202.05","Wataru & Co., Ltd."
31,Finca Bendición de Dios,25.00,$5.60/lb,"$9,072.00","Nippon Coffee Trading Co.,Ltd"
32,Finca Doña Ileana {O},23,$7.60/lb,"$11,559.60",Dabov Specialty Coffee
33,Finca la Guaca,47,$5.60/lb,"$17,220.00","Linking Coffee Co., Ltd."
34,Finca el Llano (2015),23,$5.60/lb,"$8,517.60","Linking Coffee Co., Ltd."
35,Finca el Quetzal,25,$7.50/lb,"$12,397.50",Lofbergs Lila AB
