RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE,VARIETY,PROCESSING
1a,8,Don Cayito,Luis Ricardo Calderon Madrigal,"Dota, El Jardin",91.29,Gesha,Honey
1b,8,Don Cayito,Luis Ricardo Calderon Madrigal,"Dota, El Jardin",91.29,Gesha,Honey
2a,8,Don Antonio,Grupo Los Grandes De Copey S.A.,"Dota, Copey",91.15,Gesha,Honey
2b,8,Don Antonio,Grupo Los Grandes De Copey S.A.,"Dota, Copey",91.15,Gesha,Honey
3a,6,La Union,Maria Elena Camacho Morales,Concepcion De San Rafael De Heredia,90.59,Villa Sarchi,Natural
3b,6,La Union,Maria Elena Camacho Morales,Concepcion De San Rafael De Heredia,90.59,Villa Sarchi,Natural
4a,8,La Minilla,Sergio Salas Jimenez,"San Ramón, San Rafael",90.41,Villa Sanchí Y Caturra,Natural Anaerobic
4b,7,La Minilla,Sergio Salas Jimenez,"San Ramón, San Rafael",90.41,Villa Sanchí Y Caturra,Natural Anaerobic
5a,8,Chispita,Carlos Eduardo Barrantes Zuñiga,"Naranjo, Cirri, Lourdes",90.35,Kenia,Washed
5b,8,Chispita,Carlos Eduardo Barrantes Zuñiga,"Naranjo, Cirri, Lourdes",90.35,Kenia,Washed
6a,8,Finca La Loma,Luis Pablo Bonilla Solis,Leon Cortes Llano Bonito,90.06,Gesha,Honey
6b,8,Finca La Loma,Luis Pablo Bonilla Solis,Leon Cortes Llano Bonito,90.06,Gesha,Honey
7,18,Don Dario,Grupo Los Grandes De Copey S.A.,"Dota, Copey",89.47,Gesha,Washed
8,21,El Diamante,Carlos Luis Fernández Morera,"San Ramón, San Rafael",89.41,Caturra Y Catuaí,Anaerobic
9,16,Finca La Pastora,Maria Cecilia Solís Moreno,Tarrazu San Marcos,89.35,Villalobos Catuai,Honey
10,17,Santa Teresa,Roger Ureña Hidalgo,Santa María De Dota,89,Gesha,Washed
11,15,Flor De Cafe,Carlos Eduardo Barrantes Zuñiga,"Naranjo, Cirri, Lourdes",88.85,Kenia,Honey
12,16,Finca El Cedral,Hector Bonilla Cruz,Tarrazu San Marcos,88.71,Gesha,Honey
13,11,Finca Las Cruces,Juan Ramon Alvarado Rodriguez,"Heredia, San Isidro San Francisco",88.65,Kenia,Honey
14,23,Leoncio,Manuel Antonio Barrantes Zuñiga,"Naranjo, Cirri, Lourdes",88.59,San Roque,Washed
15,16,Divino Niño,Mauricio Vindas Vargas,San Pablo De León Cortés,88.59,"Caturra,Catuai",Natural
16,16,Finca La Torre,Arnaldo Brrantes Zuñiga,"Naranjo, Cirri, Lourdes",88.59,Tipica Lourdes,Natural
17,16,Trinidad,Luis Alberto Monge Ureña,"La Trinidad, San Isidro, León Cortes",88.53,Catuai,Honey
18,16,El Centro,Teneria Pirro Antonio Gomez Ltda,"Heredia, San Rafael, Getsemani",88.38,Gesha,Natural
19,18,Las Nubes,Roger Ureña Hidalgo,Santa María De Dota,88.35,Typica Mejorado,Honey
20,16,Finca Altamira,Hernàndez Y Gàlvez S.A.,"Barva, San Pablo Buena Vista",88.35,Obatà Caturra,Natural
21,16,La Laguna,Jorge Mario Araya Mora,"Cantón Tarrazú, Distrito San Marcos.",88.29,Catuaí Rojo.,Honey
22,16,Finca Bellavista,Josue Bonilla Solis,Leon Cortes Llano Bonito,88.21,Catuai,Honey
23,16,Sin Límites,Maribel Barrantes Zúñiga,Lourdes De Cirri De Naranjo,88.18,Kenia Cl28,Honey
24,16,El Beneficio,Juan Ramon Alvarado Rodriguez,"Heredia, San Isidro San Francisco",88.15,Gesha,Natural
25,16,Finca El Llano,Hector Bonilla Cruz,Leon Cortes Llano Bonito,87.94,Bourbon Mejorado,Honey
26,16,Cuadro El Rio,Teneria Pirro Antonio Gomez Ltda,"Heredia, San Rafael, Getsemani",87.91,Gesha,Natural
27,16,Doña Clemencia,Beneficio Brumas Del Zurqui S.A,"Heredia, San Isidro San Francisco",87.88,Gesha,Natural
28,16,El Alto,Luis Enrique Navarro Porras,La Bandera De Dota,87.82,Caturra,Washed
29,23,Dragon,Luis Alberto Monge Ureña,"Aserri, La Legua, Parritilla",87.82,Catuai,Washed
30,17,Juanachute Punta,Luis Anastasio Castro Vargas,"León Cortes, San Pablo",87.59,Caturra-Catuai-Typica,Honey
31,16,Finca Las Nubes,Luis Pablo Bonilla Solis,Leon Cortes Llano Bonito,87.5,Bourbon Mejorado,Honey
32,16,Sol Naciente,Luis Arturo Bonilla Chacón,Santa María De Dota,87.38,Catuai,Washed
33,12,Lorena,Manuel Antonio Barrantes Zuñiga,"Naranjo, Cirri, Lordes",87.26,Tipica Toño,Honey
34,16,Finca Los Tucanes,Maria Auxiliadora Bonilla Solis,Leon Cortes Llano Bonito,87,Gesha,Honey
35,16,San Cristobal,Eduardo Navarro Jimenez,"Desamparados, Distrito San Cristobal",86.56,Caturra Catuaí,Natural
36,12,Volcan Azul,Finca Fcj Volcán Azul S.A,"Grecia, San Roque",86.21,Gesha,Honey
