RANK,WEIGHT (kg),FARM,FARMER,REGION,SCORE,VARIETY,PROCESS
1a,195,Don Dario,Grupo Los Grandes de Copey,Tarrazú,91.14,Gesha,Anaerobic
1b,195,Don Dario,Grupo Los Grandes de Copey,Tarrazú,91.14,Gesha,Anaerobic
2a,345,DON CAYITO,LUIS RICARDO CALDERON MADRIGAL,Tarrazú,91.02,Gesha,Washed
2b,345,DON CAYITO,LUIS RICARDO CALDERON MADRIGAL,Tarrazú,91.02,Gesha,Washed
3a,255,Don Antonio,Grupo Los Grandes de Copey S.A.,Tarrazú,90.88,Gesha,Honey
3b,255,Don Antonio,Grupo Los Grandes de Copey S.A.,Tarrazú,90.88,Gesha,Honey
4,480,Santa Teresa,Roger Ureña Hidalgo,Tarrazú,89.31,Gesha,Honey
5,480,Vista Al Chirripó,RÉGULO UREÑA CHACÓN,PZ,89.22,Caturra,Honey
6,330,Finca Leoncio,Manuel Antonio Barrantes Zuñiga,VCO,89.08,San Roque,Natural
7,510,El Pino,Esteban Zamora Picado,Tarrazú,88.89,Catuaí,Honey
8,435,El Cañal,Delmar Salas Alpízar,VCO,88.77,Caturra y Villa Sarchí,Anaerobic
9,345,La Loma,Hector Bonilla Cruz,Tarrazú,88.66,Gesha,Honey
10,480,El Paraíso,Omar Calderón Madrigal,Tarrazú,88.52,Gesha,Washed
11,510,Finca Chispita,Carlos Eduardo Barrantes Zuñiga,VCO,88.44,Kenia SL 28,Natural
12,495,Sin Límites,José Jaime Cárdenas Rojas,VCO,88.3,Kenia CL28,Honey
13,495,El Encino,Esteban Zamora Picado,Tarrazú,88.28,Catuaí,Natural
14,480,Edgar,Bernabe Aguilera Gonzales,VCO,88.2,San Roque,Honey
15,420,Finca Flor De Café,Karla Dayanna Barrantes Molina,VCO,88.08,Kenia SL 28,Washed
16,450,Don Mayo los Tucanes,Luis Pablo Bonilla Solis,Tarrazú,87.95,Gesha,Honey
17,480,Dragón,Oscar Adolfo Monge Ureña,Tarrazú,87.92,Catuai,Natural
18,345,Las Nubes,Roger Ureña Hidalgo,Tarrazú,87.86,Typica Mejorado,Anaerobic
19,525,Doña Nina,Cafe Gourmet de Tobosi S.A.,Tarrazú,87.75,Catuai Amarillo,Natural
20,480,El Bambú,ISABEL ROJAS GONZÁLEZ,PZ,87.75,Catuaí,Natural
21,510,EL ALTO,LUIS ENRIQUE NAVARRO PORRAS,Tarrazú,87.69,CATURRA,Honey
22,435,Don Mayo El LLano,Josue Bonilla Solis,Tarrazú,87.69,Gesha,Honey
23,450,Don Mayo Las Nubes,Maria Auxiliadora Bonilla Solis,Tarrazú,87.61,Bourbon mejorado,Honey
24,1050,La Laguna,Jorge Mario Araya Mora,Tarrazú,87.58,Catuaí rojo.,Honey
25,480,El Centro,Teneria Pirro Antonio Gomez LTDA,VC,87.5,Gesha,Natural
26,345,La Union Pedro,Maria Elena Camacho Morales,VC,87.44,San Roque 28,Honey
27,465,Don Mayo el Cedral,Hector Bonilla Cruz,Tarrazú,87.38,Gesha,Honey
28,480,Toño,Erasmo Aguilera Gonzales,VCO,87.28,Gesha M2,Honey
