RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1,41,El Topacio,Maria Elena Avila Magaña De Muyshondt,"Juayúa, Sonsonate, Apaneca-Ilamatepec",91.68
2,45,El Jocotillo Lote A,Anna Elaine Del Carmen Rivas De Vega,"Chalchuapa, Santa Ana, Apaneca-Ilamatepec",89.86
3,39,Fatima,Carmen Duch Martinez,"Santa Ana, Santa Ana, Apaneca-Ilamatepec",89.86
4,37,Buenos Aires,"Calera, S.A. De C.V.","Metapán, Santa Ana, Alotepec-Metapán",89.61
5,55,La Batalla,Guillermo Magaña Flores,"Metapán, Santa Ana, Alotepec-Metapán",89.5
6,47,La Avila,"Ortiz Barriere, S.A. De C.V.","Santiago de María, Usulután , Tecapa-Chinameca",89.43
7,38,La Nueva,Rafael Duch Martinez,"Santa Ana, Santa Ana",89.43
8,33,Santa Teresa I,"Marco Batres, Teresa Giammattei Y Cia.","Ahuachapán, Ahuachapán, Apaneca-Ilamatepec",89.34
9,31,Santa Teresa IV -“Nicolas…,"Marco Batres, Teresa Giammattei Y Cia.","Ahuachapán, Ahuachapán, Apaneca-Ilamatepec",88.84
10,43,San Isidro,Ana Sylvia Elizabeth Schonenberg Aguiluz,"Alegría, Usulután, Tecapa-Chinameca",88.7
11,39,El Carmen,Juan Duch Martinez,"Santa Ana, Santa Ana, Apaneca-Ilamatepec",86.75
12,43,Los Amates,Graciela Haydee Magaña De Fortin Magaña,"Jujutla, Ahuachapán, Apaneca-Ilamatepec Mountain Range",86.58
13,67,Villa España,Alfredo Antonio Mena Lagos,"Ataco, Ahuachapán, Apaneca-Ilamatepec",86.45
14,42,El Torogoz,"Regpa, S. A. De C. V.","Santa Ana, Santa Ana, Apaneca-Ilamatepec",86.2
15,42,San Jose / Shangrila,Juan Carlos Gregg Meza,"Apaneca, Ahuachapán, Apaneca-Ilamatepec",86.15
16,63,Monte Nevado,Regina De Carmen Meardi Zuniga De Papini,"Alegría, Usulután, Tecapa-Chinameca",86.08
17,69,El Optimismo,Socorro Martinez De Zepeda,"Alegría, Usulután, Tecapa-Chinameca",85.83
18,37,San Jose,Gloria Mercedes Rodriguez Fontan,"Apaneca, Ahuachapán, Apaneca-Ilamatepec",85.78
19,31,Altamira I,"Marco Batres, Teresa Giammattei Y Cia.","Ahuachapán, Ahuachapán, Apaneca-Ilamatepec",85.78
20,45,Malacara Lote A,"Pergamino, S.A. De C.V.","Chalchuapa, Santa Ana, Apaneca-Ilamatepec",85.48
21,40,La Trinidad,Francisco Eduardo Nuñez Iraheta,"La Libertad, La Liibertad, El Bálsamo-Quetzaltepec",85.43
22,42,Buena Vista,Cia. Agr. Salvadoreña S.A. De C.V.,"Ahuachapán, Apaneca-Ilamatepec",85.3
23,56,Nombre De Dios San Juan,Maria Elena Dominguez De Botto Isassi,"Metapán, Santa Ana, Alotepec-Metapán",85.28
24,42,San Jose La Cumbre,Enma Duarte De Vasquez,"Santa Ana, Santa Ana, Apaneca-Ilamatepec Mountain Range",85.2
25,33,Altamira III – “Andres Peak”,"Marco Batres, Teresa Giammattei Y Cia.","Ahuachapán, Apaneca-Ilamatepec",85.15
26,75,El Cashal,Maria Alicia Otilia Magaña Castillo,"Ahuachapán, Ahuachapán, Apaneca-Ilamatepec",84.8
27,39,La Montañita,Antonio Rene Aguilar Lemus,"La Palma, Chalatenango",84.78
28,41,Santa Sofia,"Pacvil, S.A. De C.V.","Santa Ana, Santa Ana",84.6
29,50,Nejapa – Tablon Roma,Gloria Mercedes Rodriguez Fontan,"Apaneca, Ahuachapán, Apaneca-Ilamatepec",84.53
30,54,Los Planes – Lote La Lagunita,Sergio Edmundo Ticas Reyes,"Citalá, Chalatenango, Alotepec-Metapán",84.28
31,41,Helvetia,Carmen Elena Calderon Sol De Escalon,"Concepción de Ataco, Ahuachapan",84.25
32,45,Malacara Lote B,"Chantuc, S.A. De C.V.","Santa Ana, Apaneca-Ilamatepec",84.23
33,77,San Carlos,Amadeo Riera Y Solsona,"Santa Ana, Santa Ana, Apaneca-Ilamatepec",84.2
