LOT #,WINNING FARM / CWS,LOT SIZE,HIGH BID,TOTAL VALUE,HIGH BIDDER(S)
1a,La Cumbre 2018 – Margarita Lucía Díaz de López,3,$55.10/lb,"$10,932.94","Maruyama Coffee (Japan), Good Boy Bob Coffee (U.S.A), Sarutahiko Coffee (Japan)"
1b,La Cumbre 2018 – Margarita Lucía Díaz de López,3,$55.10/lb,"$10,556.06",HoneyCoffee (Izaki Coffee Co. Ltd)
2a,El Manzano 2018 – Margarita Lucía Díaz de López,4,$37.20/lb,"$9,061.55",Haru International Corporation
2b,El Manzano 2018 – Margarita Lucía Díaz de López,3,$37.30/lb,"$7,401.07",lowkeycoffee (coffeejumbbang)
3a,Santa Rosa 2018 – J. Raul Rivera S.A. De C.V.,5,$31.80/lb,"$9,808.71",Haru International Corporation
3b,Santa Rosa 2018 – J. Raul Rivera S.A. De C.V.,4,$31.80/lb,"$8,413.01",WATARU for ROKUMEI COFFEE CO.
4a,Mileydi 2018 – Ever Leonel Diaz Perez,9,$12.82/lb,"$7,631.11",Dongjin Trading
4b,Mileydi 2018 – Ever Leonel Diaz Perez,9,$12.90/lb,"$7,388.60",Ipsento Coffee
5,"San Jose 1 2018 – Montana Estates, S.A. De C.V.",9,$20.30/lb,"$11,916.10",Campos Coffee
6,"Santa-Rosa-2018 – Agricafe, S.A. De C.V.",14,$15.50/lb,"$14,306.50","LUSSO(CK CO.) (Korea), Uchida Coffee (Japan), Sugi Coffee Roasting (Japan), Maruyama Coffee (Japan)"
7,Nueva Granada / Hamburgo 2018 – Roberto Ricardo Huezo Rodriguez,11,$33.40/lb,"$24,048.00",Terarosa (Haksan Co.Ltd)
8,Topacio 2018 – Maria Elena Avila De Muyshondt,16,$12.11/lb,"$12,739.72",Campos Coffee
9,La Fincona 2018 – J. Raul Rivera S.A. De C.V.,9,$15.40/lb,"$9,163.00","Wataru & Co., Ltd."
10,El Conrrodal 2018 – Jose Armando Portillo Peraza,27,$8.40/lb,"$15,027.60",M.I. COFFEE CORPORATION
11,Divina Providencia Tablon El Carmen 2018 – Roberto Samuel Ulloa Vilanova,11,$16.20/lb,"$11,728.80",Campos Coffee
12,La Trilla 2018 – Santos Arnulfo Diaz Diaz,14,$8.60/lb,"$7,765.80","UCC Ueshima Coffee Co., Ltd."
13,"San Jose 2 2018 – Montana Estates, S.A. De C.V.",14,$7.00/lb,"$6,391.00",Mercanta The Coffee Hunters and Dark Woods Coffee (UK)
14,Cayaguanca 2018 – J. Raul Rivera S.A. De C.V.,6,$14.90/lb,"$5,811.00",Brew92 Cafe & Roastery
15,Las Palmas 2018 – Las Palmas,14,$7.50/lb,"$6,847.50",Campos Coffee
16,La Montañita 2018 – Antonio Rene Aguilar Lemus,25,$7.10/lb,"$11,842.80","GSC International Co., Ltd. / Shanghai Borong International Trading Co., Ltd – China"
17,El Optimismo 2018 – Lucia Martinez De Zepeda,24,$7.00/lb,"$11,340.00",Some Fusion
18,"La-Concordia-2018 – Agropecuaria La Concordia, S.A. De C.V.",49,$7.00/lb,"$22,701.00",Kaffebrenneriet As
19,"La Guatuza 2018 – Agricafe, S.A. De C.V.",14,$9.40/lb,"$8,563.40",Terarosa (Haksan Co.Ltd)
20,Milagro El Cerro 2018 – Atilio Zepeda Magaña,10,$7.60/lb,"$5,244.00","Coffee Me Up (Korea), Cupper’s High"
21,"San Emilio 2018 – Golagri, S.A. De C.V.",15,$13.00/lb,"$13,286.00",Blossom Valley Intl
22,Los Pirineos 2018 – Los Pirineos,13,$7.50/lb,"$6,622.50","Wataru & Co., Ltd."
23,Buena Fe 2018 – Jorge Alberto Recinos Rodriguez,12,$8.30/lb,"$6,540.40",Kyokuto Fadie Corporation
24,"La Cumbre 2018 – Agricafe, S.A. De C.V.",12,$6.90/lb,"$5,478.60","Wataru & Co., Ltd."
25,Los Robles 2018 – Hector Manuel Velasquez Guzman,15,$7.10/lb,"$6,865.70",Kyokuto Fadie Corporation
26,Peña Redonda 2018 – Carlos Mauricio Lemus Landaverde,26,$6.90/lb,"$12,075.00",Honu Kato Coffee Inc.
27,"Las Delicias 2018 – Cafino, S.A. De C.V.",33,$7.00/lb,"$15,505.00",Sulalat Coffee Trading
28,Los Tres Potros 2018 – Nora Silvia Cabezas De Mendez,10,$7.71/lb,"$5,273.64","TRES CABEZAS GmbH Berlin,
List & Beisler GmbH, Hamburg"
29,Esquipulas 2018 – Fernando Lima Y Compañia,13,$7.00/lb,"$5,866.00","Wataru & Co., Ltd."
30,"La Guachoca 2018 – Exportadora Pacas Martinez, S.A. De C.V.",15,$6.80/lb,"$6,908.80",Honu Kato Coffee Inc.
31,Colombia 2018 – Rafael Gerardo Caceres Chavez,9,$7.40/lb,"$4,314.20",Mokka Specialty Coffee
32,"Las Laderas 2018 – Zapotal, Sociedad Anonima De Capital Variable.",17,$6.90/lb,"$7,817.70","Wataru & Co., Ltd."
33,Nazareth 2018 – Mario Ernesto Acosta Oertel,16,$7.00/lb,"$7,574.00",Jubean Coffee
34,La Dalia 2018 – Carlos Roberto Jesus De Praga Guillen Chacon,15,$6.90/lb,"$7,038.00",Honu Kato Coffee Inc.
35,Atzumpa 2018 – Andres Arturo Acosta Rodriguez,15,$6.90/lb,"$6,693.00","Wataru & Co., Ltd."
36,La Esmeralda 1 2018 – Oscar Roberto Murgas Linares,15,$6.80/lb,"$6,664.00",Honu Kato Coffee Inc.
37,Himalaya 2018 – Mauricio Arturo Salaverria Caceres,21,$7.30/lb,"$10,190.80","Wataru & Co., Ltd."
38,San Carlos Ii/El Coro 2018 – Asociacion Cooperativa De Produccion Agropecuaria San Carlos Dos De R.L.,10,$7.20/lb,"$4,881.60",Nippon Coffee Trading
