RANK,WEIGHT (kg),FARM,FARMER,REGION,SCORE,VARIETY,PROCESS
1a,154.99,SANTA ROSA,J. RAUL RIVERA S.A. DE C.V.,ALOTEPEC-METAPAN,90.57,PACAMARA,HONEY
1b,120,SANTA ROSA,J. RAUL RIVERA S.A. DE C.V.,ALOTEPEC-METAPAN,90.57,PACAMARA,HONEY
2a,326.31,LOS PIRINEOS,"AGRICAFE, S.A. DE C.V.",TECAPA CHINAMECA,90.37,BOURBON,WASHED
2b,270,LOS PIRINEOS,"AGRICAFE, S.A. DE C.V.",TECAPA CHINAMECA,90.37,BOURBON,WASHED
3,395.44,LA ESPERANZA,"INVERSIONES SANTONANO, S.A. DE C.V.",APANECA-ILAMATEPEC,89.93,BERNARDINA,HONEY
4,391.81,EL CIPRESAL,GONZALO ANTONIO TICAS REYES,ALOTEPEC-METAPAN,89.93,PACAMARA,WASHED
5,358.58,DON OCTAVIO,JOSE OCTAVIO UMAÑA VALDIVIESO,ALOTEPEC-METAPAN,89.29,PACAMARA,HONEY
6,333.63,SAN RAFAEL 1,ROBERTO SAMUEL ULLOA VILANOVA,APANECA-ILAMATEPEC,89.07,PACAMARA,NATURAL
7,607.26,PEÑA REDONDA,CARLOS MAURICIO LEMUS LANDAVERDE,ALOTEPEC-METAPAN,88.94,PACAMARA,NATURAL
8,456.35,LAS DELICIAS,"CAFINO, S.A. DE C.V.",APANECA-ILAMATEPEC,88.78,PACAMARA,NATURAL
9,734.97,LAS PALMAS,"AGRICAFE, S.A. DE C.V.",TECAPA CHINAMECA,88.59,PACAMARA,HONEY
10,984.5,EL ANONO,SANDRA BEATRIZ LEMUS DE AVELAR,ALOTEPEC-METAPAN,88.04,PACAMARA,HONEY
11,344.97,LAS BRUMAS,JUAN JOSE ERNESTO MENENDEZ ARGUELLO,APANECA-ILAMATEPEC,88.01,KENYA,WASHED
12,614.97,LA BONITA,NORELVIA ANGELICA ELIAS DE DIAZ,ALOTEPEC-METAPAN,87.96,PACAMARA,WASHED
13,744.5,MILEYDI,EVER LEONEL DIAZ PEREZ,ALOTEPEC-METAPAN,87.93,PACAMARA,WASHED
14,378.14,LA BENDICION 2,ROBERTO SAMUEL ULLOA RUSCONI,APANECA-ILAMATEPEC,87.81,KENYA,SEMI-WASHED
15,434.97,DIVINA PROVIDENCIA 5,ROBERTO SAMUEL ULLOA VILANOVA,APANECA-ILAMATEPEC,87.59,ORANGE BOURBON,HONEY
16,360,NAZARETH,CARLOS ERNESTO TADEO ACOSTA RODRIGUEZ,APANECA-ILAMATEPEC,87.56,PACAMARA,NATURAL
17,317.24,COLOMBIA,RAFAEL GERARDO CACERES CHAVEZ,APANECA-ILAMATEPEC,87.47,PACAMARA,NATURAL
18,422.27,SAN ANDRES,JOSE ALFREDO RECINOS DIAZ,ALOTEPEC-METAPAN,87.38,PACAMARA,NATURAL
19,511.36,HIMALAYA,MAURICIO ARTURO SALAVERRIA CACERES,APANECA-ILAMATEPEC,87.37,PACAMARA,NATURAL
20,513.63,EL DERRUMBO,VICENTE RAFAEL DIAZ VASQUEZ,ALOTEPEC-METAPAN,87.32,PACAMARA,WASHED
21,929.03,LAS VENTANAS,ELISA BEATRIZ AGUILAR LANDAVERDE,ALOTEPEC-METAPAN,87.29,PACAMARA,HONEY
22,862.23,LOS PINOS,NANCY MARIA LEMUS DE MORALES,ALOTEPEC-METAPAN,87.21,PACAMARA,HONEY
23,276.8,SAN PABLO,"ZAPOTAL, SOCIEDAD ANONIMA DE CAPITAL VARIABLE.",APANECA-ILAMATEPEC,87.18,BOURBON,WASHED
24,265.4,LAS DUANAS,J. RAUL RIVERA S.A. DE C.V.,ALOTEPEC-METAPAN,87.15,PACAMARA,NATURAL ANAEROBIC
25,732.7,LAS NINFAS,"PAMON, S.A. DE C.V.",APANECA-ILAMATEPEC,87.06,PACAMARA,NATURAL
