RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1,35,El Injerto I,"El Injerto, S.A.","La Libertad, Huehuetenango",90.09
2,38,Rosma,Fredy Milton Morales Merida,"San Pedro Necta, Huehuetenango",89.8
3,40,Las Macadamias,"Las Macadamias, S.A.","La Libertad, Huehuetenango",89.8
4,47,Santa Ana,"Guadamur, S. A.","Pueblo Nuevo Viñas, Santa Rosa",89.73
5,39,La Folie,"Entre Caminos, S. A.","Jocotenango, Sacatepequez",88.95
6,48,Idolia,"Guadamur, S. A.","Pueblo Nuevo Viñas, Santa Rosa",88.64
7,38,El Tambor,"Los Moshos, S. A.","Palencia, Guatemala",88
8,37,Chalabal,Julio Garcia Soto,"Acatenango, Chimaltenango",87.98
9,48,San Julián,"Inversiones Mimosa, S. A.","Palencia, Guatemala",87.93
10,39,Los Cuxinales Y Anexos,"Agropecuaria Poyo, S. A.","Ciudad Vieja, Sacatepequez",87.91
11,40,La Pia,"Vipesa, S.A.","Palencia, Guatemala",86.38
12,42,Capetillo Y Anexos,"Capetillo, S. A.","Alotenango, Sacatepequez",86.33
13,58,La Merced,"Finca La Merced, S. A.","San Martín Jilotepeque, Chimaltenango",86.24
14,42,San Guayaba,"Cercol, S.A.","Palencia, Guatemala",86.17
15,39,Manila Y Anexos,"Cafe De Manila, S. A.","Nuevo Progreso, San Marcos",86.12
16,40,La Bendicion,"Coex (Guatemala), S. A.","Yepocapa, Chimaltenango",86.05
17,38,La Felicidad,"Entre Caminos, S. A.","Antigua Guatemala, Sacatepequez",85.93
18,39,Santa Clara y Anexos,"Operadora Santa Clara, S. A.","Antigua Guatemala, Sacatepequez",85.86
19,43,Asuvim,Asociacion Unidos Para Vivir Mejor,"Santa Clara La Laguna, Solola",85.74
20,38,Las Nubes Y Anexos,"Agricola Aspero, S. A.","San Miguel Dueñas, Sacatepequez",85.67
21,39,San Jose El Yalu,"Agropecuaria Los Pinos, S. A.","Sumpango, Sacatepequez",85.55
22,40,Carmona,"Carmona, S. A.","Antigua Guatemala, Sacatepéquez, Antigua",85.4
23,49,La Pampa,Mario Perez Liquidiano,"Acatenango, Chimaltenango",85.05
24,38,Granja El Tempixque,"Entre Volcanes, S. A.","San Miguel Dueñas, Sacatepequez",85
25,53,Santa Isabel Y Anexos,"Jinaya, S.A.","Pueblo Nuevo Viñas, Santa Rosa",84.98
26,40,San Jorge,Tulio Lemus Pineda,"Palencia, Guatemala",84.86
27,39,La Soledad,Maria Zelaya Andrade,"Antigua Guatemala, Sacatepequez",84.52
28,40,Miraflores,Baudilio Salazar Miron,"Fraijanes, Guatemala",84.14
