LOT #,WINNING FARM / CWS,LOT SIZE,HIGH BID,TOTAL VALUE,HIGH BIDDER(S)
1,El Socorro Y Anexos,41,$20.12/lb,"$53,464.27",Coffee Bean International for Target
2,La Esperanza,41,$15.45/lb,"$41,196.03",Kyokuto Fadie Corporation
3,El Injerto I,30,$15.40/lb,"$30,008.44","Ponpon Coffee, Maruyama Coffee (Japan), Orsir Coffee (Taiwan)"
4,San Sebastian,39,$15.20/lb,"$39,206.73",SAZA Coffee (Japan)
5,Las Macadamias,25,$17.10/lb,"$27,426.69","Terarosa, Rawbean Coffee Academy, Pohang Arabica, Coffee Eyagi, Belief Coffee, Beanybeans & Beany Roasters (South Korea)"
6,Los Cuxinales Y Anexos,27,$10.10/lb,"$18,011.84",Nagahama Coffee Inc.
7,Trinidad,53,$9.10/lb,"$31,414.38",Campos Coffee
8,Santa Isabel,30,$10.00/lb,"$19,354.20","Mercanta The Coffee Hunters for Cartel Coffee Lab (USA), Fonte Coffee Roaster (USA), Market Lane Coffee (AUS) and Square Mile Coffee Roasters (UK)."
9,La Perla Y Anexos,35,$8.50/lb,"$19,394.96",Campos Coffee
10,Aragon,42,$7.10/lb,"$19,356.16",InterAmerican Coffee GmbH
11,Bella Vista,35,$7.70/lb,"$17,799.01",Wataru for OGAWA COFFEE
12,La Maravilla,27,$8.50/lb,"$14,787.88",Jubean Coffee Roasting Co.
13,San Bernardo,38,$7.10/lb,"$17,736.58","Monmouth Coffee Company, London, UK"
14,San Jose La Travesia,48,$5.90/lb,"$18,489.36","Toa Coffee Co.,Ltd. for Toa Coffee and Arab Coffee"
15,Manila Y Anexos,37,$6.40/lb,"$15,449.86",Kaffebrenneriet as
16,Linda Vista,38,$6.50/lb,"$16,283.80","Wataru & Co., Ltd."
17,San Rafael Urias Valdes,52,$7.10/lb,"$24,380.55",Coava Coffee Roasters
18,San Julián,43,$6.80/lb,"$19,338.79","Mercanta The Coffee Hunters for Caffè Cataldi (FR), Dutch Barista Coffee (NL), Grumpy Mule (UK), Has Bean Coffee (UK), Melbourne Coffee Merchants (Aus), Twoday Coffee Roasters (UK)."
19,Santa Barbara,38,$6.50/lb,"$16,336.13",Midwest Coffee Trading Inc.
20,Concepcion Pixcaya,25,$8.41/lb,"$13,627.40",SUPREMO Kaffeeroesterei in Unterhaching
21,Cabrejo,37,$6.70/lb,"$16,174.14","World Coffee Co.,Ltd."
22,Teanzul,64,$5.90/lb,"$24,973.70",Midwest Coffee Trading Inc.
23,Alotepeque,59,$7.60/lb,"$29,541.73","Time’s Club for C-COOP(JAPAN), Coffee Libre (S.KOREA)"
24,San Jose El Valenton,43,$5.90/lb,"$16,569.21","Wataru & Co., Ltd."
25,Pavon Y Anexos,36,$6.87/lb,"16,040.63","Café León, S.A."
26,Retana Y Anexos,58,$5.40/lb,"20,453.63",honuKATOCOFFEE Inc.
27,Santa Elisa Pachup,43,$5.80/lb,"$16,303.10","Wataru & Co., Ltd."
28,Capetillo Y Anexos,49,$6.10/lb,"$19,767.36","Camec, S.A."
29,Los Caballitos,34,$8.10/lb,"18,214.47",Kyokuto Fadie Corporation
