RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE,VARIETY,PROCESSING
1a,8,La Reforma y Anexos,"La Reforma y Asociados, S.A.","Huehuetenango, Cuilco",90.73,Geisha,Washed
1b,7,La Reforma y Anexos,"La Reforma y Asociados, S.A.","Huehuetenango, Cuilco",90.73,Geisha,Washed
2a,8,El Zapote y Anexos,"Perez Perez, Wilfrido Hernán","Huehuetenango, Cuilco",90.7,Geisha,Washed
2b,7,El Zapote y Anexos,"Perez Perez, Wilfrido Hernán","Huehuetenango, Cuilco",90.7,Geisha,Washed
3a,7,El Morito II,Monterroso Pineda José Roberto,"Jalapa, Mataquescuintla",90.53,Pacamara,Washed
3b,7,El Morito II,Monterroso Pineda José Roberto,"Jalapa, Mataquescuintla",90.53,Pacamara,Washed
4,21,La Soledad y Anexo,"Perez Melendez, Henio Raúl","Chimaltenango, Acatenango",89.97,Geisha,Washed
5,14,Rio Dorado,Monterroso Pineda José Roberto,"Jalapa, Mataquescuintla",89.8,Pacamara,Natural
6,14,El Morito I,Monterroso Pineda José Roberto,"Jalapa, Mataquescuintla",89.67,Pacamara,Washed
7,16,Plan de la Vega,"Argueta Herrera, Erwin Humberto","Huehuetenango, Unión Cantinil",89.27,"Caturra, Pache, Bourbon",Washed
8,15,Los Aguacatones,"De La Peña Illescas, Rosa María","Huehuetenango, Huehuetenango",89.23,"Caturra, Catuaí, Villa Sarchi, Bourbon",Washed
9,19,Villaure,"Villatoro Castillo, Aurelio","Huehuetenango, Cuilco",88.87,Pacamara,Washed
10,16,El Socorro,"Cercol, S.A.","Guatemala, Palencia",88.5,Pacamara,Washed
11,12,Chualax,"Agrocomercial Santa Felisa, S.A.","Chimaltenango, Acatenango",87.83,Geisha,Natural
12,19,Los Cimientos,"Morán Solares, Julio Roberto","Santa Rosa , Casillas",87.8,Bourbon,Honey
13,21,Linda Vista,"Valladares Rodriguez, Inmer Abel","Jalapa, Monjas",87.77,Geisha,Honey
14,15,Las Macadamias,"Las Macadamias, S.A.","Huehuetenango, La Libertad",87.73,Pacamara,Washed
15,15,Guatalón,"Juarez Solares, Guillermo Antonio","Santa Rosa, Santa Rosa de Lima",87.63,"Pacamara, Maragogype",Washed
16,16,Jauja y Anexos,"Operadora Santa Clara, S.A.","Sacatepequez, Antigua Guatemala",87.57,Pacamara,Washed
17,12,El Limonar,"Ovalle Mont, Rosa María","Huehuetenango, La Libertad",87.43,Pacamara,Natural
18,27,El Zapote,"Melendez Perez, Julio Roberto","Chimaltenango, Acatenango",87.33,Geisha,Washed
19,17,Calahute Alto,"Café Don Alfonso, S.A","Huehuetenango, La Democracia",87.23,"Pacamara, Maragogype",Washed
20,24,El Líbano,"Perez Liquidano, Herbert Estuardo","Chimaltenango, Acatenango",87.23,Geisha,Washed
21,13,Rio Arriba,"Cercol, S.A.","Guatemala, Palencia",87.2,Maracaturra,Honey
22,18,La Esperanza,"Villatoro Castillo, Pedro","Huehuetenango, La Libertad",87.17,Bourbon,Washed
23,19,San Antonio de Esquipulas y Anexo,"Corporación Mil, S.A.","Huehuetenango, La Democracia",87.17,Catuaí,Washed
24,12,Santa Clara,"Operadora Santa Clara, S.A.","Sacatepequez, Antigua Guatemala",87.07,Geisha,Washed
25,12,San Guayabá,"Cercol, S.A.","Guatemala, Palencia",86.67,Pacamara,Natural
26,32,El Porvenir,"Mooney Del Carmen, Joseph Daniel","Chimaltenango, Chimaltenango",86.57,Caturra,Washed
27,13,La Hermosa,"Perez Ríos, Max Fernando","Chimaltenango, Acatenango",86.53,"Pacamara, Geisha",Natural
28,42,San Rafael Urias Valdes,Felix Valdés Q. y Hnas. Sucesores,"Sacatepequez, Ciudad Vieja",86.4,Bourbon,Washed
29,15,San Agustin Las Cañas,"Operadora Santa Clara, S.A.","Sacatepequez, Antigua Guatemala",86.17,Bourbon,Washed
30,18,El Muro,"Valladares Rodriguez, Inmer Abel","Jalapa, Monjas",86.17,Geisha,Honey
31,12,El Injerto I,"El Injerto, S.A.","Huehuetenango, La Libertad",86.13,Pacamara,Natural
32,15,Antigua Buena Vista y Anexos,"Entre Caminos, S.A.","Sacatepequez, Jocotenango",86.13,Geisha,Washed
33,15,La Montañita,"Gonzalez Morales, José Humberto","Jalapa, Mataquescuintla",86.13,Catuaí,Washed
34,27,Santa Cecilia y Anexos,"Castillo Herrera, Mariano","Huehuetenango, San Pedro Necta",86.1,"Caturra, Catuaí, Bourbon",Washed
