Rank,Farm,Boxes,High Bid,Pounds,Total Value,Company Name
1a,"La Reforma y Anexos – La Reforma y Asociados, S.A.",8,$55.60/lb,$520.73,"$28,952.59","Maruyama Coffee(Japan), Sarutahiko Coffee(Japan), Coffee A Go! Go!(Japan), Mesh Coffee(South Korea), Orsir Coffee(Taiwan)"
1b,"La Reforma y Anexos – La Reforma y Asociados, S.A.",7,$60.00/lb,$462.97,"$27,778.20",BREW & BREAD COFFEE ROASTER
2a,"El Zapote y Anexos – Perez Perez, Wilfrido Hernán",8,$24.20/lb,$527.83,"$12,773.49",Ecom Japan Limited
2b,"El Zapote y Anexos – Perez Perez, Wilfrido Hernán",7,$24.50/lb,$462.97,"$11,342.77","Orsir Coffee Co., Ltd."
3a,El Morito II – Monterroso Pineda José Roberto,7,$25.20/lb,$462.97,"$11,666.84","Coffee Libre, El Café Coffee Roasters"
3b,El Morito II – Monterroso Pineda José Roberto,7,$25.30/lb,$448.72,"$11,352.87",HAYDEN
4,"La Soledad y Anexo – Perez Melendez, Henio Raúl",21,$15.10/lb,"$1,367.03","$20,642.15","MOMOS COFFEE, BLACKUP COFFEE, IN EARTH COFFEE, MAVIS COFFEE, VUENUS COFFEE, Intelligentsia Coffee(U.S.A.)"
5,Rio Dorado – Monterroso Pineda José Roberto,14,$15.30/lb,$916.76,"$14,026.43",Campos Coffee
6,El Morito I – Monterroso Pineda José Roberto,14,$16.01/lb,$899.52,"$14,401.32",Coffee Libre
7,"Plan de la Vega – Argueta Herrera, Erwin Humberto",16,$12.10/lb,"$1,064.82","$12,884.32","THE DRIP CO., LTD."
8,"Los Aguacatones – De La Peña Illescas, Rosa María",15,$12.10/lb,$978.62,"$11,841.30","UCC Ueshima Coffee Co., Ltd."
9,"Villaure – Villatoro Castillo, Aurelio",19,$13.20/lb,"$1,270.69","$16,773.11",Terarosa (Haksan Co.Ltd)
10,"El Socorro – Cercol, S.A.",16,$10.29/lb,"$1,029.33","$10,591.81","TOA COFFEE Co.,Ltd."
11,"Chualax – Agrocomercial Santa Felisa, S.A.",12,$21.99/lb,$790.00,"$17,372.10",Campos Coffee
12,"Los Cimientos – Morán Solares, Julio Roberto",19,$9.40/lb,"$1,275.76","$11,992.14",Fisher Coffee / Latorre & Dutch Coffee
13,"Linda Vista – Valladares Rodriguez, Inmer Abel",21,$12.50/lb,"$1,385.28","$17,316.00",BLOSSOM VALLEY INTL. / THE FEW COFFEE & GOODS
14,"Las Macadamias – Las Macadamias, S.A.",15,$12.50/lb,$968.48,"$12,106.00","Cuppers Cooperative, Sewoong GC, AG COFFEE, GLEAM, The Good Day, LabCNC, CAFE Q"
15,"Guatalón – Juarez Solares, Guillermo Antonio",15,$12.10/lb,"$1,020.20","$12,344.42",Kyokuto Fadie Corporation
16,"Jauja y Anexos – Operadora Santa Clara, S.A.",16,$10.20/lb,"$1,026.29","$10,468.16","Wataru & Co., Ltd."
17,"El Limonar – Ovalle Mont, Rosa María",12,$15.10/lb,$775.80,"$11,714.58",Bailies Coffee Company
18,"El Zapote – Melendez Perez, Julio Roberto",27,$10.11/lb,"$1,810.20","$18,301.12",Ryans Coffee Roasters / Sims Coffee Lab
19,"Calahute Alto – Café Don Alfonso, S.A",17,$8.60/lb,"$1,103.36","$9,488.90","Wataru & Co., Ltd."
20,"El Líbano – Perez Liquidano, Herbert Estuardo",24,$12.40/lb,"$1,597.23","$19,805.65",M.I.COFFEE CORPORATION
21,"Rio Arriba – Cercol, S.A.",13,$15.60/lb,846.79,"$13,209.92","Linking Coffee Co., Ltd."
22,"La Esperanza – Villatoro Castillo, Pedro",18,$8.15/lb,"1,177.39","$9,595.73","Wataru & Co., Ltd."
23,"San Antonio de Esquipulas y Anexo – Corporación Mil, S.A.",19,$10.51/lb,"1,275.76","$13,408.24","Jungle Coffee Roasters (THE JUNGLE Co.,Ltd.)"
24,"Santa Clara – Operadora Santa Clara, S.A.",12,$11.10/lb,808.25,"$8,971.58","Wataru & Co., Ltd."
25,"San Guayabá – Cercol, S.A.",12,$15.40/lb,796.08,"$12,259.63",Brew92 Cafe & Roastery
26,"El Porvenir – Mooney Del Carmen, Joseph Daniel",32,$8.00/lb,"2,095.16","$16,761.28",Honu Kato Coffee Inc.
27,"La Hermosa – Perez Ríos, Max Fernando",13,$12.10/lb,881.27,"$10,663.37","Linking Coffee Co., Ltd."
28,San Rafael Urias Valdes – Felix Valdés Q. y Hnas. Sucesores,42,$9.55/lb,"2,759.41","$26,352.37","Mercanta The Coffee Hunters, Artisan Roast Scotland, Origin Coffee Roasting South Africa"
29,"San Agustin Las Cañas – Operadora Santa Clara, S.A.",15,$12.10/lb,999.92,"$12,099.03",Kyokuto Fadie Corporation
30,"El Muro – Valladares Rodriguez, Inmer Abel",18,$10.40/lb,"1,209.84","$12,582.34","Linking Coffee Co., Ltd."
31,"El Injerto I – El Injerto, S.A.",12,$15.10/lb,811.29,"$12,250.48",Sulalat Coffee Trading
32,"Antigua Buena Vista y Anexos – Entre Caminos, S.A.",15,$12.10/lb,959.35,"$11,608.14",Alpha Coffee & Tea.
33,"La Montañita – Gonzalez Morales, José Humberto",15,$7.65/lb,959.35,"$7,339.03","Wataru & Co., Ltd."
34,"Santa Cecilia y Anexos – Castillo Herrera, Mariano",27,$7.80/lb,"1,761.52","$13,739.86",BREW & BREAD COFFEE ROASTER
