LOT #,WINNING FARM / CWS,LOT SIZE,HIGH BID,TOTAL VALUE,HIGH BIDDER(S)
1,La Huerta,20,$25.20/lb,"$33,264.00","UCC Ueshima Coffee Co., Ltd."
2,Mira Valle,24,$22.50/lb,"$35,640.00","Maruyama Coffee, Yokoi Coffee (Japan) and Orsir Coffee (Taiwan)"
3,Cielito Lindo,17,$15.50/lb,"$17,391.00","EL CAFE coffee roasters, Beansfree, Seo Dongjin’s Coffee Lab, Told a Story (S.Korea)"
4,El Nacimiento #2,18,$17.00/lb,"$20,196.00","Time’s Club, Kyokuto Fadie Corporation, Coffee Libre"
5,El Filo,21,$14.00/lb,"$19,404.00",Bean Green
6,Don Amado,19,$10.40/lb,"$13,041.60","LAF/Almacielo, Roasting House, Coffee Radio"
7,La Colmena,28,$10.40/lb,"$19,219.20","TASHIRO COFFEE Co.,Ltd"
8,Guzmán,23,$11.20/lb,"$17,001.60",Kyokuto Fadie Corporation
9,Pino de Oro,18,$11.20/lb,"$13,305.60",Mecca
10,Olvin,26,$8.20/lb,"$14,071.20",Kaffebrenneriet as
11,Los Tres Juanes,25,$10.10/lb,"$16,665.00","COFFEE LIBRE & [BUSAN GROUP] – MOMOS COFFEE, Black Up Coffee Factory, Mavis Coffee, In Earth Coffee, Le Cafe Coffee, Coffee Loves Him Roasting Company, Coffee Geeks, People N Talk Coffee"
12,Guacamaya – [O],44,$7.30/lb,"$21,199.20",hankook coffee
13,Cristal,20,$8.21/lb,"$10,837.20",Union Hand Roasted Coffee
14,El Pinabetal,39,$7.20/lb,"$18,532.80","Wataru & Co., Ltd."
15,Integral El Cipres – [O],25,$11.10/lb,"$18,315.00",Wataru for NOZY COFFEE
16,Moreno,28,$10.00/lb,"$18,480.00","Wataru for Coffee Factory, Voila Coffee, St.berry Coffee, Marumi Coffee"
17,El Matazano,41,$6.60/lb,"$17,859.60","Wataru & Co., Ltd."
18,El Guachipilin,32,$6.70/lb,"$14,150.40","Wataru & Co., Ltd."
19,Monte Escondido,20,$10.00/lb,"$13,200.00",Campos Coffee
20,El Roblar,42,$6.11/lb,"$16,936.92",CBI on behalf of Nordstrom’s Specialty Coffee
21,La Mision,22,$8.10/lb,"$11,761.20","Wataru & Co., Ltd."
22,Sultana,74,$6.01/lb,"$29,352.84",honuKATOCOFFEE Inc.
