RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1a,6,El Laurel 2017,Oscar Daniel Ramirez Valerio,"Danli, El Paraiso",91.81
1b,5,El Laurel 2017,Oscar Daniel Ramirez Valerio,"Danli, El Paraiso",91.81
2a,6,Las Peñitas 2017,Jorge Arturo Benitez Miranda,"Santa Barbara, Santa Barbara",91.62
2b,5,Las Peñitas 2017,Jorge Arturo Benitez Miranda,"Santa Barbara, Santa Barbara",91.62
3a,8,El Guayabo 2017,Mario Alexis Moreno Leiva,"Las Vegas, Santa Barbara",90.78
3b,8,El Guayabo 2017,Mario Alexis Moreno Leiva,"Las Vegas, Santa Barbara",90.78
4,16,Las Flores 2017,Natalia Pineda Molina,"Chinacla, La Paz",89.65
5,15,Los Robles 2017,Sergio Enamorado Moreno,"Las Vegas, Santa Barbara",89.35
6,13,El Liquidambo 2017,Ma Nery Marquez Granados,"Marcala, La Paz",89.22
7,21,La Colmena 2017,Angel Arturo Paz Ramirez,"Santa Barbara, Santa Barbara",88.76
8,18,El Cedro 2017,Wilson Orlando Moreno Lopez,"Las Vegas, Santa Barbara",88.62
9,12,El Barrancon 2017,Jose Santos Guevara Lopez,"Santa Ana, La Paz",88.26
10,19,El Roblar 2017,Rosa Dimas Funes Macias,"San Sebastian, Comayagua",88
11,24,Chimichales 2017,Alexis Hernandez Mejia,"Concepcion Del Sur, Santa Barbara",87.51
12,12,El Eden 2017,Luis Callejas,"Santa Lucia, Francisco Morazán",87.37
13,19,La Leona 2017,Jose Maria Lopez Tobar,"Concepcion Del Sur, Santa Barbara",87.32
14,12,Malraud 2017,Humberto Maldonado Robles,"Distrito Central, Francisco Morazán",87.32
15,12,El Aguacate 2017,Leonel Diaz Castañeda,"San Jeronimo, Comayagua",87.26
16,15,San Judas Tadeo 2017,Victor Manuel Leva Bulnes,"Santa Barbara, Santa Barbara",87.24
17,22,Don Juan 2017,Juan Antonio Contreras,"Concepcion Del Sur, Santa Barbara",87.22
18,28,La Rinconada 2017,Luis Orlando Torres Valle,"Comayagua, Comayagua",87.1
19,15,Genesis 2017,Roberto Belarmino Contreras Rodriguez,"Santa Barbara, Santa Barbara",86.97
20,16,El Espejo 2017,Fredi Leonel Castellanos Hernandez,"Las Vegas, Santa Barbara",86.84
21,26,Los Ocotillos 2017,Francisco Velasquez,"Masaguara, Intibucá",86.44
22,18,El Durazno 2017,Maria Santos Funez,"La Paz, La Paz",86.41
23,14,La Fortuna 2017,Baudilio Hernandez,"Morazan, Yoro",86.38
24,16,Montecillos 2017,Wilmer Alexi Grau Montoya,"Masaguara, Intibucá",86.22
