RANK,FARM,SIZE,HIGH BID,TOTALVALUE,BUYER
1a,San Francisco – Fabio Antonio Caballero,5,$80.60/lb,"$26,653.61","Maruyama Coffee (Japan), Sarutahiko Coffee (Japan), Intelligentsia Coffee (U.S.A.)"
1b,San Francisco – Fabio Antonio Caballero,5,$80.10/lb,"$26,376.93",Brew92 Cafe & Roastery
2a,Los Pinos – Remiery Orlando Carvajal Guevara,4,$27.30/lb,"$7,222.49",Orsir Coffee(Taiwan)
2b,Los Pinos – Remiery Orlando Carvajal Guevara,4,$27.20/lb,"$7,165.84","27 COFFEE ROASTERS（Kasai Coffee Co.ltd), Honey Coffee（Izaki Coffee Co.lt), SAZA COFFEE"
3a,Nacimiento # 2 – Fani Yeselia Moreno Lopez,7,$20.09/lb,"$8,601.73","MOMOS COFFEE, BLACKUP COFFEE, IN EARTH COFFEE, MAVIS COFFEE, VUENUS COFFEE, SC COFFEE"
3b,Nacimiento # 2 – Fani Yeselia Moreno Lopez,6,$24.09/lb,"$9,559.63","Time’s Club Inc. , Coffee Libre, Proud Mary"
4a,EL Plan – Leonela Villanueva Pineda,5,$20.60/lb,"$6,107.08","Sugi Coffee Roasting, Pon Pon Coffee"
4b,EL Plan – Leonela Villanueva Pineda,4,$17.50/lb,"$4,629.80",Campos Coffee
5a,La Monta–a – Jose Santos Guevara Lopez,5,$18.00/lb,"$5,952.42",Fisher Coffee / GeeCoffeeRoasters / Latorre & Dutch Coffee
5b,La Monta–a – Jose Santos Guevara Lopez,5,$17.49/lb,"$5,759.46",Kasai Coffee
6,La Laguna – Carlos Alberto Argueta Mejia,16.00,$12.00/lb,"$12,672.00",M.I.COFFEE CORPORATION
7,La Monta–ita – Evin Joel Moreno Reyes,10,$13.10/lb,"$8,213.70",Terarosa (Haksan Co.Ltd)
8,El Espejo – Fredi Leonel Castellanos Hernandez,12,$11.30/lb,"$8,949.60","MOMOS COFFEE, BLACKUP COFFEE, IN EARTH COFFEE, MAVIS COFFEE, VUENUS COFFEE, SC COFFEE"
9,El Trapiche – Eugenio Muoz Teruel,10.00,$9.00/lb,"$5,643.00","Wataru & Co.,Ltd."
10,El Cielito Lindo – Extreberto Caceres Gutierrez,11,$9.50/lb,"$6,583.50",Coffee Libre
11,Los Chorritos – Donulfo Midence,14,$9.50/lb,"$8,778.00",M.I.COFFEE CORPORATION
12,Las Tres Pe–as – Duvis Alexis Moreno Reyes,13,$10.70/lb,"$9,180.60",Terarosa (Haksan Co.Ltd)
13,Don Andres – Josue Nahun Fernandez Sabillon,8,$10.50/lb,"$5,544.00",Coffee Libre
14,El Brujo – Benjamin Paz Muoz,9,$9.50/lb,"$5,329.50",Campos Coffee
15,El Naranjo – Carmen Fabiola Fiallos,8,$9.40/lb,"$4,963.20",Fisher Coffee / Latorre & Dutch Coffee
16,Moreno – Pedro Moreno,19,$9.40/lb,"$11,787.60",Kaffebrenneriet As
17,La Sierra – Osman Pineda Alvarado,11.00,$9.10/lb,"$6,306.30",Campos Coffee
18,Nacimiento # 1 – Job Neel Cacerez Diaz,10,$12.50/lb,"$8,250.00",Kyokuto Fadie Corporation
19,Patriarca – Martin Galeas Mejia,12,$9.10/lb,"$7,207.20",Wataru for Nozy Coffee
20,Jeackeline – Angel Ruben Aplicano,26,$7.05/lb,"$12,097.80",Nippon Coffee Trading
21,El Ocote – Pedro Sagastume Enamorado,24.00,$6.93/lb,"10,977.12",Honu Kato Coffee Inc.
22,Los Robles – Sergio Enamorado Moreno,14,$7.90/lb,"7,299.60",Kyokuto Fadie Corporation
23,Chely – Nelson Rene Ramirez Rosa,9,$9.15/lb,"$5,435.10",Collaborative Coffee Source
24,El Paraiso – Wil Edilberto Armijo,14,$7.00/lb,"$6,250.09","Wataru & Co., Ltd."
25,Los Colibries – Ronnie Alfredo Gabrie Salles,11.00,$8.40/lb,"5,821.20",InterAmerican Coffee GmbH
26,El Rincon – Anner Joad Gonzalez Sanchez,24.00,$8.00/lb,"$12,672.00","Wataru & Co., Ltd."
27,Limoncito – Roberto Serafin Ramirez Fernandez,10.00,$9.10/lb,"6,006.00","Wataru & Co., Ltd."
28,El Sauce – Esteban Madrid Chavez,7,$8.28/lb,"$3,825.36","Wataru & Co.,Ltd."
29,Los Cedros – Juan Manuel Hernandez Lopez,9,$9.11/lb,"5,121.37","TOA COFFEE CO., Ltd."
30,La Colmena – Angel Arturo Paz Ramirez,11,$8.20/lb,"$5,953.20","Wataru & Co.,Ltd."
31,La Leona – Nelson Omar Tinoco Madrid,18,$7.30/lb,"$8,431.50","Wataru & Co.,Ltd."
32,El Tanque – Danny Gabriel Moreno Leiva,10,$8.70/lb,"$5,742.00",Kasai Coffee
33,Mi Montaña – Angel Augusto Valenzuela Ulloa,22,$6.90/lb,"10,018.80",Honu Kato Coffee Inc.
34,Las Botijas – Jose Abel Giron Duron,16,$7.70/lb,"$7,877.10","Wataru & Co., Ltd."
35,Cristal – Jose Esteban Madrid Villanueva,10,$8.10/lb,"$5,346.00",27 COFFEE ROASTERS（Kasai Coffee Co.ltd）
36,Patepluma – Franklin Adonis Madrid Villanueva,8,$8.08/lb,"$4,266.24","Wataru & Co., Ltd."
