RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1,27,Las Fincas Del Suspiro,Artemio Zapata Tejada,"Pacho Viejo, Coatepec, Veracruz",90.03
2,39,Finca Las Nubes – Pante Tres,Luis Antonio Lopez Aguilar,"La Concordia , Chiapas",88.97
3,92,Finca La Lagunilla,Andres Martinez Leon,"Ixtlan De Juarez, Oaxaca",88.21
4,55,Finca Nueva Linda,Octavio Moguel Farrera,"La Concordia, Chiapas",88.13
5,80,Finca Corral De Pidra,Agustin Moreno Salgado,"Ixhuatlan Del Café , Veracruz",87.87
7,115,Finca Santa Rosa,Arturo Lievano Moreno,"La Concordia, Chiapas",87.29
8,115,Finca Zona Porvenir,Epifanio Garcia Miguel,"Tapachula, Chiapas",87.16
10,27,Finca Cañada Fria,Jose Daniel Cobilt Castro,"Huatusco, Veracruz",85.95
11,115,Finca La Playa,Hilario Felipe Rosas Maquez,"Fresnal Ixtaczoquitlan, Veracruz",85.79
12,23,Finca Santa Maria Sitepec,Etmar Didier Roblero Lopez,"Santa Maria / Sitepec, Chiapas",85.74
