LOT #,WINNING FARM / CWS,LOT SIZE,HIGH BID,TOTAL VALUE,HIGH BIDDER(S)
1,El Pino / El Cedro,21,$16.60/lb,"$23,422.60","Maruyama Coffee, Uchida Coffee, Sugi Coffee Roasting, Nagahama Coffee, Saza Coffee"
2,Kasandra,21,$13.50/lb,"$19,048.50","UCC Ueshima Coffee Co., Ltd."
3,Sini Tachi/El Encino Negro,31,$8.41/lb,"$17,450.75","Wataru & Co., Ltd."
4,Tierra Azul / El Aguacatal,25,$9.00/lb,"$14,877.00","Time’s Club, Kyokuto Fadie Corporation, Tashiro Coffee (JAPAN) // Coffee Libre (KOREA)"
5,Barranca de Aguacate / Agua…,19,$5.60/lb,"$6,960.80","Gamsung International Co.,Ltd. COFFEA COFFEE"
7,Palulca,9,$9.60/lb,"$5,779.20",Aroma Coffee (Gavin Gam) Tommy’s Mexican Rest (Julio Bermejo)
8,Varias Fincas,15,$7.90/lb,"$7,836.80",Kyokuto Fadie Corporation
9,Nuevo Vergel,12,$10.70/lb,"$8,495.80",TERAROSA(S.KOREA)
10,La Distancia,28,$7.25/lb,"$13,427.00",Monmouth Coffee Company
13,Finca Chelin Spr de RL (Pante…,13,$9.10/lb,"$7,826.00",Campos Coffee
14,"Zaiba, Garnica, de Aquel…",10.00,$7.10/lb,"$4,714.40","Wataru & Co., Ltd."
15,Buena Vista,11,$6.40/lb,"$4,659.20","NAGAHAMA COFFEE, COFFEE FACTORY, MAGNOLIA COFFEE ROASTERS, ISHII Corporation"
16,Arrollo Seco,23,$4.20/lb,"$6,388.20","GSC International Co., Ltd. (KOREA) // Shanghai Borong International Trading Co., Ltd (CHINA)"
17,Apoxtla,25.00,$5.60/lb,"$9,245.60","Wataru & Co., Ltd."
18,Arroyo Negro,12,$6.30/lb,"$5,002.20",MC FOODS LIMITED
19,Cafetalera Guadalupe Zaju,62,$6.00/lb,"$24,606.00",Kaffebrenneriet as
20,La Virgencita,23,$4.10/lb,"$6,227.90","Maruyama Coffee, Uchida Coffee, Sugi Coffee Roasting"
