Rank,Farm,Boxes,High Bid,Total Value,Company Name
1a,Finca Peña Blanca – Jose Renteria Larios,4,$100.20/lb,"$26,507.91","Maruyama Coffee, Sarutahiko Coffee, Uchida Coffee"
1b,Finca Peña Blanca – Jose Renteria Larios,4,$39.10/lb,"$10,343.91",Nippon Coffee Trading
2a,Finca la ilusión – Federico Barrueta Barrueta,6,$27.40/lb,"$10,873.14","ST.BERRY COFFEE,
Coffee Me Up (Korea),
MAGNOLIA COFFEE ROASTERS,
SAZA COFFEE,
COFFEE FACTORY"
2b,Finca la ilusión – Federico Barrueta Barrueta,5,$28.30/lb,"$9,358.53",Maruyama Coffee
3a,Cruz Verde – Gabriel Bernard Rivas Ross,5,$9.15/lb,"$3,025.81",Kaffebrenneriet As
3b,Cruz Verde – Gabriel Bernard Rivas Ross,5,$9.20/lb,"$3,042.35",Campos Coffee
4a,Santa Cruz – Selestino Lopez Partos,7,$7.70/lb,"$3,564.87",Nagahama Coffee Inc.
4b,Santa Cruz – Selestino Lopez Partos,7,$7.60/lb,"$3,518.57","ST.BERRY COFFEE,
MARUMI COFFEE"
5,Finca Las Chicharras – Lee Young Yong,12,$7.10/lb,"$5,634.99",Red Whale Coffee
6,El Mirador – Leon Mendoza Odilon,16,$10.20/lb,"$10,793.74","EL CAFE COFFEE ROASTERS, Coffee Libre"
7,Finca Los Cimentos – Roman Mendoza Odilon,18.00,$10.20/lb,"$12,142.90",Camel Step Roasters
8,Finca El Aserradero – Marcelo Garcia Hernandez,19,$6.80/lb,"$8,500.07",Solberg & Hansen As
9,Cañada Fría – José Daniel Cóbilt Castro,10,$10.30/lb,"$6,812.21",Greater Goods
10,Poxtla – María Victoria Marini Debernardi,7.00,$8.00/lb,"$3,703.76",Coffee Supreme
11,Finca Huehuetecpan – Francisco Javier Montiel Valencia,15,$5.70/lb,"$5,654.80","Osito Coffee, Sey Coffee and Passenger Coffee"
12,Tlayahualapan 1 – Joaquin Rodriguez Fernandez,12,$6.00/lb,"$4,761.96","Wataru & Co., Ltd."
13,Agroforestal Chanjul – Edward Andres Esteve Creixell,13,$6.50/lb,"$5,588.64","Coffee Me Up (Korea), L’OISEAU"
14,El Equimite – Rodolfo Jimenez Lopez,14,$5.60/lb,"$5,185.21",Nippon Coffee Trading
15,Kassandra – Guillermo Rivas Diaz,11,$7.00/lb,"$5,092.64","Toa Coffee Co., Ltd."
16,Nuevo Paraíso – B Eutimio Luna Ramirez,20,$5.50/lb,"$7,250.93",Honu Kato Coffee Inc.
17,El Rincon – Rodolfo Jimenez Ruedas,12,$7.20/lb,"$5,682.60",Sulalat Coffee Trading
18,El Naranjal – Pedro Pedro Pérez,15.00,$6.30/lb,"$6,250.04",Kyokuto Fadie Corporation
19,"Sana-Ite & La Cumbre Loma – Félix Faustino García López, Franciscano Guadalupe García Ortíz",16,$5.70/lb,"$6,031.80","Wataru & Co., Ltd."
20,"Stun Kava, Lomu Yu Kuiyo – Claudio Ernesto López Avendaño, Matias López Ayala",16,$5.70/lb,"$6,006.66",Honu Kato Coffee Inc.
21,"El Naranjal & Copalillo – Ubaldo Máximo Pérez González, José Luis Lopéz García",21,$5.50/lb,"$7,638.95","Wataru & Co.,Ltd."
22,Finca Pocitos – Jesus Carlos Cadena Valdivia,18.00,$5.50/lb,"6,547.64","Tres Cabezas, List & Beisler GmbH, Hamburg"
23,"Ita Nuni, Carrizal & Mangal – Antolín Rogelio López, Froylan Plutarco López, Antonina Valeria Ortiz España",14,$5.70/lb,"5,277.80",Honu Kato Coffee Inc.
24,San Pablo – Carlos Alberto Audelo Holm,30,$6.90/lb,"$13,690.57","Wataru & Co.,Ltd."
25,Finca El Encanto – Guadalupe Sanchez Sandoval,24,$5.50/lb,"$8,730.21",Honu Kato Coffee Inc.
26,El Sabino – Teodoro Ruiz Casimiro,9.00,$7.10/lb,"4,226.20",Kyokuto Fadie Corporation
27,"Monte Grande & Las trancas – Juana Petra García López, Edilberto Eugenio García López",16.00,$5.70/lb,"$6,031.80",Honu Kato Coffee Inc.
28,La Barrigona-{ORG} – Hilda Bautista Guerrero,10.00,$6.80/lb,"4,497.38",Wataru for TAKAMURA COFFEE ROASTERS
