Rank,Farm,Weight (lbs.),High Bid,Total Value,Company Name
1a,Santa Cruz,330.69,$35.40/lb,"$11,706.43","Maruyama Coffee, Sarutahiko Coffee, Yamada Coffee"
1b,Santa Cruz,264.55,$35.50/lb,"$9,391.53",SUPREMO COFFEE
2a,Don Rafa,584.22,$11.60/lb,"$6,776.95","MUSEO Co.,LTD, liike coffee, huelgo, Jeju Be Brave, Coffee Montage, TXT Coffee (.txt)"
2b,Don Rafa,529.1,$11.60/lb,"$6,137.56",Sulalat Coffee Trading
3a,Dinastia Altamirano,462.97,$9.85/lb,"$4,473.38",Wataru for GOLPIE COFFEE
3b,Dinastia Altamirano,396.83,$9.75/lb,"$3,869.09",Mercanta The Coffee Hunters & Artisan Roast Scotland
4,La Ilusión,925.93,$16.10/lb,"$14,907.47","ST.BERRY COFFEE, Coffee Me Up (Korea), Taniguchi Coffee, 331ROASTERS, MONOSCOPE.BUSAN, MAGNOLIA COFFEE ROASTERS"
5,Huehuetecpan,848.77,$9.85/lb,"$8,360.38",hirocoffee
6,El Equimite,793.66,$9.70/lb,"$7,698.50","ST.BERRY COFFEE, 27Coffee Roasters (Kasai Coffee) , Nagahama Coffee Inc., MAGNOLIA COFFEE ROASTERS, Taniguchi Coffee"
7,San Rafael,859.79,$7.40/lb,"$6,362.45","Wataru & Co., Ltd."
8,Finca Consolapan,"1,653.45",$7.60/lb,"$12,566.22",Madcap Coffee
9,Los Remedios,793.66,$8.10/lb,"$6,428.65",Nagahama Coffee Inc.
10,Fátima,921.52,$10.00/lb,"$9,215.20",Brew92 Cafe & Roastery
11,Ocoteno,778.22,$9.10/lb,"$7,101.91",Campos Coffee
12,Xoxohuico,529.1,$12.50/lb,"$6,613.75",Sulalat Coffee Trading
13,El Mirador,1256.62,$7.00/lb,"$8,796.34",Kyokuto Fadie Corporation
14,San Rafael,992.07,$8.30/lb,"$8,234.18",Farmer Brothers
15,Las Trincheras,853.18,$7.20/lb,"$6,142.90","SHINN NAN WORLD TRADE CO., LTD. & FULL SWEET COFFEE"
16,Cañada Fría,2050.28,$5.50/lb,"$11,276.54",Honu Kato Coffee Inc.
17,El Paredón,793.66,$7.50/lb,"$5,952.45",32CUP N.V.
18,El Huerto,859.79,$5.90/lb,"$5,072.76",Honu Kato Coffee Inc.
19,La Isla,727.52,$5.80/lb,"$4,219.62","Wataru & Co., Ltd."
20,El Coronel,2233.26,$5.70/lb,"$12,729.58",Honu Kato Coffee Inc.
21,Las Crucesitas,1653.45,$5.60/lb,"$9,259.32",Camel Step Roasters
22,El Cajel,992.07,$5.70/lb,"$5,654.80","Wataru & Co., Ltd."
23,El Bordo,"1,119.94",$5.60/lb,"6,271.66","Wataru & Co., Ltd."
24,Dos mujeres,1984.14,$5.50/lb,"10,912.77",Honu Kato Coffee Inc.
25,Las Nubes,992.07,$5.74/lb,"$5,694.48","Wataru & Co., Ltd."
26,Huehuetepan,2431.67,$5.50/lb,"$13,374.19",Honu Kato Coffee Inc.
27,El Platanar,"1,044.98",$6.10/lb,"6,051.63",Honu Kato Coffee Inc.
28,La Rinconada,855.38,$5.60/lb,"$4,790.13","NIPPON COFFEE TRADING CO.,LTD."
