RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1,14,Las Golondrinas,Marcio Benjamin Peralta Paguaga,"Ocotal, Nueva Segovia",94.84
2,18,La Union,Donaldo Vanegas Cruz,"Estelí, Nueva Segovia",91.58
3,14,Villa Fontana,Daniel Matute López,"Ocotal, Nueva Segovia",90.76
4,17,Las Termopilas,Prodecoorp R.L,"Estelí, Nueva Segovia",90.58
5,19,Santa Isabel,Jaime Armando Lovo,"Dipilto, Nueva Segovia",90.55
6,21,Hacienda Los Nogales,Roger Catellón Orue,"Jinotega, Jinotega",90.18
7,12,La Virgen,Udo Hermann Ernst Spies,"Estelí, Nueva Segovia",90.03
8,16,El Sauce,Gregorio Hernández,"Jinotega, Jinotega",89.08
9,16,La Esperanza,Rosa Yannete Rivera Siles,"Jinotega, Jinotega",89.05
10,21,Finca Esperanza Verde,DURHAM- San Ramon Sister Communities (ONG),"Matagalpa, Matagalpa",87.42
11,28,Agricola Siare,Gilda Cuadra de Rosales,"Matagalpa, Matagalpa",87.05
12,13,San Jorge,Teresita Pastora de Chávez,"Jinotega, Jinotega",87
13,13,Santa Gema,Silvia Maria Ibarra Almendarez,"Mozonte, Nueva Segovia",87
14,13,Bella Aurora,Joaquin A. Lovo López,"Dipilto, Nueva Segovia",86.66
15,21,Los Milagros,Julio César Real,"Jinotega, Jinotega",86.63
16,14,La Esperanza,Esperanza Tercero Moncada,"Mozonte, Nueva Segovia",86.47
17,14,Tierra Linda,Maria Nieves Paguaga Castellanos,"Dipilto, Nueva Segovia",86.32
18,15,Santa Guadalupe,Jaime Rosales Pasquier,"Tomayunca, Jinotega",86.08
19,18,Cooperativa Luis Alberto…,Prodecoorp R.L,"Madriz, Nueva Segovia",86.05
20,23,Cooperativa Jose Alfredo…,Prodecoorp R.L,"Madriz, Nueva Segovia",85.76
21,14,Linda Vista,Marlene Galo Pérez,"Dipilto, Nueva Segovia",85.66
22,19,Santa Maria de Loardes,Octavio José Peralta Paguaga,"Ocotal, Nueva Segovia",85.5
23,14,Los Angeles,Basilio Grádiz Figueroa,"Dipilto, Nueva Segovia",85.42
24,14,Divina Providencia,Misael Sauceda Olivero,"Dipilto, Nueva Segovia",85.32
25,15,El Bosque,Julio Peralta Salomon,"Ocotal, Nueva Segovia",85.03
26,19,Ojo de Agua,PRODECOOP R.L,"Ocotal, Nueva Segovia",84.95
27,18,El Limoncillo,Maria Ligia Mierisch,"Matagalpa, Matagalpa",84.66
28,14,Casas Viejas,Norman Ramón Paguaga,"Dipilto, Nueva Segovia",84.66
29,15,Los Papales,Angelina López López,"Jinotega, Jinotega",84.61
30,14,Los Encinos (San Isidro),Luis Felipe Martilla M,"Dipilto, Nueva Segovia",84.5
31,16,Aguas Frescas,Francisco Gutierrez,"Jinotega, Jinotega",84.45
32,20,Hacienda Buenos Aires,Mario Cerna Barquero,"Matagalpa, Matagalpa",84.11
33,14,El Porvenir,Manuel Gonzales Ponce,"Ocotal, Nueva Segovia",84.03
34,13,La Esperanza San Juan,Domingo Palma Montoya,"Jalapa, Nueva Segovia",84
