LOT #,WINNING FARM / CWS,LOT SIZE,HIGH BID,TOTAL VALUE,HIGH BIDDER(S)
1,La Esperanza,36,$31.05/lb,"$83,835.00","Hiro Coffee Co.,Ltd."
2,El Recuerdo,34,$9.95/lb,"$25,173.50","Maruyama Coffee for Mikatajuku group, Sugi Coffee Roasting"
3,Cima del Cielo,39,$6.65/lb,"$19,584.25",Time’s Club for C-COOP
4,La Picona,37,$8.96/lb,"$24,568.32","Mercanta the Coffee Hunters for Fortnum & Mason (UK), Cafés El Magnífico (ES), Phil & Sebastian Coffee Roasters (CAN)"
5,San José,40,$6.05/lb,"$18,131.85","Toa Coffee Co., Ltd"
6,Santa María de Lourdes,33,$6.00/lb,"$14,910.00","Wataru & Co., Ltd."
7,La Minita,31,$8.05/lb,"$18,756.50",Orsir Coffee (Taiwan)
8,La Carolina,35,$5.20/lb,"$13,743.60","Nippon Coffee Trading Co.,Ltd for Doi Coffee"
9,San Antonio,40,$6.00/lb,"$18,168.00",Kaffebrenneriet as
10,Santa Gema,39,$5.05/lb,"$14,629.85","Nippon Coffee Trading Co.,Ltd for Doi Coffee"
11,Las Limas,38,$4.10/lb,"$11,685.00",Firestorm Coffee Roasters Company
12,Himalaya,36,$4.01/lb,"$10,722.74",The Golden Coffee Box / Boot Koffie
13,Las Colinas,37,$5.06/lb,"$14,203.42",Kaffebrenneriet as
14,Buenos Aires,36,$5.10/lb,"$13,805.70",Ecom Japan Limited
15,La Leona,37,$4.60/lb,"$12,765.00","Mercanta the Coffee Hunters for Bean14 (UK), Dutch Barista (NL), Has Bean Coffee (UK), Kaffeespezialitaet (AT), Melbourne Coffee Merchants (AU), Rocket Coffee (NZ), vieia kava (LT), Voila Coffee (JP)"
16,Los Planes del Águila,35,$5.10/lb,"$13,219.20","Wataru & Co., Ltd."
17,La Guadalupana,32,$3.65/lb,"$8,851.25",Espresso Americano
18,Coop. 15 de Septiembre,40,$4.06/lb,"$12,180.00","Invalsa Coffee®, Boston, US and Noble Coffee Roasting, Oregon, US, Sacred Grounds Coffee Roasters, California, US, Montana Coffee Traders, US, Coffeeplant, Momos Coffee, South Korea, Quality Green Coffee, Florida, US"
19,Los Achiote,42,$4.06/lb,"$12,935.16",Oren’s Daily Roast
20,Monte Cristo,35,$3.70/lb,"$9,790.20","InterAmerican Coffee GmbH, Café Kaiser Konditorei, Elbgold Kaffeerösterei"
21,"El Naranjo ,Dipilto",36,$4.60/lb,"$12,470.60","Wataru & Co., Ltd."
22,Los Cipreses,34,$3.45/lb,"$8,690.55",honuKATOCOFFEE Inc.
23,Las Nubes,39,$4.90/lb,"$14,469.70","Nippon Coffee Trading Co.,Ltd for Doi Coffee"
24,Santa Fátima,38,$4.01/lb,"$11,372.36",honuKATOCOFFEE Inc.
25,Cofradía,37,$3.61/lb,"$9,916.67","Nippon Coffee Trading Co.,Ltd"
26,Oro Verde,33,$5.04/lb,"$12,524.40","Wataru & Co., Ltd."
