RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE,VARIETY,PROCESSING
1a,7,Finca La Bendicion,Luis Alberto Balladares Moncada,Nueva Segovia,91.8,Red Pacamara,Natural
1b,6,Finca La Bendicion,Luis Alberto Balladares Moncada,Nueva Segovia,91.8,Red Pacamara,Natural
2a,7,Las Promesas de San Blas,Gonzalo Adán Castillo Moreno,Nueva Segovia,90.42,Hybrid,Honey
2b,7,Las Promesas de San Blas,Gonzalo Adán Castillo Moreno,Nueva Segovia,90.42,Hybrid,Honey
3a,6,Jesus Mountain,Jesus Mountain Coffee Company,Nueva Segovia,90.38,Red Pacamara,Washed
3b,6,Jesus Mountain,Jesus Mountain Coffee Company,Nueva Segovia,90.38,Red Pacamara,Washed
4a,8,El Cambalache,Abner Samuel Zevala Gonzales,Nueva Segovia,90.23,Maracaturra,Washed
4b,7,El Cambalache,Abner Samuel Zevala Gonzales,Nueva Segovia,90.23,Maracaturra,Washed
5a,6,Finca Un Regalo De Dios,Luis Alberto Balladares Moncada,Nueva Segovia,90.22,Red Pacamara,Honey
5b,6,Finca Un Regalo De Dios,Luis Alberto Balladares Moncada,Nueva Segovia,90.22,Red Pacamara,Honey
6,22,La Virgen,Gabriela Hueck,Matagalpa,89.55,Hybrid,Honey
7,15,El Manantial,Gloria Stella Lopez Moreno,Nueva Segovia,89.03,Parainema,Washed
8,12,El Esfuerzo,Ignacio Estrada Burgo,Jinotega,88.94,Maracaturra,Washed
9,15,La Esperancita,Gustavo Adolfo Cerna Flores,Matagalpa,88.91,Hybrid,Washed
10,15,Los Angeles,Heberto De Jesus Rivas,Madriz,88.67,Catimor,Washed
11,8,San Judas Estate,Jorge Luis Ferrey Machado,Matagalpa,88.67,Hybrid,Natural
12,12,Las Nubes,Victor Manuel Robelo,Matagalpa,88.59,Red Pacamara,Natural
13,14,La Divina Provindencia,Misael Sauceda Olivera,Nueva Segovia,88.53,Maragogype,Washed
14,10,El Recuerdo,José Javier Gonzáles Lopez,Nueva Segovia,88.53,Catuaí Rojo,Washed
15,21,El Recreo Estate,Leana José Machado De Ferrey,Jinotega,88.44,Parainema,Natural
16,15,La Ampliación,Guillermo Montenegro Ayestas,Nueva Segovia,88.42,Red Caturra,Washed
17,15,El Destino,Erwin Obel Duartes Garcia,Jinotega,88.41,Maracaturra,Washed
18,9,La Bastilla,Juana Rosa Gutierrez Morales,Jinotega,88.38,Red Caturra,Washed
19,8,Las Pencas,Felix Pedro Siles Gadea,Jinotega,88.33,Red Pacamara,Washed
20,14,Ojo De Agua,Luis Emilio Valladarez,Nueva Segovia,88.27,Maracaturra,Washed
21,14,Bella Aurora,Luis Joaquin Lovo Gutiérrez,Nueva Segovia,88.23,Red Caturra,Washed
22,14,Las Delicias,Eleane Mierisch & Gioconda Padilla Mierisch & Padilla,Jinotega,88.13,Java,Washed
23,14,Las Morenitas,Victor Manuel Robelo,Jinotega,88.05,Red Catuaí,Natural
24,24,La Rioja,Graciela Izayana Perez Bustos,Jinotega,88.05,Bourbón,Honey
25,15,San Jose,Pedro Jose Solis Martinez,Jinotega,87.89,Java,Honey
26,16,Santa Teresa,Jorge Luis Lagos Calix,Nueva Segovia,87.78,Maracaturra,Washed
27,13,San Ramon,Alfredo Rene Lopez Gomez,Nueva Segovia,87.78,Red Caturra,Washed
28,15,Santa Prisca,Leonel De Jesús Rodríguez Valladarez,Nueva Segovia,87.75,Maracaturra,Washed
29,13,Los Pirineos,Eudoro José Buillém Jarquín,Nueva Segovia,87.38,Red Caturra,Washed
30,11,Buenos Aires,Luis Emilio Valladarez,Nueva Segovia,87.38,Java,Natural
31,12,La Bendición,José Liberato Jarquin Agurcia,Nueva Segovia,87.09,Red Caturra,Washed
32,15,El Barril,Bayardo José Jimenez Rodríguez,Nueva Segovia,86.98,Maracaturra,Washed
33,16,Buena Esperanza,Ramiro Ortiz Gurdian,Matagalpa,86.8,Red Pacamara,Washed
34,14,Tierra Linda,Uriel Antonio Castellano Paguaga,Nueva Segovia,86.7,Red Caturra,Washed
35,12,Buena Vista,Roger Esaú Herrera Ortez,Nueva Segovia,86.69,Maracaturra,Washed
