RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1A,6,La Flor 2017 – {ORG},Juan Heredia Sanchez,"Jaén, Cajamarca",92.25
1B,5,La Flor 2017 – {ORG},Juan Heredia Sanchez,"Jaén, Cajamarca",92.25
2A,6,El Cerro 2017 – {ORG},Efrain Carhuallocllo Salvador,"San Ignacio, Cajamarca",90.61
2B,5,El Cerro 2017 – {ORG},Efrain Carhuallocllo Salvador,"San Ignacio, Cajamarca",90.61
3A,6,San Pedro – El Shimir 2017 -…,Fredy Bermeo Guevara,"San Ignacio, Cajamarca",90.48
3B,6,San Pedro – El Shimir 2017 -…,Fredy Bermeo Guevara,"San Ignacio, Cajamarca",90.48
4A,6,San Antonio 2017,Marco Antonio Montes Damiano,"Chanchamayo, Junin",90.41
4B,5,San Antonio 2017,Marco Antonio Montes Damiano,"Chanchamayo, Junin",90.41
5A,7,Las Orquideas 2017 – {ORG},Tito Huamán Salon,"Chachapoyas, Amazonas",90.11
5B,6,Las Orquideas 2017 – {ORG},Tito Huamán Salon,"Chachapoyas, Amazonas",90.11
6,12,Finca Ecológica Agua Colorada…,Filadelpo Córdova Mejia,"Jaén, Cajamarca",89.77
7,9,Mandor 2017 – {ORG},Gerardo Quispe Carrasco,"La Covencion , Cusco",89.27
8,13,Oropesa 2017,Cruz Rodriguez Ortiz,"Satipo, Junin",88.7
9,10,Kukipata 2017 – {ORG},Cristobal Palomino Castro,"La Convencion, Cusco",88.68
10,11,Palmachayucc 2017 – {ORG},Américo Palomino Alanya,"La Convencion, Cusco",88.52
11,11,El Roble 2017,Mario Jesús Rufasto Zulueta,"Chota, Cajamarca",87.43
12,9,Vista Hermosa 2017 – {FTO/RAO},Alfonso Tejada Iberico,"Rodriguez De Mendoza, Amazonas",87.3
13,13,Don Juan 2017,Juan Manuel Diaz Muñoz,"Jaén, Cajamarca",87.27
14,11,La Palma 2017 – {ORG},Charles Marlon Arbildo Parra,"San Ignacio , Cajamarca",87.18
15,11,Las Pircas 2017,Nerio Collantes Herrera,"Moyobamba, San Martin",87.09
16,11,El Shimir 2017 – {RAO},Marvin Charles Ramos Chinc,"San Ignacio, Cajamarca",86.55
17,14,Santa Sofia 2017,Eluterio Bolaños Torrecillas,"Satipo, Junin",86.34
18,30,Monte Rey 2017,Felix Cachay Cueva,"Chanchamayo, Junin",86.16
19,14,Finca Rojas 2017,Saúl Rojas Malpartida,"Satipo, Junin",86
