LOT #,WINNING FARM / CWS,LOT SIZE,HIGH BID,TOTAL VALUE,HIGH BIDDER(S)
1A,La Flor 2017 – {ORG},6,$100.09/lb,"$37,512.73","Maruyama Coffee, Campos Coffee, TOA Coffee, Sarutahiko Coffee"
1B,La Flor 2017 – {ORG},5,$100.10/lb,"$33,102.07","Time’s Club, Coffee Libre, Tashiro Coffee, Cafe Verde (Peru)"
2A,El Cerro 2017 – {ORG},6,$51.40/lb,"$19,264.21","MadCap, George Howell Coffee, Intelligentsia, Single O, Terarosa, Maruyama"
2B,El Cerro 2017 – {ORG},5,$50.30/lb,"$16,633.71",Kyokuto Fadie Corporation
3A,San Pedro – El Shimir 2017 -…,6,$35.20/lb,"$13,968.42",MATSUMOTO COFFEE
3B,San Pedro – El Shimir 2017 -…,6,$35.20/lb,"$12,416.45",Caffe’ Pascucci Torrefazione S.P.A.
4A,San Antonio 2017,6,$18.70/lb,"$7,297.11",MOMOS COFFEE
4B,San Antonio 2017,5,$19.09/lb,"$6,312.87","Orsir Coffee Co., Ltd."
5A,Las Orquideas 2017 – {ORG},7,$18.20/lb,"$7,342.79","UCC Ueshima Coffee Co., Ltd."
5B,Las Orquideas 2017 – {ORG},6,$18.13/lb,"$7,194.53",Ascension Coffee Roasters
6,Finca Ecológica Agua Colorada…,12,$49.60/lb,"$37,178.67","Café Imports, Namusairo Coffee, Roast House Coffee, & Passenger Coffee."
7,Mandor 2017 – {ORG},9,$17.30/lb,"$9,687.48",Campos Coffee
8,Oropesa 2017,13,$12.10/lb,"$9,683.39",Coffee Supreme
9,Kukipata 2017 – {ORG},10,$10.89/lb,"$7,130.55",Terarosa (Haksan Co.Ltd)
10,Palmachayucc 2017 – {ORG},11,$14.01/lb,"$10,038.31",Caravela Coffee
11,El Roble 2017,11,$10.40/lb,"$7,566.31","Tashiro Coffee Co., Ltd"
12,Vista Hermosa 2017 – {FTO/RAO},9,$13.10/lb,"$7,220.20",Kyokuto Fadie Corporation
13,Don Juan 2017,13,$9.00/lb,"$7,539.84","Wataru & Co., Ltd."
14,La Palma 2017 – {ORG},11,$16.30/lb,"$11,499.32",Kyokuto Fadie Corporation
15,Las Pircas 2017,11,$9.30/lb,"$6,684.00","Wataru & Co., Ltd."
16,El Shimir 2017 – {RAO},11,$10.10/lb,"$7,125.35",UCC Coffee UK
17,Santa Sofia 2017,14,$12.30/lb,"$11,009.48","WATARU FOR St.berry Coffee, Marumi Coffee, COFFEE FACTORY, AMAMERIA ESPRESSO, Philocoffea"
18,Monte Rey 2017,30,$9.00/lb,"$17,559.90",UCC Coffee UK
19,Finca Rojas 2017,14,$9.90/lb,"$8,621.22","Wataru & Co., Ltd."
