RANK,SIZE (30KG BOXES),FARM / CWS,PRODUCER,REGION,SCORE,VARIETY,PROCESS
1a,6 (+1 Partial),Nueva Alianza,Dwigth Aguilar Masias,Cusco,91.08,Geisha,Washed
1b,6,Nueva Alianza,Dwigth Aguilar Masias,Cusco,91.08,Geisha,Washed
2,13 (+1 Partial),La Palma,Damián Espinoza García,Cajamarca,89.85,Caturra Amarrillo,Washed
3,13 (+1 Partial),El Romerillo,Franklin Chinguel Morales,Cajamarca,89.58,Bourbon,Washed
4,13 (+1 Partial),Candelaria,Florencia Mamani Calcina,Puno,89.43,Bourbon and Caturra Roja,Washed
5,12,Santa Sofia,Eleuterio Bolaños Torrecillas,Junin,89.28,Caturra and Bourbon,Washed
6,11 (+1 partial),Rayo el Sol,Roxana Rangel Granda,Cajamarca,89.2,Mundo Novo,Washed
7,11 (+1 partial),La Naranja,Elvis Reinerio Tineo Rafael,Cajamarca,88.65,Caturra and Bourbon,Washed
8,19,La Reserva,Jesús Pilar Mijahuanca Rodriguez,Cajamarca,88.45,Caturra and Costa Rica,Washed
9,11 (+1 partial),Nueva Tierra de Canan,Frank Gurvich García Pariona,Junin,88.23,"Geisha, Pache, and Bourbon",Washed
10,14 (+1 partial),El Shimir,Fredy Bermeo Guevara,Cajamarca,88.2,Caturra and Bourbon,Washed
11,11 (+1 partial),Joyas De Alied,Delia Capquique Quispe,Puno,87.62,Bourbon,Washed
12,15 (+1 partial),Tres Cumbres,Alejandro Diaz Goicochea,Junin,87.48,Caturra and Typica,Washed
13,12 (+1 partial),Picorana,José Christian Laván Guerrero,Cajamarca,87.4,"Caturra, Geisha",Washed
14,14 (+1 partial),Cubos,Mel Francisco Cubos Espinoza,Huancuo,87.38,Caturra,Washed
15,17 (+1 partial),El Cerro,Efraín Carhuallocllo Salvado,Cajamarca,87.36,Caturra Amarilla,Washed
16,28 (+1 partial),Rayos del Sol,Percy Pintado Huamán,Cajamarca,87.24,"Caturra, Bourbon",Washed
17,14 (+1 partial),La Palestina,José Praxedes Alarcón Coronel,Cajamarca,87.05,"Caturra, Bourbon",Washed
18,11 (+1 partial),La Montaña,Vincler Velin Román Huamán,Cajamarca,86.88,Caturra,Washed
19,13 (+1 partial),Santa Norhy,Vicentina Phocco Palero,Puno,86.76,"Bourbon, Caturra, and Typica",Washed
20,12 (+1 partial),El Morito,David Flores Chilcon,Cajamarca,86.67,Caturra,Washed
21,13 (+1 partial),La Lima,Jose Felipe Carhuachinchay Jimenez,Cajamarca,86.31,Caturra and Bourbon,Washed
22,13 (+1 partial),El Huailulo,Evelio Mego Díaz,Cajamarca,86.14,"Caturra, Catimor",Washed
23,19 (+1 partial),San Pedro,Luis Fernando Quispe Lopez,Pasco,86.07,Geisha,Washed
