RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1,35,API Mushonyi,Nzabahimana Frodouard,"Rutsiro, Western",89.5
2,31,Kageyo Coffee,Ndarusanze Faustin,"Ngororero, Western",88.69
3,33,Nyakizu CWS,Nkunzurwanda Festus,"Nyaruguru, Southern",88.41
4,31,COCCAN DUHUZIMBARAGA,Kamageri Jothan,"Nyamasheke, Western",88.22
5,29,COVACAF KARENGERA,Mugambira Aphrodis,"Nyamasheke, Western",88.09
6,29,Gatare Coffee,Bavugamenshi Theobald,"Nyamasheke, Western",87.97
7,37,Kayumbu,Nkurikiyinka Joel,"Kamonyi, Southern",87.94
8,34,SACOF Rulindo,Ndacyayisenga Beatrice,"Rulindo, Northern",87.16
9,31,Terimbere Kawa Yacu/Muhondo,Karangwa Nicolas,"Gakenke, Northern",86.97
10,30,MARABA III SOVU,Ahobantegeye Innocent,"Huye, Southern",86.94
11,31,Kirorero/COOPAC,Ruvamwabo Jean Damascene,"Rutsiro, Western",86.22
12,34,API Mushonyi,Gatebuka Thomas,"Rutsiro, Western",86.19
13,32,RMC,Ubunitegeka J. Baptiste,"Gakenke, Northern",86.09
14,35,Cyingwa,Kayijamahe Benoit,"Rusizi, Western",86.06
15,18,Unguka Muhinzi,IYAKAREMYE Jeremie,"Kirehe, Eastern",86
16,38,API Mushonyi,Bahiganumva J. Pierre,"Rutsiro, Western",85.97
17,30,MARABA III SOVU,Ahorugereje Francois,"Huye, Southern",85.84
18,29,Ngamba,Munganyimana Berten,"Kamonyi, Southern",85.81
19,36,Nyakizu CWS,Nyirantwari Elisabeth,"Nyaruguru, Southern",85.69
20,40,INGOBOKA,Sibomana Nuru,"Rutsiro, Western",85.69
21,32,KOAKAKA/KARAMBI,Nyirindekwe Evaliste,"Huye, Southern",85.66
22,33,Bushoki Coffee Washing Station,Barhubwenge Protais,"Rulindo, Northern",85.59
23,41,Nyarusiza CWS,Niyirora Vinvent,"Nyamagabe, Southern",85.56
24,32,MUSASA (API),Nizeyimana Leonard,"Rutsiro, Western",85.44
25,38,Abakundakawa/Rushashi/Misozi,Uwitonze Vestine,"Gakenke, Northern",85.41
26,39,Dukunde…,Murekatete Odette,"Gakenke, Northern",85.19
27,31,COOPAC/Nyamwenda,Rwakagara Nzungize Emmanuel,"Rubavu, Western",85.19
28,32,Mushonyi Washing Station-API,Mujawamariya Sezarie,"Rutsiro, Western",85.09
29,33,SACOF/Gishamwana,Kagimbanyi Uwimbabazi,"Rutsiro, Western",85.06
30,26,SACOF Rulindo,Kaziyumugabo Justin,"Gakenke, Northern",85
31,29,API Rwinyoni,Ngango Abraham,"Rutsiro, Western",85
32,35,RMC,Uwengimana Emmanuel,"Gakenke, Northern",84.97
33,33,SACOF Kigeyo,Benimana Moussa,"Rutsiro, Western",84.53
34,28,API Nyamyumba,Biryukomeye – Fabien,"Rubavu, Western",84.19
35,40,KOPAKAMA/ Misozi,Nsabyimbabazi J.Claude,"Rutsiro, Western",84.06
36,36,Nyarusiza CWS,Ruhirwa Pascal,"Nyamagabe, Southern",84
