LOT #,WINNING FARM / CWS,LOT SIZE,HIGH BID,TOTAL VALUE,HIGH BIDDER(S)
1,GITESI Washing Station,37,$11.10/lb,"$26,673.30","Time’s club for C-COOP, Kyokuto Fadie, Tashiro coffee and Coffee Libre"
2,Huye Mountain Coffee Washing…,25,$9.10/lb,"$15,042.30",Maruyama Coffee and branch coffee (Japan) and Orsir Coffee (Taiwan)
3,NCMC Mibirizi Washing Station,32,$9.90/lb,"$20,473.20",Campos Coffee
4,Mahembe Washing Station,27,$9.20/lb,"$15,943.60","TERAROSA, Beany Beans(South Korea)"
5,NCMC Mibirizi Washing Station,25,$6.20/lb,"$10,459.40","Mercanta The Coffee Hunters for Caffè Cataldi (FR), Has Bean Coffee (UK), Kkaffeespezialitaet (AT), Dutch Barista Coffee (NL), Java Coffee Company (PL), Liberty Coffee (SG), Café Lomi (FR), Den Gyldne Bonne AS (NO), Bolling Coffee (UK) and Origin Coffee R"
6,Murundo Washing Station,26,$5.60/lb,"$9,553.60",NAGAHAMA COFFEE Inc.
7,RWASHOSCO/BUFF COFFEE REMERA…,33,$5.02/lb,"$10,787.98",Merlo Coffee
8,RWASHOSCO/MARABA IV KIBINGO…,28,$7.08/lb,"$13,112.16",Campos Coffee
9,RWASHOSCO/MARABA IV KIBINGO…,30,$4.20/lb,"$8,131.20",Kyokuto Fadie Corporation
10,Mwasa/COACAM Washing Station,25,$6.00/lb,"$9,642.00","Wataru & Co., Ltd."
11,Nyamwenda/COOPAC Washing…,39,$4.00/lb,"$10,248.00","Wataru & Co., Ltd."
12,RWASHOSCO/MARABA IV KIBINGO…,27,$4.61/lb,"$8,233.46",CHOI Coffee Roasters Company
13,Vunga Coffee Washing Station,26,$4.30/lb,"$7,396.00",Falcon Commodities Ltd
14,RWASHOSCO/Maraba III Sovu…,28,$4.10/lb,"$7,556.30","elbgold Röstkaffee GmbH (DE), VIEIA KAVA (LT), La Bohème Café (CZ)"
15,Kirorero/COOPAC Washing…,26,$5.60/lb,"$9,357.60",Wataru for OGAWA COFFEE
16,Nyakizu Washing Station,68,$4.70/lb,"$21,023.10","Tashiro Coffee Co.,Ltd"
17,Misozi/Abakundakawa/Rushashi…,28,$4.00/lb,"$7,408.00",honuKATOCOFFEE Inc
18,RWASHOSCO/Musasa-Ruli…,27,$5.10/lb,"$9,006.60",Strategic Coffee Concepts for DeTower LLC
19,RWASHOSCO/Buff Coffee…,36,$4.60/lb,"$10,750.20","Wataru & Co., Ltd."
20,Rugamba Washing Station,36,$4.00/lb,"$9,312.00",Kaffebrenneriet as
21,Kigeyo/SACOF Washing Station,36,$4.00/lb,"$9,464.00",honuKATOCOFFEE Inc.
22,Kigeyo/SACOF Washing Station,21,$5.10/lb,"$7,002.30",Sunvillage Coffee Roasters
23,RWASHOSCO/MARABA I CYARUMBO…,31,$4.00/lb,"$8,044.00",Small Batch Specialty Coffee
24,Rusizi Speciality…,20,$6.00/lb,"$7,632.00","Wataru & Co., Ltd."
25,Kinunu Washing Station,86,$4.00/lb,"$22,620.00",honuKATOCOFFEE Inc.
26,KOPAKAMA Washing Station,66,$4.00/lb,"$17,460.00",honuKATOCOFFEE Inc.
