RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE,VARIETY,PROCESSING
1A,20,Twumba Coffee,Yandagiye Marthe,"Karongi, Twumba",90.53,Bourbon,Washed
1B,20,Twumba Coffee,Yandagiye Marthe,"Karongi, Twumba",90.53,Bourbon,Washed
2A,8,Coperative Mayogi,Nikuze Marie Rose,"Gicumbi, Muko",90.06,Bourbon,Washed
2B,8,Coperative Mayogi,Nikuze Marie Rose,"Gicumbi, Muko",90.06,Bourbon,Washed
3A,15,Murundo cws,Sibomana Siliaque,"Nyamasheke, Gihombo",90.03,Bourbon,Washed
3B,15,Murundo cws,Sibomana Siliaque,"Nyamasheke, Gihombo",90.03,Bourbon,Washed
4,30,Nyagatare Washing Station-Mahe,Karaemangingo Alex,"Nyamasheke, Mahembe",89.56,Bourbon,Washed
5,35,Cocan-Kabuga,Murekezisam James,"Nyamasheke, Karambi",89.53,Bourbon,Washed
6,25,Rwacof-Mashesha,Hategekimana Louis,Rusizi Mashesha,89.44,Bourbon,Washed
7,21,Impexcor-Busanze,Nkurunziza Chadrak,Nyaruguru Busanze,89.31,Bourbon,Washed
8,28,Kopakama/Mushubati,Mukabideli Marie Grace,Rutsiro Mushubati,88.94,Bourbon,Washed
9,27,Coopac/Kigeyo CWS,Mukabideli Fikili,Rutsiro Kigeyo,88.92,Bourbon,Washed
10,26,Koakaka-Karambi,Muhaweniman Fidele,Huye Kigoma,88.69,Bourbon,Washed
11,33,Kabila Coffee,Ndayambaj E Siliro,Gakenke Coko,87.74,Bourbon,Washed
12,29,Dallas Investment Ltd (Kalisimbi),Bitwayiki J Nepo,Gicumbi Nyamiyaga,87.71,Bourbon,Washed
13,28,Kinazi Coffee/Simbi Coffee Invest,Kananira,Huye Kinazi,87.65,Bourbon,Washed
14,30,Buliza CWS,Gatera Calixte,Rulindo Bulega,87.65,Bourbon,Washed
15,30,Impexcor-Kiyumba,Hakuzimana Ildefonse,Muhanga Kiyumba,87.62,Bourbon,Washed
16,26,Dormans/Manyana,Siniremera P Claver,"Kamonyi, Kayumbo",87.62,Bourbon,Washed
17,29,Simbi Coffee,Bucyana Viateur,"Huye, Simbi",87.62,Bourbon,Washed
18,29,Muyongwe/CBC CWS,Nzagiramungu Ildephonse,"Gakenke, Muyongwe",87.59,Bourbon,Washed
19,33,Coperative Abahuzamugambi ba,Haganj E Remmy,"Huye, Huye",87.59,Bourbon,Washed
20,28,RTC-Gatare,Bazimaziki Joel,"Nyamasheke, Karambi",87.59,Bourbon,Washed
21,23,Dukundekawa-Mbilima,Nyirisenge Celestin,"Ruli, Mbilima",87.35,Bourbon,Washed
22,30,Cocatu-Nyirabirori,Ndahayo Liberate,Rulindo Tumba,87.29,Bourbon,Washed
23,30,Ibisi Mountain Coffee,Uwitonze Chantal,"Huye, Maraba",87.29,Bourbon,Washed
24,32,Gitega Hills Coffee,Mugenzi Emmanuel,Nyamagebe Cyanika,87.24,Bourbon,Washed
25,26,Dukundekawa-Abanozaka,Mukahigiro Thacienne,Gakenke Ruli,86.85,Bourbon,Washed
26,31,Abakundajawa Rushashi,Mukahigiro Thacienne,"Gakenke, Rushahshi",86.79,Bourbon,Washed
27,36,Mugeyo CWS,Nsengumuremyi Joram,Nyamasheke Kanjongo,86.62,Bourbon,Washed
28,40,Rwacof-Nyakarenzo,Hakizimfura Aniceth,"Nyamasheke, Nyakarenzo",86.62,Bourbon,Washed
