,OBJRANK,WEIGHT(KG),FARM,FARMER/REPRESENTATIVE,REGION,SCORE,VARIETY,PROCESS,NUMRANK,HIGH_BID,TOTAL_VALUE,BUYERS,COUNTRY,YEAR
0,1,720.0,Agrotakesi SA,Mauricio Ramiro Diez de Medina,"Yanacahi, Yungas of La Paz",93.36,,,1,35.05,63749.29,"Maruyama Coffee for Mikatajuku Group, Itoya Coffee and Orsir Coffee",Bolivia,2009
1,2,840.0,Café Sima del Jaguar A,Braulio Luque Yana,"Caranavi, Yungas of La Paz",92.05,,,2,12.06,25614.6,"Time’s Club for C-COOP, Tashiro Coffee",Bolivia,2009
2,3,690.0,Café Monterrey,Valentin Choquehuanca Aduviri,"Caranavi, Yungas of La Paz",91.62,,,3,9.2,16011.04,"Coffee Bean International, Inc",Bolivia,2009
3,4,600.0,Café Jacaranda,Cruz Elias Choconapi,"Caranavi, Yungas of La Paz",91.38,,,4,12.8,18779.9,"UCC Ueshima Coffee Co., Ltd.",Bolivia,2009
4,5,630.0,Café Alan Coffe,Luis Yujra Arismende,"Caranavi, Yungas of La Paz",90.9,,,5,12.35,19657.99,49th Parallel Coffee Roasters and Cafe Imports,Bolivia,2009
5,6,780.0,Café Central,Luis Huayhua Chiji,"Caranavi, Yungas of La Paz",90.71,,,6,9.0,17500.32,"Invalsa Coffee® for Zoka Coffee (US), Richmond Investment, Steven Sung-Yong Kil (KOR), Fratello Coffee (CA), Willoughby’s Coffee (US), Noble Coffee (US) and No Quarter Coffee (US)",Bolivia,2009
6,7,690.0,Café Mondono,Carmelo Mamani Titirico,"Caranavi, Yungas of La Paz",90.17,,,7,9.85,16703.63,"49th Parallel Coffee Roasters, Mecca Espresso and Cafe Imports",Bolivia,2009
7,8,810.0,Café Palmeiras 3,Mario Mamani Machaca,"Caranavi, Yungas of La Paz",89.12,,,8,7.45,14946.26,"Mercanta the Coffee Hunters for Andronicas World of Coffee (UK), Has Bean Coffee (UK), Kontra Coffee (DK), Melbourne Coffee Merchants (AU), Voila Coffee (JP)",Bolivia,2009
8,9,870.0,Café Origen,Damian Huanca Flores,"Caranavi, Yungas of La Paz",87.95,,,9,8.46,18660.39,Kaffebrenneriet as,Bolivia,2009
9,10,690.0,Café Gelen,Ayda Titirico Hilari,"Caranavi, Yungas of La Paz",87.52,,,10,8.8,14928.85,Bewleys Ltd,Bolivia,2009
10,11,690.0,Café COACS Ltda. Aurelio,Eugenia Condori Mamani,"Caranavi, Yungas of La Paz",86.62,,,11,7.35,12765.48,"Seven Seeds Specialty Coffee, The Source, Coffee Supreme Australia & Cafe Imports",Bolivia,2009
11,12,900.0,Café Kantuta,Rosendo Quispe Tintaya,"Caranavi, Yungas of La Paz",86.33,,,12,6.66,14963.22,Solberg & Hansen AS,Bolivia,2009
12,13,720.0,Café Cooperativa San Ignacio…,Anacleto Uluri Luque,"Caranavi, Yungas of La Paz",86.26,,,13,7.07,12824.7,"Wataru & Co., Ltd.",Bolivia,2009
13,14,870.0,Café Primavera II,Agustina Machaca Quispe,"Caranavi, Yungas of La Paz",86.12,,,14,6.5,14287.07,"Toa Coffee Co., Ltd",Bolivia,2009
14,15,750.0,Café Cooperativa San Ignacio V,Juan Coaquira Mamani,"Caranavi, Yungas of La Paz",85.81,,,15,6.15,11694.16,"Wataru & Co., Ltd.",Bolivia,2009
15,16,840.0,Café Wara Wara III,Lucila Isidora Quispe de Quispe,"Caranavi, Yungas of La Paz",85.6,,,16,6.48,13800.26,"Mercanta the Coffee Hunters for Bolling Coffee (UK), Kaffitár (IS), Kontra Coffee (DK), VIEIA KAVA (LT), Voila Coffee (JP)",Bolivia,2009
16,17,690.0,Café Frente a Illimani II,Santusa Lucana de Mamani,"Caranavi, Yungas of La Paz",85.57,,,17,5.65,9622.35,"Nippon Coffee Trading Co.,Ltd for Doi Coffee",Bolivia,2009
17,18,600.0,Café Flor de Mayo,Pedro Castro Conurana,"Caranavi, Yungas of La Paz",85.24,,,18,6.2,9431.38,"Coffee Bean International, Inc",Bolivia,2009
18,19,600.0,Café Golondrina,Celso David Mayta Quispe,"Colonia Copacabana, Rural Caranavi, Province of Caranavi",85.24,,,19,6.25,9507.44,"Tony’s Coffees & Teas, Inc., Olympia Coffee Roasting and Montana Coffee Traders",Bolivia,2009
19,20,870.0,Café Picaflor,Valentina Flores de M.,"Caranavi, Yungas of La Paz",85.21,,,20,6.15,13470.28,"Wataru & Co., Ltd.",Bolivia,2009
20,21,750.0,Café Alto Asuncion,Eleuteria Villca Salvador,"Caranavi, Yungas of La Paz",85.17,,,21,5.05,9463.35,"Nippon Coffee Trading Co.,Ltd for Doi Coffee",Bolivia,2009
21,22,1020.0,Café Rio Cumbre de la Selva,Gabriel Chura Uluri,"Caranavi, Yungas of La Paz",85.14,,,22,5.05,12870.13,Kaffebrenneriet as,Bolivia,2009
22,23,750.0,Café Primavera,Victor Quispe Mamani,"Caranavi, Yungas of La Paz",85.0,,,23,4.9,9317.3,"Nippon Coffee Trading Co.,Ltd",Bolivia,2009
23,24,690.0,Café Oro,Teodocia Castro Conurana,"Caranavi, Yungas of La Paz",84.95,,,24,5.4,9221.58,"Arab Coffee Co., Ltd",Bolivia,2009
24,25,660.0,Café El Sombral,Damian W. Condori Poma,"Caranavi, Yungas of La Paz",84.81,,,25,5.31,8885.28,Moxxee Coffee,Bolivia,2009
25,26,840.0,Café Rudi,Franklin Cahuapaza Ticona,"Caranavi, Yungas of La Paz",84.69,,,26,4.5,9562.68,Gala Coffee Limited,Bolivia,2009
26,27,930.0,Café Flor de Mayo I,Felipe Sacaca Diaz,"Caranavi, Yungas of La Paz",84.6,,,27,4.51,10633.86,honuKATOCOFFEE Inc.,Bolivia,2009
27,28,840.0,Café Sofia,Sofia Quisbert Castillo,"Caranavi, Yungas of La Paz",84.33,,,28,4.5,9433.67,"Tashiro Coffee Co.,Ltd",Bolivia,2009
28,29,840.0,Café Flor Rosa,Martha Ojeda Mamani,"Caranavi, Yungas of La Paz",84.33,,,29,4.95,10391.24,Barefoot Coffee Roasters,Bolivia,2009
29,30,750.0,Café Flor de B,Sebastian Olori Huanca,"Caranavi, Yungas of La Paz",84.21,,,30,4.25,7946.4,"Wataru & Co., Ltd.",Bolivia,2009
30,1,540.0,Café de Cordillera,Zenovia R. Charca de Huayhua,"San Lorenzo County, Province of Caranavi",92.03,,,1,12.15,28929.06,"Maruyama Coffee for Mikatajuku group, Honey Coffee, Adati Coffee and Orsir Coffee",Bolivia,2008
31,2,450.0,Flor de Mayo,Pedro Castro Conurana,"Siete Estrellas, Chijchipani County, Province of Caranavi",90.85,,,2,12.15,24107.55,"Invalsa Coffee®, MA, Bewleys Ltd of Ireland, Sacred Grounds Coffee, CA, Terroir Coffee, MA, TAN Coffee, Canada, Olympia Coffee, WA",Bolivia,2008
32,3,720.0,Cima del Jaguar A,Braulio Luque Yana,"Kantutani, Rosario de Entre Ríos, Province of Caranavi",89.94,,,3,7.0,22222.6,Kaffebrenneriet as,Bolivia,2008
33,4,510.0,Café Ascencion,Domingo Mamani Alanoca,"Colonia Alto Ascensión, Rosario Entre Ríos County, Province of Caranavi",88.97,,,4,7.7,17315.11,"UCC Ueshima Coffee Co., Ltd.",Bolivia,2008
34,5,420.0,Café Caracol,Jacinto Titirico Ibañez,"Colonia 7 Estrellas, Chijchipani County, Province of Caranavi",88.97,,,5,6.05,11203.89,"Wataru & Co., Ltd.",Bolivia,2008
35,6,420.0,Café Golondrina,Celso David Mayta Quispe,"Colonia Copacabana, Rural Caranavi, Province of Caranavi",88.94,,,6,8.05,14907.66,"Invalsa Coffee®, MA, Montana Coffee, MT, TAN Coffee, Canada, Interamerican Coffee GmbH, Germany, Java Blend Coffee, Canada, Olympia Coffee, WA",Bolivia,2008
36,7,360.0,Café Aurelio,Aurelio Mamani Ramirez,"Colonia Kantutani, Rosario Entre Ríos County, Province of Caranavi",88.74,,,7,8.05,12777.99,Times Club for C-COOP,Bolivia,2008
37,8,420.0,APECE,Julia Tintaya de Patana,"Colonia Sabaya, Carrasco La Reserva County, Province of Caranavi",88.47,,,8,6.35,11759.46,Kyokuto Fadie Corporation,Bolivia,2008
38,9,360.0,Café Estrella,Cruz Quispe Mamani,"Colonia La Estrella, Incahuara County, Province of Caranavi",87.74,,,9,10.55,16746.31,Solberg & Hansen AS,Bolivia,2008
39,10,390.0,Café Flor Rosa,Martha Ojeda Mamani,"Colonia Loayza, Santa Fé County, Province of Caranavi",87.71,,,10,5.33,9165.5,"Arab Coffee Co., Ltd",Bolivia,2008
40,11,360.0,Café Montaña,Félix Yana Mamani,"Colonia San Ignacio, Carrasco La Reserva County, Province of Caranavi",86.18,,,11,5.9,9365.24,Solberg & Hansen AS,Bolivia,2008
41,12,390.0,Café Alejandra,Florencia Fernandez Choque,"Colonia Manco Kapac Segunda, Rosario Entre Ríos County, Province of Caranavi",86.03,,,12,5.87,10094.09,"Johan & Nystrom, Coffee-roaster and Tea-merchant",Bolivia,2008
42,13,480.0,AIPEAD V,Erenio Tola,"Colonia Amor de Dios, Taipyplaya County, Province of Caranavi",85.85,,,13,4.15,8783.22,"TOA Coffee Co.,Ltd.",Bolivia,2008
43,14,690.0,Café Oscar,Nestor Mayta Quille,"Colonia Hernando de Magallanes, Rosario de Entre Ríos County, Province of Caranavi",85.82,,,14,5.05,15364.02,"Nippon Coffee Trading Co.,Ltd for Doi Coffee",Bolivia,2008
44,15,450.0,Café de Montaña,Manuel Mamani Uluri,"Colonia Chojñapampa, Carrasco La Reserva County, Province of Caranavi",85.82,,,15,5.03,9980.33,Sweet Maria’s Coffee,Bolivia,2008
45,16,930.0,Café Huancayño,Luciano Huanca Flores,"Colonia Chojñapampa, Carrasco La Reserva County, Province of Caranavi",85.79,,,16,5.05,20708.02,"World Coffee Co.,Ltd.",Bolivia,2008
46,17,510.0,Café Primavera,Victor Quispe Mamani,"Caranavi, Yungas of La Paz",85.71,,,17,4.0,8994.86,"Wataru & Co., Ltd.",Bolivia,2008
47,18,510.0,Café Picaflor,Pablo Luque Huanca,"Colonia Chojñapampa, Carrasco La Reserva County, Province of Caranavi",85.68,,,18,3.4,7645.63,Katocoffee Inc.,Bolivia,2008
48,19,480.0,Café Lidia,Angel Mamani Mamani,"Colonia San Ignacio, Carrasco La Reserva County, Province of Caranavi",84.91,,,19,4.0,8465.75,"Nippon Coffee Trading Co.,Ltd",Bolivia,2008
49,20,360.0,Yanaloma IV,Roberto Mendoza Ayaviri,"Colonia Yanaloma, Aten County , Province of Franz Tamayo",84.79,,,20,5.0,7936.64,"UCC Ueshima Coffee Co., Ltd.",Bolivia,2008
50,21,660.0,Cima del Jaguar B,Eulogio Luque Yana,"Tercera Kantutani, Rosario de Entre Ríos County, Province of Caranavi",84.79,,,21,5.05,14696.01,"Nippon Coffee Trading Co.,Ltd for Doi Coffee",Bolivia,2008
51,22,450.0,Alan Coffe (YTC),Luis Yujra Arismende,"Not Available, Province of Caranavi",84.79,,,22,4.7,9325.55,"Wataru & Co., Ltd.",Bolivia,2008
52,23,480.0,Café Maria Elena,Fermin Cabrera Poma,"Colonia Alto Ascensión Segunda, Rosario Entre Ríos County, Province of Caranavi",84.65,,,23,5.05,10688.01,Kyokuto Fadie Corporation,Bolivia,2008
53,24,540.0,Café Ocho,Eusebio Marca Cruz,"Colonia Ocho de Septiembre, Chijchipani County, Province of Caranavi",84.59,,,24,3.88,9238.25,Katocoffee Inc.,Bolivia,2008
54,25,360.0,Zona 8 Villa Oriente,Alberto Catunta Quispe,"Colonia 8 de Septiembre, Rosario de Entre Ríos County, Province of Caranavi",84.56,,,25,4.1,6508.05,"World Coffee Co.,Ltd.",Bolivia,2008
55,26,360.0,Los Trios,David Yanahuaya Quispe,"Colonia Flor de Mayo, Taipyplaya County, Province of Caranavi",84.53,,,26,5.05,8016.01,"Wataru & Co., Ltd.",Bolivia,2008
56,27,390.0,Café David,Santiago Mamani Mamani,"Colonia Chojñapampa, Carrasco La Reserva County, Province of Caranavi",84.47,,,27,4.05,6964.4,"Mercanta The Coffee Hunters for Has Bean Coffee UK, Fresh Coffee Lithuania and Inoue Coffee Japan",Bolivia,2008
57,28,540.0,AIPEAD I,Julian Chambi Apaza,"Colonia Amor de Dios, Taipyplaya County, Province of Caranavi",84.35,,,28,3.88,9238.25,Katocoffee Inc.,Bolivia,2008
58,29,450.0,Café Jasmin,Eduardo Tola Condori,"Colonia Uchumachi, Carrasco La Reserva County, Province of Caranavi",84.06,,,29,3.9,7738.23,"Wataru & Co., Ltd.",Bolivia,2008
59,1,390.0,Flor de Café San Ignacio,"Mario Mamani Mamani, Raymundo Yanarico","Carrasco La Reserva, Caranavi",91.5,,,1,21.1,36283.68,"Invalsa Coffee, Orsir Coffee, Cafe Valverde",Bolivia,2007
60,2,360.0,San Ignacio,Juana Mamani Huanca,"Carrasco La Reserva, Caranavi",90.78,,,2,21.1,33492.63,"Stumptown Coffee Roasters, Sweet Maria’s, Terroir Coffee",Bolivia,2007
61,3,420.0,Nakhaki (B),Braulio Luque Yana,"Rosario Entre Rios, Caranavi",90.43,,,3,17.55,32500.55,Mercanta The Coffee Hunters for Fortnum and Mason London and Cafes El Magnifico Barcelona,Bolivia,2007
62,4,390.0,Colipampa,Nicolas Carrasco,"II Sección Irupana, Sud-Yungas",90.38,,,4,12.15,20893.21,"Maruyama Coffee for Mikatajuku group, Inoue Coffee",Bolivia,2007
63,5,390.0,Warmisita – BV,Alejandra Ramos Ticona,"Coroico, Nor-Yungas",89.63,,,5,10.05,17282.04,"KAFFA as, Oslo",Bolivia,2007
64,6,480.0,CENAPROC 1257,Genoveva Condori,"San Lorenzo, Caranavi",89.6,,,6,7.1,15026.71,Andronicas World of Coffee in Harrods,Bolivia,2007
65,7,480.0,CENAPROC 0113,Luis Huayhua,"San Lorenzo, Caranavi",89.45,,,7,8.05,17037.32,Time’s Club for C-COOP,Bolivia,2007
66,8,540.0,Amor de Dios IV,David Chambi Apaza,"Taypiplaya, Caranavi",89.13,,,8,5.6,13333.56,Bewleys Ltd,Bolivia,2007
67,9,390.0,Pico del Tucan – UTZ,Martin Uluri Luque,"Carrasco La Reserva, Caranavi",88.93,,,9,5.8,9973.71,Bettys and Taylors of Harrogate,Bolivia,2007
68,10,390.0,Café Inca BV,Damian Daniel Montaño Ramos,"Coroico, Nor-Yungas",88.18,,,10,7.8,13412.92,"Bontain Coffee Co.,Ltd.",Bolivia,2007
69,11,540.0,Amor de Dios III,Alberto Siles Aduviri,"Taypiplaya, Caranavi",86.29,,,11,5.1,12143.06,"TOA COFFEE Co.,Ltd.",Bolivia,2007
70,12,390.0,Chicaloma,Martin Huanca,"Chicaloma, Sud-Yungas",86.26,,,12,6.45,11091.46,"Café imports, 49th Parallel Roasters, Ecco Caffe, Sacred Grounds",Bolivia,2007
71,13,420.0,Jatum Kjari,Telmo Cahuana,"Distrito Cascada, Sud-Yungas",86.21,,,13,4.9,9074.23,"Fratello Coffee Co., Zoka Coffee Roasters",Bolivia,2007
72,14,660.0,Polen de Café,"Porfilio Mamani Surco, Gregorio Gonza Mamani, Vicente Gonza Mamani","Carrasco La Reserva, Caranavi",86.0,,,14,4.95,14405.0,"Nippon Coffee Trading Co., Ltd for Doi Coffee",Bolivia,2007
73,15,660.0,Chijchipani,Serapio Perez Marca,"Chijchipani, Caranavi",85.89,,,15,5.05,14696.01,Green Mountain Coffee Roasters,Bolivia,2007
74,16,360.0,Wara,Inocencio Mamani Cori,"Charia, Sud-Yungas",85.87,,,16,5.55,8809.67,Volcafe Speciality for Buck’s County Coffee,Bolivia,2007
75,17,390.0,Pico del Tucan,Humberto Villca,"Carrasco La Reserva, Caranavi",85.76,,,17,7.05,12123.22,Bewleys Ltd,Bolivia,2007
76,18,390.0,Loayza BV,"Mario Condori Chino, Gonzalo Chambi, Santos Lucero limachi Paye","Santa Fé, Caranavi",85.68,,,18,4.55,7824.21,"Wataru & Co., Ltd.",Bolivia,2007
77,19,540.0,Nectar,"Pablo Yana Mamani, Anacleto Uluri, Ricardo Olori","Carrasco La Reserva, Caranavi",85.55,,,19,4.9,11666.86,SUPREMO Kaffeeroesterei Unterhaching,Bolivia,2007
78,20,540.0,Flor de Mayo,Pedro Castro Conurana,"Siete Estrellas, Chijchipani County, Province of Caranavi",85.53,,,20,5.1,12143.06,Mercanta The Coffee Hunters for James Gourmet Coffee UK and Has Bean Coffee UK,Bolivia,2007
79,21,510.0,Golondrina,"Cipriano Tórrez Blanco, Celso David Mayta Quispe","Caranavi Rural, Caranavi",85.05,,,21,5.15,11580.88,"Coffee Bean International, Inc.",Bolivia,2007
